task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-ATAD5,HT29,residualized,0,0,0,c1,100000000.0,True,0.5063980131262509,-1.4414754175492015,False,False,1,3.8334902092984624e-10,0.2398267771076452,0.003107828088104725,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,31622776.60168379,True,0.5063980115260907,-1.4414754175492015,True,False,1,9.663683256389e-10,0.23982677614598225,0.002330297837033868,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,10000000.0,True,0.5063980064659407,-1.4414754175492015,True,False,1,2.7875885939832035e-09,0.23982677310493727,0.0023041891399770975,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,3162277.6601683795,True,0.5063979904643513,-1.4414754175492015,True,False,1,8.78943597938664e-09,0.23982676348831153,0.002309648087248206,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,1000000.0,True,0.5063979398629803,-1.4414754175492015,True,False,1,2.77953311252771e-08,0.23982673307789812,0.002472248859703541,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,316227.7660168379,True,0.5063977798483724,-1.4414754175492015,True,False,1,8.789244569304411e-08,0.2398266369120019,0.00252628605812788,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,100000.0,True,0.5063972738475246,-1.4414754175492015,True,False,1,2.7792996652037383e-07,0.2398263328114828,0.0025126831606030464,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,31622.776601683796,True,0.5063956738300615,-1.4414754175492015,True,False,1,8.787919282722545e-07,0.23982537118866745,0.0025559349451214075,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,10000.0,True,0.5063906146752518,-1.4414754175492015,True,False,2,3.090760566969511e-09,0.2398223305448689,0.0032105299178510904,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-ATAD5,HT29,residualized,0,0,0,c1,3162.277660168379,True,0.5063746234782652,-1.4414754175492015,True,False,2,3.085662235408982e-08,0.23981271792855896,0.0032074900809675455,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
