task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-HSE,MCF7,residualized,0,0,0,c1,100000000.0,True,0.9409310682627315,-2.2102499879387216,False,False,1,1.711535341404613e-09,0.4753583883092507,0.004067025845870376,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,31622776.60168379,True,0.9409310677696728,-2.2102499879387216,True,False,1,3.5875774738111654e-09,0.4753583872716036,0.0030797109939157963,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,10000000.0,True,0.9409310662104847,-2.2102499879387216,True,False,1,1.1386112382799629e-08,0.4753583839902766,0.0031374560203403234,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,3162277.6601683795,True,0.9409310612799011,-2.2102499879387216,True,False,1,3.599815545131391e-08,0.47535837361382083,0.003100841073319316,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,1000000.0,True,0.9409310456880459,-2.2102499879387216,True,False,1,1.1383228850844751e-07,0.4753583408006995,0.0030241310596466064,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,316227.7660168379,True,0.940930996382463,-2.2102499879387216,True,False,1,3.5996167174236204e-07,0.47535823703762914,0.0028378560673445463,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,100000.0,True,0.9409308403981269,-2.2102499879387216,True,False,2,1.6334027880260393e-10,0.4753579089212902,0.0033999099396169186,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,31622.776601683796,True,0.9409303467528105,-2.2102499879387216,True,False,2,1.6327486862532936e-09,0.4753568714392755,0.0035452700685709715,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,10000.0,True,0.9409287816983509,-2.2102499879387216,True,False,2,1.6306108262253982e-08,0.47535359176100206,0.0037119698245078325,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,3162.277660168379,True,0.9409237924691903,-2.2102499879387216,True,False,2,1.62387916703699e-07,0.47534323173618054,0.0034656720235943794,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,1000.0,True,0.9409076227387541,-2.2102499879387216,True,False,3,7.223564591971043e-09,0.47531058117150726,0.004300217144191265,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,316.2277660168379,True,0.9408527161741818,-2.2102499879387216,True,False,3,2.0958700796321755e-07,0.4752083910909963,0.003979725064709783,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,100.0,True,0.9406459870415684,-2.2102499879387216,True,False,4,6.393336208659374e-07,0.47489458240229043,0.005125888157635927,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,31.622776601683796,True,0.9397689510120449,-2.2102499879387216,True,False,5,6.556194090861014e-07,0.4739702991879546,0.005537903867661953,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,10.0,True,0.9362490863189484,-2.2102499879387216,True,False,9,1.9533123882340547e-07,0.47142117017933977,0.008061125176027417,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,3.162277660168379,True,0.9257932579978706,-2.2102499879387216,True,False,11,7.936655055280906e-07,0.46501353533871487,0.0108596698846668,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-HSE,MCF7,residualized,0,0,0,c1,1.0,True,0.9032962489168262,-2.2102499879387216,True,False,18,4.159894203114439e-07,0.4507361064032764,0.015848455019295216,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
