task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-MMP,HEPG2,residualized,0,0,0,c1,100000000.0,True,0.8988900541825096,-0.8625981260725272,False,False,1,9.374936184563393e-09,0.4785759237197059,0.0020713279955089092,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,31622776.60168379,True,0.8988900386136329,-0.8625981260725272,True,False,1,2.025200466397939e-08,0.47857591419227147,0.0016736709512770176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,10000000.0,True,0.8988899893805775,-0.8625981260725272,True,False,1,6.405780606736494e-08,0.47857588406391094,0.0016882529016584158,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,3162277.6601683795,True,0.8988898336925095,-0.8625981260725272,True,False,1,2.025671983563529e-07,0.4785757887899931,0.0015981399919837713,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,1000000.0,True,0.8988893413688515,-0.8625981260725272,True,False,1,6.40564489234538e-07,0.47857548751064727,0.0016573017928749323,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,316227.7660168379,True,0.898887784453545,-0.8625981260725272,True,False,2,1.0651160509134172e-10,0.4785745348140644,0.0019946559332311153,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,100000.0,True,0.8988828609742358,-0.8625981260725272,True,False,2,1.0648016773862068e-09,0.47857152244647344,0.002064276020973921,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,31622.776601683796,True,0.8988672904278736,-0.8625981260725272,True,False,2,1.0638254499539812e-08,0.4785619997363656,0.0019215880893170834,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,10000.0,True,0.8988180405996868,-0.8625981260725272,True,False,2,1.0607468327317182e-07,0.4785319185248723,0.0020739149767905474,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,HEPG2,residualized,0,0,0,c1,3162.277660168379,True,0.89866218897488,-0.8625981260725272,True,False,3,3.121006605932841e-09,0.4784371131601594,0.0023141568526625633,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
