task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-MMP,MCF7,residualized,0,0,0,c1,100000000.0,True,0.833093553891838,-1.3109344147952986,False,False,1,2.93840816435742e-09,0.4256972815489271,0.0030208230018615723,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,31622776.60168379,True,0.8330935507085754,-1.3109344147952986,True,False,1,6.245879959065892e-09,0.4256972781114291,0.0026070689782500267,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,10000000.0,True,0.83309354064222,-1.3109344147952986,True,False,1,1.983846732375727e-08,0.42569726724111084,0.0026575319934636354,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,3162277.6601683795,True,0.8330935088096566,-1.3109344147952986,True,False,1,6.272724062915402e-08,0.42569723286619565,0.0026511738542467356,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,1000000.0,True,0.8330934081467282,-1.3109344147952986,True,False,1,1.9837116619833561e-07,0.42569712416366096,0.0025576960761100054,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,316227.7660168379,True,0.8330930898273492,-1.3109344147952986,True,False,1,6.272896033530234e-07,0.42569678042098,0.0026562639977782965,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,100000.0,True,0.8330920830659587,-1.3109344147952986,True,False,2,1.8503223953025838e-10,0.42569569346033775,0.003235278185456991,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,31622.776601683796,True,0.833088898745807,-1.3109344147952986,True,False,2,1.849470659953667e-09,0.42569225668038263,0.0030866130255162716,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,10000.0,True,0.8330788218159738,-1.3109344147952986,True,False,2,1.846771291447169e-08,0.42568139353612533,0.0030850081238895655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,3162.277660168379,True,0.8330468835501404,-1.3109344147952986,True,False,2,1.8382724940868567e-07,0.4256470901575565,0.003383320989087224,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,1000.0,True,0.8329451843115284,-1.3109344147952986,True,False,3,7.558411582384017e-09,0.4255390966711404,0.003997298888862133,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-MMP,MCF7,residualized,0,0,0,c1,316.2277660168379,True,0.8326169288509013,-1.3109344147952986,True,False,3,2.2224426154959787e-07,0.42520225344486756,0.0040374379605054855,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
