task,cell,variant,repeat_id,fold_id,inner_fold,branch,alpha,success,validation_deviance,d0_inner_intercept,warm_started,retry_used,n_iterations,gradient_inf_norm,objective,elapsed_seconds,message
SR-p53,HA1E,residualized,0,0,0,c1,100000000.0,True,0.9503155700530341,-1.7442807908861406,False,False,1,7.950857356178731e-09,0.4426102369132892,0.0028483958449214697,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,31622776.60168379,True,0.9503155524288325,-1.7442807908861406,True,False,1,1.7086443752922786e-08,0.44261023324252724,0.0022822869941592216,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,10000000.0,True,0.9503154966963286,-1.7442807908861406,True,False,1,5.4128431375977115e-08,0.4426102216345766,0.002216347958892584,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,3162277.6601683795,True,0.9503153204558659,-1.7442807908861406,True,False,1,1.7115910939079215e-07,0.4426101849271936,0.002339813858270645,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,1000000.0,True,0.9503147631464672,-1.7442807908861406,True,False,1,5.412424172179797e-07,0.44261006885005616,0.002241607056930661,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,316227.7660168379,True,0.950313001038217,-1.7442807908861406,True,False,2,7.064235307829847e-11,0.44260970179991227,0.0025703641586005688,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,100000.0,True,0.9503074307669974,-1.7442807908861406,True,False,2,7.060980064532707e-10,0.44260854126532806,0.002788197947666049,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,31622.776601683796,True,0.950289836481475,-1.7442807908861406,True,False,2,7.051080545827926e-09,0.4426048731296501,0.0026938889641314745,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,10000.0,True,0.9502344021865942,-1.7442807908861406,True,False,2,7.019915571060409e-08,0.4425932913738698,0.002675549127161503,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,3162.277660168379,True,0.9500611137349951,-1.7442807908861406,True,False,2,6.922743970086409e-07,0.44255684380674937,0.002542677102610469,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
SR-p53,HA1E,residualized,0,0,0,c1,1000.0,True,0.9495323081641011,-1.7442807908861406,True,False,3,1.1629680703173495e-07,0.4424432998017045,0.0032548399176448584,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL
