task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR-LBD,HA1E,residualized,0,0,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,704,165,42,42,True,1.0,-1.2802238326853435,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.7379573032605262e-09,1.5445922527113076e-09,False,100000000.0,100000000.0,True,False,2.6257902256137936e-09,4.554729926553591e-10,False,0.5090980646883234,0.7272727272727273,0.22186768989223085,0.05804580575491925,0.5090980646883234,0.7272727272727273,0.19050423097652208,0.04626785342972648,0.5090980646883234,0.7272727272727273,0.22186769010513568,0.05804580573731695,0.5090980646883234,0.7272727272727273,0.1905042308683049,0.04626785330633801,0.0,0.0,2.1290483265268279e-10,-1.7602301560781797e-11,0.0,0.0,-1.0821718521292212e-10,-1.2338847305004563e-10,0.0,0.0,-0.03136345923683079,-0.011777952430978941
NR-AR-LBD,HA1E,residualized,0,1,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,710,159,42,42,True,1.0,-1.2692168624854352,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.6195201567818836e-09,1.5054553853532937e-09,False,100000000.0,10.0,True,True,2.6096194532649093e-09,8.419803812498294e-10,False,0.6622648615930871,0.8759213759213759,0.17584263986706822,0.04438262588578548,0.6622648615930871,0.8759213759213759,0.1540510722439063,0.03666833373741915,0.6622648615930871,0.8759213759213759,0.17584264000312433,0.044382625836310995,0.6622648615930871,0.8759213759213759,0.15405107227743256,0.03666833372256787,0.0,0.0,1.3605611082212477e-10,-4.9474487007206136e-11,0.0,0.0,3.3526265097449937e-11,-1.485127992806312e-11,0.0,0.0,-0.02179156772569177,-0.007714292113743124
NR-AR-LBD,HA1E,residualized,0,2,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,693,176,42,42,True,1.0,-1.2810087551952007,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.532929285199257e-09,1.247765722342531e-09,False,100000000.0,100000000.0,True,False,2.5254247954172263e-09,5.399184779819599e-10,False,0.5027566243385454,0.8541666666666667,0.1584128643196174,0.037900963970946465,0.5027566243385454,0.8541666666666667,0.13415509777025025,0.0341462145208316,0.5027566243385454,0.8541666666666667,0.15841286403146754,0.037900963842138834,0.5027566243385454,0.8541666666666667,0.13415509744927723,0.03414621440141461,0.0,0.0,-2.881498650797454e-10,-1.288076312278008e-10,0.0,0.0,-3.209730259357002e-10,-1.1941699018525043e-10,0.0,0.0,-0.02425776658219031,-0.0037547494407242227
NR-AR-LBD,HA1E,residualized,0,3,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,771,98,42,42,True,1.0,-1.1952753755885164,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.527937262341866e-09,1.0210039150942984e-09,False,100000000.0,3.162277660168379,True,True,2.648029658348805e-09,5.871714434113606e-10,False,1.0,1.0,0.09219782313954956,0.015071935581429578,1.0,1.0,0.05030266249856313,0.01042638906198264,1.0,1.0,0.09219782276716501,0.015071935436159069,1.0,1.0,0.05030266245031672,0.01042638906549981,0.0,0.0,-3.7238455374843937e-10,-1.4527050916368633e-10,0.0,0.0,-4.824641380851702e-11,3.517169194777736e-12,0.0,0.0,-0.04189516031684829,-0.004645546370659259
NR-AR-LBD,HA1E,residualized,0,4,2042,2043,543c3314c9199cc07c022213e1e772ae819dac65901728a52823c9ad537ce18a,598,271,42,42,True,1.0,-1.114987088453202,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.5984183669071963e-09,6.797728170290784e-10,False,100000000.0,100000000.0,True,False,2.7293060897908198e-09,6.10967616776481e-10,False,0.6533123687179596,0.8942708333333333,0.1617994294478708,0.04088177480003149,0.6533123687179596,0.8942708333333333,0.12073697359021023,0.029306611835464146,0.6533123687179596,0.8942708333333333,0.16179942924378107,0.040881774759445856,0.6533123687179596,0.8942708333333333,0.12073697346178852,0.029306611802420064,0.0,0.0,-2.0408971734831027e-10,-4.05856320773168e-11,0.0,0.0,-1.284217038266533e-10,-3.3044081360067423e-11,0.0,0.0,-0.04106245578199255,-0.011575162957025792
NR-AR-LBD,HA1E,residualized,1,0,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,675,194,42,42,True,1.0,-1.07131589820052,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.8127515941876805e-09,1.3070450173569004e-09,False,100000000.0,10.0,True,True,2.8328680483544894e-09,6.690393135333483e-10,False,0.5835927960927961,0.9717741935483871,0.15274777227038272,0.03827791208766169,0.5835927960927961,0.9717741935483871,0.0929560358798667,0.024667765385834158,0.5835927960927961,0.9717741935483871,0.15274777213893567,0.03827791201380337,0.5835927960927961,0.9717741935483871,0.09295603582667224,0.024667765350693392,0.0,0.0,-1.3144704769096904e-10,-7.385831529704845e-11,0.0,0.0,-5.319446272356032e-11,-3.514076529764765e-11,0.0,0.0,-0.059791736312263435,-0.01361014666310998
NR-AR-LBD,HA1E,residualized,1,1,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,688,181,42,42,True,1.0,-1.438984470845147,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.366749229444781e-09,6.569265739025942e-10,False,100000000.0,10.0,True,True,2.5192700998725635e-09,5.477681780385879e-10,False,0.6855902155173088,0.8763052208835341,0.16579860914715167,0.03934833886019866,0.6855902155173088,0.8763052208835341,0.17655884204267097,0.041770900781945654,0.6855902155173088,0.8763052208835341,0.16579860882358022,0.03934833876568813,0.6855902155173088,0.8763052208835341,0.17655884199197475,0.04177090074545535,0.0,0.0,-3.2357144741368415e-10,-9.451053134545973e-11,0.0,0.0,-5.0696224995760986e-11,-3.649030383412466e-11,0.0,0.0,0.010760233168394528,0.0024225619797672224
NR-AR-LBD,HA1E,residualized,1,2,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,626,243,42,42,True,1.0,-1.2645947661235428,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.895484486665933e-09,1.192790454948578e-09,False,100000000.0,0.31622776601683794,True,True,2.904326218430349e-09,6.790744563889284e-10,False,0.6539462365120259,0.8791299559471365,0.15943623974333848,0.038946635784934555,0.6539462365120259,0.8791299559471365,0.13365189441638073,0.03294661805318944,0.6539462365120259,0.8791299559471365,0.15943623963432668,0.038946635696889276,0.6539462365120259,0.8791299559471365,0.1336518944225244,0.03294661802546924,0.0,0.0,-1.0901179958722196e-10,-8.80452794005393e-11,0.0,0.0,6.143668906943844e-12,-2.7720201134506794e-11,0.0,0.0,-0.025784345211802284,-0.006000017671420034
NR-AR-LBD,HA1E,residualized,1,3,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,774,95,42,42,True,1.0,-1.2130874930783422,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.61236125055011e-09,1.0370540173137988e-09,False,100000000.0,10.0,True,True,2.6665771372795512e-09,5.664893693024808e-10,False,0.7023809523809523,0.9094202898550725,0.1171053038088001,0.02184419364920471,0.7023809523809523,0.9094202898550725,0.08116075598304831,0.01776927050729883,0.7023809523809523,0.9094202898550725,0.11710530401569458,0.021844193678380086,0.7023809523809523,0.9094202898550725,0.08116075605102419,0.01776927051536051,0.0,0.0,2.068944737754208e-10,2.917537739177689e-11,0.0,0.0,6.7975874928905e-11,8.061679795945409e-12,0.0,0.0,-0.03594454796467039,-0.004074923163019575
NR-AR-LBD,HA1E,residualized,1,4,3042,3043,5596c314896fe7b009b3a787f5aacb72d944215583d614e34afb8f63f6b2b0fc,713,156,42,42,True,1.0,-1.1638818823675399,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.4203246165552705e-09,1.707109880538793e-09,False,100000000.0,3.162277660168379,True,True,2.440536848404171e-09,3.9933461745689236e-10,False,0.34590904488316004,0.6299137104506232,0.22961678553735565,0.06265243981385198,0.34590904488316004,0.6299137104506232,0.1820648796430957,0.04268843667864042,0.34590904488316004,0.6299137104506232,0.22961678564341653,0.06265243981492787,0.34590904488316004,0.6299137104506232,0.18206487948740735,0.042688436627255674,0.0,0.0,1.0606088229891952e-10,1.0758893775886236e-12,0.0,0.0,-1.556883511000251e-10,-5.1384743682270084e-11,0.0,0.0,-0.04755190615600918,-0.01996400318767219
