task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR,HEPG2,residualized,0,0,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,584,84,42,42,True,1.0,-2.0230465356536245,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.4059551973922047e-09,9.203196607576736e-10,False,100000000.0,0.31622776601683794,True,True,2.351787827268457e-09,1.175412267517828e-09,False,0.7777597402597403,0.8634868421052632,0.3748654495060424,0.10182025066557636,0.7777597402597403,0.8634868421052632,0.19886398105245645,0.05597049218464691,0.7777597402597403,0.8634868421052632,0.3748654500841476,0.10182025093162951,0.7777597402597403,0.8634868421052632,0.19886398100972572,0.05597049212247632,0.0,0.0,5.781052303532874e-10,2.660531517317821e-10,0.0,0.0,-4.273073561655849e-11,-6.2170595060973e-11,0.0,0.0,-0.1760014690744219,-0.04584975880915319
NR-AR,HEPG2,residualized,0,1,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,479,189,42,42,True,1.0,-1.9311979019755496,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.56927299449245e-09,1.0602632886241858e-09,False,100000000.0,1.0,True,True,2.6667167564864065e-09,6.452457283756541e-10,False,0.16479256214775168,0.5660493827160494,0.3755912776162038,0.10339097914200217,0.16479256214775168,0.5660493827160494,0.18204711069437007,0.04335152969130074,0.16479256214775168,0.5660493827160494,0.3755912775556853,0.10339097910691958,0.16479256214775168,0.5660493827160494,0.18204711077645333,0.04335152972035462,0.0,0.0,-6.051853462807344e-11,-3.508258961115729e-11,0.0,0.0,8.208325685821194e-11,2.905388429841338e-11,0.0,0.0,-0.19354416677923195,-0.060039449386564955
NR-AR,HEPG2,residualized,0,2,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,533,135,42,42,True,1.0,-2.084755276679011,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.499485634762933e-09,9.19818900950789e-10,False,100000000.0,3.162277660168379,True,True,2.5375860636166214e-09,6.340887433176068e-10,False,0.8289254264254263,0.9438888888888889,0.37310884540862493,0.10271094834597669,0.8289254264254263,0.9438888888888889,0.20470307784552216,0.061260245983257175,0.8289254264254263,0.9438888888888889,0.37310884582564846,0.10271094850388762,0.8289254264254263,0.9438888888888889,0.204703078281472,0.0612602460666013,0.0,0.0,4.170235268219358e-10,1.5791093432859782e-10,0.0,0.0,4.359498317896282e-10,8.334412326949092e-11,0.0,0.0,-0.16840576754417647,-0.041450702437286324
NR-AR,HEPG2,residualized,0,3,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,546,122,42,42,True,1.0,-2.0279160292382103,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.571443045403026e-09,9.44058359264588e-10,False,100000000.0,1.0,True,True,2.6042031298390247e-09,2.1760306403995067e-10,False,0.5870059379684077,0.8151785714285714,0.3874693035383348,0.10868974761840458,0.5870059379684077,0.8151785714285714,0.214468964607536,0.058269772341168716,0.5870059379684077,0.8151785714285714,0.38746930359988363,0.10868974763831905,0.5870059379684077,0.8151785714285714,0.21446896472070806,0.058269772334349226,0.0,0.0,6.154882159492558e-11,1.991447284854786e-11,0.0,0.0,1.1317205506067296e-10,-6.819489417608793e-12,0.0,0.0,-0.17300033887917557,-0.05041997530396983
NR-AR,HEPG2,residualized,0,4,2042,2042,80896102b09bf0844c644517f980fc8a26d36a4787f3192c59de4ba1142cf21a,530,138,42,42,True,1.0,-1.875026210893336,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.574116575579339e-09,9.208637038668477e-10,False,100000000.0,100000000.0,True,False,2.6517475253279404e-09,2.263070824487512e-10,False,0.33186746707617854,0.8320895522388061,0.3504871763611227,0.09194294811244165,0.33186746707617854,0.8320895522388061,0.12531871321266638,0.026429667983102062,0.33186746707617854,0.8320895522388061,0.35048717643166927,0.0919429481609486,0.33186746707617854,0.8320895522388061,0.1253187132268975,0.026429667972681387,0.0,0.0,7.054656858684893e-11,4.8506948457927024e-11,0.0,0.0,1.4231116285401413e-11,-1.0420674739775038e-11,0.0,0.0,-0.22516846320477177,-0.06551328018826721
NR-AR,HEPG2,residualized,1,0,3042,3043,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87,584,84,42,42,True,1.0,-2.0342355474610305,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.377582432770099e-09,1.2871864503091746e-09,False,100000000.0,100000000.0,True,False,2.350474576955453e-09,4.479621257269528e-10,False,0.7581043956043956,0.7845394736842105,0.3597560777819818,0.09561529032779112,0.7581043956043956,0.7845394736842105,0.20454626245155158,0.05575739773074579,0.7581043956043956,0.7845394736842105,0.3597560782223811,0.09561529049268337,0.7581043956043956,0.7845394736842105,0.20454626253810387,0.055757397723611594,0.0,0.0,4.4039927260541845e-10,1.6489225262983354e-10,0.0,0.0,8.655229311038681e-11,-7.134196011726601e-12,0.0,0.0,-0.15520981568427722,-0.03985789276907178
NR-AR,HEPG2,residualized,1,1,3042,3043,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87,541,127,42,42,True,1.0,-1.945755783895901,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.4607949568785747e-09,8.52441344942334e-10,False,100000000.0,100000000.0,True,False,2.55727036250155e-09,8.192585498889571e-10,False,0.13547760625119115,0.581267217630854,0.38743693063375534,0.10874081030851576,0.13547760625119115,0.581267217630854,0.18560070260500158,0.04429465907388691,0.13547760625119115,0.581267217630854,0.38743693057465034,0.10874081027406508,0.13547760625119115,0.581267217630854,0.18560070269160614,0.044294659079825646,0.0,0.0,-5.910499867312069e-11,-3.4450678421116265e-11,0.0,0.0,8.660455685927104e-11,5.938735614385848e-12,0.0,0.0,-0.2018362278830442,-0.06444615119423944
NR-AR,HEPG2,residualized,1,2,3042,3043,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87,472,196,42,42,True,1.0,-1.8591389298397225,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.6994392061793023e-09,1.413596198429623e-09,False,100000000.0,100000000.0,True,False,2.831175247635397e-09,6.323064363766839e-10,False,0.1349255883061228,0.6903508771929825,0.3386953971397829,0.0868143394595571,0.1349255883061228,0.6903508771929825,0.13583042152304806,0.029175526454478046,0.1349255883061228,0.6903508771929825,0.33869539683969996,0.0868143393599625,0.1349255883061228,0.6903508771929825,0.13583042151022243,0.02917552645689521,0.0,0.0,-3.000829584820508e-10,-9.959461033659522e-11,0.0,0.0,-1.2825629447377196e-11,2.417163691426083e-12,0.0,0.0,-0.20286497532947753,-0.057638812903067285
NR-AR,HEPG2,residualized,1,3,3042,3043,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87,543,125,42,42,True,1.0,-1.8985383036343126,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.6256905360021896e-09,1.5532686942210105e-09,False,100000000.0,100000000.0,True,False,2.6817601492912953e-09,1.2129738186095196e-09,False,0.2298107121636533,0.7683333333333333,0.3865600199445487,0.10764552668883934,0.2298107121636533,0.7683333333333333,0.1553984213355408,0.03642035074098755,0.2298107121636533,0.7683333333333333,0.3865600200504379,0.10764552673155697,0.2298107121636533,0.7683333333333333,0.15539842147401084,0.0364203507687665,0.0,0.0,1.0588918630816124e-10,4.2717634984867914e-11,0.0,0.0,1.3847004098899163e-10,2.7778945810297273e-11,0.0,0.0,-0.23116159857642704,-0.07122517596279047
NR-AR,HEPG2,residualized,1,4,3042,3043,d71b93ec1b663f78ff6f0edb52e520afc3f6cfadf250ae216b29f88f28126f87,532,136,42,42,True,1.0,-2.2475490529447155,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.3256783776326885e-09,9.048055568672275e-10,False,100000000.0,100000000.0,True,False,2.1365082176687275e-09,1.3938698806281735e-10,False,0.884395782856547,0.9432712215320911,0.39967152699269703,0.11466898178324939,0.884395782856547,0.9432712215320911,0.27579393622521936,0.09001460915257184,0.884395782856547,0.9432712215320911,0.39967152679774826,0.11466898170215904,0.884395782856547,0.9432712215320911,0.27579393617548464,0.09001460913721232,0.0,0.0,-1.949487793417859e-10,-8.109034277392624e-11,0.0,0.0,-4.973471634528437e-11,-1.5359519212054806e-11,0.0,0.0,-0.12387759062226361,-0.024654372564946722
