task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-AR,MCF7,residualized,0,0,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1005,254,42,42,True,1.0,-1.8894495120608756,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,3.091542511647603e-09,2.2924554368523864e-09,False,100000000.0,3.162277660168379,True,True,3.143524329371358e-09,1.2221203493645305e-09,False,0.4292996650227042,0.7613636363636364,0.35763289279176713,0.09505265860993456,0.4292996650227042,0.7613636363636364,0.15734898841937545,0.036931233191973965,0.4292996650227042,0.7613636363636364,0.35763289290332123,0.09505265871485633,0.4292996650227042,0.7613636363636364,0.15734898854851587,0.036931233241320895,0.0,0.0,1.115540992913111e-10,1.049217657200785e-10,0.0,0.0,1.291404205794322e-10,4.934692932057061e-11,0.0,0.0,-0.20028390435480536,-0.05812142547353543
NR-AR,MCF7,residualized,0,1,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,877,382,42,42,True,1.0,-1.9698666382490362,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.910906188781459e-09,2.412960242205442e-09,False,100000000.0,10.0,True,True,3.1468398118809066e-09,8.760236537910804e-10,False,0.44862523495121803,0.6931818181818182,0.3386598366757283,0.08704272730904612,0.44862523495121803,0.6931818181818182,0.1816805742291852,0.04489413283441208,0.44862523495121803,0.6931818181818182,0.33865983656226706,0.08704272727562509,0.44862523495121803,0.6931818181818182,0.1816805741185309,0.04489413284049627,0.0,0.0,-1.134612404030122e-10,-3.342102983250328e-11,0.0,0.0,-1.1065431904100365e-10,6.0841956472934555e-12,0.0,0.0,-0.15697926244373617,-0.04214859443512882
NR-AR,MCF7,residualized,0,2,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,991,268,42,42,True,1.0,-2.022497529032635,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.3513911853992813,8.170202257782623e-07,False,100000000.0,10.0,True,True,2.3352467989024e-09,8.195559578205724e-10,False,0.7064458941092506,0.8229598893499308,0.3988778646429977,0.11380509840797463,0.7064458941092506,0.8229598893499308,0.22803206700740064,0.06333556896706032,0.690900506267729,0.8400184416781927,0.382320675839497,0.10845452597025908,0.7064458941092506,0.8229598893499308,0.22803206652504135,0.06333556883129984,-0.015545387841521596,0.017058552328261922,-0.016557188803500655,-0.005350572437715556,0.0,0.0,-4.823592913982822e-10,-1.357604723084549e-10,0.015545387841521596,-0.017058552328261922,-0.15428860931445568,-0.045118957138959234
NR-AR,MCF7,residualized,0,3,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1027,232,42,42,True,1.0,-1.8556473833830605,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.09999999999999999,True,True,2.455105125441961e-09,1.6170035770438074e-09,False,100000000.0,100000000.0,True,False,2.442907145881937e-09,6.167599651482614e-10,False,0.32476438561874216,0.8036036036036036,0.38285693974035795,0.10659692857161834,0.32476438561874216,0.8036036036036036,0.15588177968310515,0.03630599383263684,0.32476438561874216,0.8036036036036036,0.3828569393213493,0.1065969283847245,0.32476438561874216,0.8036036036036036,0.15588177928693367,0.03630599376881099,0.0,0.0,-4.190086611011168e-10,-1.8689384762016203e-10,0.0,0.0,-3.961714845068798e-10,-6.382585432396226e-11,0.0,0.0,-0.22697516003441562,-0.07029093461591351
NR-AR,MCF7,residualized,0,4,2042,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,1136,123,42,42,True,1.0,-2.0044401615742116,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.3478813623138494,6.713801315241796e-07,False,100000000.0,3.162277660168379,True,True,2.854238490399679e-09,7.155511391743197e-10,False,0.4503886109095748,0.6574675324675324,0.38915427025431404,0.1082841135030006,0.4503886109095748,0.6574675324675324,0.2705762042197247,0.0731296187445783,0.45685514073473343,0.6907467532467533,0.3745571559142961,0.10422954110812574,0.4503886109095748,0.6574675324675324,0.2705762044343313,0.0731296187611017,0.006466529825158607,0.03327922077922085,-0.014597114340017925,-0.004054572394874861,0.0,0.0,2.146065547492526e-10,1.652340764213278e-11,-0.006466529825158607,-0.03327922077922085,-0.10398095147996483,-0.031099922347024037
NR-AR,MCF7,residualized,1,0,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1019,240,42,42,True,1.0,-2.05729688840992,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,3.0683429180402714e-09,2.1900972216326586e-09,False,100000000.0,3.162277660168379,True,True,3.21876059369653e-09,6.142031085121236e-10,False,0.7251841244227799,0.8126511627906977,0.3808333594683207,0.10571927381867272,0.7251841244227799,0.8126511627906977,0.23570112072207833,0.06651157805303722,0.7251841244227799,0.8126511627906977,0.3808333596528959,0.10571927392551919,0.7251841244227799,0.8126511627906977,0.23570112094686546,0.06651157808199694,0.0,0.0,1.8457518846659582e-10,1.0684647611114428e-10,0.0,0.0,2.247871333516116e-10,2.8959723508137358e-11,0.0,0.0,-0.14513223870603043,-0.03920769584352225
NR-AR,MCF7,residualized,1,1,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1017,242,42,42,True,1.0,-1.8193280907570366,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.9346803650618077e-09,2.331139374416036e-09,False,100000000.0,3.162277660168379,True,True,3.162207384955336e-09,8.660120441941754e-10,False,0.4610069537019665,0.6981837606837606,0.3726251410207526,0.10150184590548397,0.4610069537019665,0.6981837606837606,0.13378483460838875,0.027546556488085187,0.4610069537019665,0.6981837606837606,0.3726251410547638,0.1015018459212202,0.4610069537019665,0.6981837606837606,0.13378483478047593,0.02754655649661151,0.0,0.0,3.401118275903059e-11,1.573623176209793e-11,0.0,0.0,1.7208717784100713e-10,8.526322009538845e-12,0.0,0.0,-0.23884030627428787,-0.07395528942460869
NR-AR,MCF7,residualized,1,2,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,992,267,42,42,True,1.0,-1.9133211721698133,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.37219053910965993,7.68366802437765e-07,False,100000000.0,1.0,True,True,2.3970953883366244e-09,7.532068094229238e-10,False,0.15929548540504107,0.6303921568627451,0.35649236198879786,0.09452883989388051,0.15929548540504107,0.6303921568627451,0.1771583855068954,0.04171370958048837,0.2168126455610464,0.5937908496732026,0.34200494515341506,0.09029162066035458,0.15929548540504107,0.6303921568627451,0.17715838507311565,0.0417137095099936,0.05751716015600533,-0.036601307189542465,-0.014487416835382794,-0.004237219233525935,0.0,0.0,-4.3377973435454464e-10,-7.049476974385627e-11,-0.05751716015600533,0.036601307189542465,-0.1648465600802994,-0.04857791115036098
NR-AR,MCF7,residualized,1,3,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,877,382,42,42,True,1.0,-2.1096482417910813,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.3634949770512151,3.4934766210111337e-07,False,100000000.0,100000000.0,True,False,2.086783243328734e-09,6.321481983706523e-10,False,0.5522319869904004,0.8192237561865069,0.3616038756772016,0.0975935681301926,0.5522319869904004,0.8192237561865069,0.22867027457373676,0.06316390500193417,0.47354222853856526,0.7730311713119735,0.35464142880170507,0.09628680282047478,0.5522319869904004,0.8192237561865069,0.22867027427440867,0.06316390494063062,-0.07868975845183518,-0.04619258487453337,-0.00696244687549652,-0.0013067653097178222,0.0,0.0,-2.9932809009203254e-10,-6.130354557321027e-11,0.07868975845183518,0.04619258487453337,-0.1259711545272964,-0.033122897879844154
NR-AR,MCF7,residualized,1,4,3042,3042,54ab3dfaa24c942fc71293f7708090957f7df16c18549c7a129593651561f116,1131,128,42,42,True,1.0,-1.8874817459643183,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.7081067963941376e-09,1.976537866970468e-09,False,100000000.0,3.162277660168379,True,True,2.8783887991244157e-09,6.662827598674648e-10,False,0.15022966414288486,0.4576612903225806,0.38205807660535135,0.1053662592093163,0.15022966414288486,0.4576612903225806,0.14555643572569354,0.03011761647882321,0.15022966414288486,0.4576612903225806,0.38205807709994255,0.10536625942399189,0.15022966414288486,0.4576612903225806,0.1455564358679119,0.03011761650993124,0.0,0.0,4.945912013276654e-10,2.1467558286580868e-10,0.0,0.0,1.4221834820915547e-10,3.11080293469157e-11,0.0,0.0,-0.23650164123203066,-0.07524864291406065
