task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-ER-LBD,HA1E,residualized,0,0,2042,2042,d68d5aa6bff499dd97ba3343b62ee0e56b72422f02ba3d3d2e712de9383f8f2f,811,96,42,42,True,1.0,-2.0539573525167536,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.5680270889713975e-09,1.6853634234731407e-09,False,100000000.0,100000000.0,True,False,2.5436136213794052e-09,4.807467098022489e-10,False,0.5561111111111111,0.8967032967032967,0.41785763510682034,0.1202248403315211,0.5561111111111111,0.8967032967032967,0.16448466941722137,0.04138723068680543,0.5561111111111111,0.8967032967032967,0.41785763440288815,0.12022484001569544,0.5561111111111111,0.8967032967032967,0.16448466934187525,0.04138723067939223,0.0,0.0,-7.039321903157258e-10,-3.1582565729326717e-10,0.0,0.0,-7.534611823345472e-11,-7.413201996708807e-12,0.0,0.0,-0.2533729650610129,-0.07883760933630321
NR-ER-LBD,HA1E,residualized,0,1,2042,2042,d68d5aa6bff499dd97ba3343b62ee0e56b72422f02ba3d3d2e712de9383f8f2f,738,169,42,42,True,1.0,-2.266125461176126,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.509514294925554e-09,1.6434826993240448e-09,False,100000000.0,100000000.0,True,False,2.2909687754498845e-09,5.261688099111872e-10,False,0.7550402302057789,0.9389256806475349,0.4190352111903442,0.11982409077193339,0.7550402302057789,0.9389256806475349,0.2837933023697256,0.08604428809532738,0.7550402302057789,0.9389256806475349,0.41903521122525056,0.11982409077636583,0.7550402302057789,0.9389256806475349,0.28379330238644734,0.08604428809099497,0.0,0.0,3.490635558378585e-11,4.432440525725667e-12,0.0,0.0,1.6721735107694258e-11,-4.3324094312069406e-12,0.0,0.0,-0.13524190883880322,-0.033779802685370855
NR-ER-LBD,HA1E,residualized,0,2,2042,2042,d68d5aa6bff499dd97ba3343b62ee0e56b72422f02ba3d3d2e712de9383f8f2f,729,178,42,42,True,1.0,-2.004501427961025,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.09999999999999999,True,True,2.9746505642314663e-09,2.6250943155337048e-09,False,100000000.0,100000000.0,True,False,2.8472396684385305e-09,3.0612742549229743e-10,False,0.12776195146250718,0.6833751044277361,0.413924276851096,0.11819019368757773,0.12776195146250718,0.6833751044277361,0.16328764433780205,0.037444706025938156,0.12776195146250718,0.6833751044277361,0.4139242776900193,0.11819019405080587,0.12776195146250718,0.6833751044277361,0.16328764447453537,0.03744470604726044,0.0,0.0,8.389233197014789e-10,3.632281420085093e-10,0.0,0.0,1.367333191115705e-10,2.1322284216029885e-11,0.0,0.0,-0.25063663321548396,-0.08074548800354543
NR-ER-LBD,HA1E,residualized,0,3,2042,2042,d68d5aa6bff499dd97ba3343b62ee0e56b72422f02ba3d3d2e712de9383f8f2f,628,279,42,42,True,1.0,-2.109569042454462,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.31622776601683794,False,False,0.3816752690904468,5.825250985243974e-07,False,100000000.0,100000000.0,True,False,2.9162394995555924e-09,5.89719793830934e-10,False,0.22892981289961353,0.5857656039515042,0.4212269500905802,0.12172347814652862,0.22892981289961353,0.5857656039515042,0.21947771189635454,0.05507587219293453,0.21628207989641282,0.6035024696901662,0.415679507241178,0.12106616522852783,0.22892981289961353,0.5857656039515042,0.21947771196156393,0.055075872188031554,-0.012647733003200712,0.017736865738661955,-0.005547442849402173,-0.0006573129180007936,0.0,0.0,6.520939344056842e-11,-4.90297386024352e-12,0.012647733003200712,-0.017736865738661955,-0.1962017952796141,-0.06599029304049628
NR-ER-LBD,HA1E,residualized,0,4,2042,2042,d68d5aa6bff499dd97ba3343b62ee0e56b72422f02ba3d3d2e712de9383f8f2f,722,185,42,42,True,1.0,-1.9959700783617267,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100000000.0,True,False,2.669587516884199e-09,9.516565903366914e-10,False,100000000.0,100000000.0,True,False,2.7013656433328395e-09,6.691620660359554e-10,False,0.2886618931296041,0.8693502824858756,0.42965159360323296,0.12540020916105563,0.2886618931296041,0.8693502824858756,0.1656343339973509,0.03961388863272568,0.2886618931296041,0.8693502824858756,0.4296515938010867,0.12540020924444964,0.2886618931296041,0.8693502824858756,0.16563433396033542,0.039613888633408145,0.0,0.0,1.9785373339686885e-10,8.339401391666001e-11,0.0,0.0,-3.701547401924188e-11,6.824679710248915e-13,0.0,0.0,-0.2640172598407513,-0.0857863206110415
NR-ER-LBD,HA1E,residualized,1,0,3042,3042,0aee1afa888706dc9ac605c6ddcdcde369cb2a6422761a171f103a89299d0775,804,103,42,42,True,1.0,-2.0431528909405383,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.5274502372122097e-09,8.87631493480534e-10,False,100000000.0,1.0,True,True,2.59535230997266e-09,7.82365700002785e-10,False,0.5379186602870814,0.7828282828282829,0.3814780582747761,0.10314279843842918,0.5379186602870814,0.7828282828282829,0.14090115408346165,0.032228797410227245,0.5379186602870814,0.7828282828282829,0.3814780578755551,0.10314279825896,0.5379186602870814,0.7828282828282829,0.14090115440693865,0.03222879747139765,0.0,0.0,-3.9922098959976893e-10,-1.7946917563183007e-10,0.0,0.0,3.2347699518986417e-10,6.11704020769821e-11,0.0,0.0,-0.24057690346861646,-0.07091400078756235
NR-ER-LBD,HA1E,residualized,1,1,3042,3042,0aee1afa888706dc9ac605c6ddcdcde369cb2a6422761a171f103a89299d0775,637,270,42,42,True,1.0,-1.9353845547509714,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.184695887555425e-09,2.2557144971346865e-09,False,100000000.0,1.0,True,True,3.1724505275788215e-09,3.404944906755525e-10,False,0.11079662088735205,0.6915384615384614,0.4125288962573653,0.11763246589153468,0.11079662088735205,0.6915384615384614,0.1597167059584141,0.03585185722987781,0.11079662088735205,0.6915384615384614,0.41252889646314633,0.1176324659652152,0.11079662088735205,0.6915384615384614,0.15971670605296887,0.035851857238772926,0.0,0.0,2.0578105885959985e-10,7.368052001854863e-11,0.0,0.0,9.455475291630933e-11,8.895113812190658e-12,0.0,0.0,-0.25281219041017744,-0.08178060872644227
NR-ER-LBD,HA1E,residualized,1,2,3042,3042,0aee1afa888706dc9ac605c6ddcdcde369cb2a6422761a171f103a89299d0775,724,183,42,42,True,1.0,-2.246027202606651,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.273775047392292e-09,1.8759578092331086e-09,False,100000000.0,100000000.0,True,False,2.2758598014069622e-09,6.135401908746729e-10,False,0.4868270345807106,0.7621951219512195,0.47042688950819067,0.14466436831012403,0.4868270345807106,0.7621951219512195,0.30393076368634053,0.08693781501521149,0.4868270345807106,0.7621951219512195,0.470426889514784,0.14466436829616502,0.4868270345807106,0.7621951219512195,0.30393076342051717,0.08693781497992434,0.0,0.0,6.5933369874926484e-12,-1.3959000622065787e-11,0.0,0.0,-2.6582336332126033e-10,-3.5287148203444474e-11,0.0,0.0,-0.16649612609426684,-0.057726553316240686
NR-ER-LBD,HA1E,residualized,1,3,3042,3042,0aee1afa888706dc9ac605c6ddcdcde369cb2a6422761a171f103a89299d0775,720,187,42,42,True,1.0,-2.0649038578172645,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.810929628835205e-09,2.521631686010911e-09,False,100000000.0,3.162277660168379,True,True,2.6838530529202372e-09,2.469378590497229e-10,False,0.4421034642013866,0.6694915254237287,0.4122250276096756,0.11673959473537783,0.4421034642013866,0.6694915254237287,0.19234346185978657,0.04772805239765437,0.4421034642013866,0.6694915254237287,0.41222502741351247,0.11673959466396783,0.4421034642013866,0.6694915254237287,0.19234346173320596,0.04772805239178418,0.0,0.0,-1.961631412861209e-10,-7.141000291088773e-11,0.0,0.0,-1.265806071071296e-10,-5.870186281509149e-12,0.0,0.0,-0.2198815656803065,-0.06901154227218365
NR-ER-LBD,HA1E,residualized,1,4,3042,3042,0aee1afa888706dc9ac605c6ddcdcde369cb2a6422761a171f103a89299d0775,743,164,42,42,True,1.0,-2.129669742509419,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.792605808528072e-09,2.853006816471576e-09,False,100000000.0,100000000.0,True,False,2.451482242147936e-09,4.1068016001788443e-10,False,0.6270125250010237,0.9418859649122806,0.41322210913408053,0.11769049963541135,0.6270125250010237,0.9418859649122806,0.2173131788194068,0.060931652127634586,0.6270125250010237,0.9418859649122806,0.41322210908262386,0.11769049960754017,0.6270125250010237,0.9418859649122806,0.21731317874595424,0.06093165209761984,0.0,0.0,-5.1456672256477987e-11,-2.7871177588068008e-11,0.0,0.0,-7.345254959822967e-11,-3.001474763175693e-11,0.0,0.0,-0.19590893033666962,-0.056758847509920336
