task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-PPAR-gamma,HT29,residualized,0,0,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,729,74,42,42,True,1.0,-1.8558511198679783,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.01,False,False,1.6527681428196368,7.610529645937043e-07,False,100000000.0,0.09999999999999999,True,True,1.9908811297421355e-09,1.5178956286332479e-09,False,0.6111111111111112,0.951388888888889,0.24481330396608636,0.05252595205074072,0.6111111111111112,0.951388888888889,0.10238189103763816,0.023480933448781844,0.625,0.9583333333333333,0.1444690374362015,0.028895378535322775,0.6111111111111112,0.951388888888889,0.1023818912956203,0.023480933482500306,0.01388888888888884,0.006944444444444309,-0.10034426652988487,-0.023630573515417943,0.0,0.0,2.57982135654089e-10,3.371846205024731e-11,-0.01388888888888884,-0.006944444444444309,-0.04208714614058119,-0.005414445052822469
NR-PPAR-gamma,HT29,residualized,0,1,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,641,162,42,42,True,1.0,-1.8396378102108197,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.03162277660168379,False,False,1.6531659901300886,8.526315100835635e-07,False,100000000.0,1.0,True,True,2.144723814170104e-09,8.716293103949724e-10,False,0.06636918382913806,0.5987261146496815,0.2684989286630334,0.062128123763812146,0.06636918382913806,0.5987261146496815,0.1373403798318712,0.03004056139301357,0.08312089530135183,0.6407643312101912,0.20658015285407447,0.049474332682927356,0.06636918382913806,0.5987261146496815,0.13734037983400618,0.0300405613917492,0.01675171147221377,0.042038216560509656,-0.06191877580895891,-0.01265379108088479,0.0,0.0,2.1349866319297917e-12,-1.2643705527004556e-12,-0.01675171147221377,-0.042038216560509656,-0.06923977302006828,-0.019433771291178157
NR-PPAR-gamma,HT29,residualized,0,2,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,648,155,42,42,True,1.0,-2.1096132385904,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.01,False,False,1.649102242332652,6.674722382812338e-07,False,100000000.0,100000000.0,True,False,1.8340572465661869e-09,1.3643965818266324e-09,False,0.223491431063263,0.6834482758620689,0.29802778180031564,0.07499809002445139,0.223491431063263,0.6834482758620689,0.24503437726095037,0.06050914701696107,0.2291206058042106,0.7524137931034482,0.2297451188711304,0.06024806530690725,0.223491431063263,0.6834482758620689,0.2450343772108319,0.06050914701645463,0.005629174740947596,0.06896551724137934,-0.06828266292918525,-0.014750024717544136,0.0,0.0,-5.0118464933746054e-11,-5.06442110470573e-13,-0.005629174740947596,-0.06896551724137934,0.015289258339701517,0.00026108170954737553
NR-PPAR-gamma,HT29,residualized,0,3,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,544,259,42,42,True,1.0,-1.718290880383977,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.01,False,False,0.9013812222548896,9.145102792100252e-07,False,100000000.0,0.03162277660168379,True,True,2.0822753175084607e-09,9.222788158180784e-10,False,0.038507109718514655,0.5480314960629922,0.2322574874775071,0.04770920828873147,0.038507109718514655,0.5480314960629922,0.10176021702987972,0.01950025421110336,0.0813701362833273,0.6259842519685039,0.18657873985755544,0.03776535155900778,0.038507109718514655,0.5480314960629922,0.10176021693876816,0.019500254204245913,0.04286302656481265,0.07795275590551176,-0.045678747619951665,-0.009943856729723692,0.0,0.0,-9.11115627388881e-11,-6.857445167263165e-12,-0.04286302656481265,-0.07795275590551176,-0.08481852291878728,-0.018265097354761867
NR-PPAR-gamma,HT29,residualized,0,4,2042,2042,f0665c9ddc835c91e1d2f197dba00eaad1bca8dc856d51ac4377e57b5d0ad817,650,153,42,42,True,1.0,-1.9464980869635564,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.01,False,False,0.837656672363846,7.648917311068107e-07,False,100000000.0,0.09999999999999999,True,True,2.1675974183558717e-09,2.046208091854851e-09,False,0.31008204045649995,0.8052837573385518,0.2631091304684883,0.061095046070146916,0.31008204045649995,0.8052837573385518,0.16300079757815744,0.04005461234746382,0.4347989195678271,0.7827788649706456,0.21989787135959,0.04980326110960374,0.31008204045649995,0.8052837573385518,0.16300079771870138,0.04005461235967901,0.12471687911132717,-0.022504892367906204,-0.04321125910889828,-0.011291784960543179,0.0,0.0,1.4054393759899142e-10,1.2215194133968765e-11,-0.12471687911132717,0.022504892367906204,-0.05689707364088861,-0.009748648749924725
NR-PPAR-gamma,HT29,residualized,1,0,3042,3042,f380384342d57e3026998caf00740221587526d92eb0b0d29ead1943737a32bb,726,77,42,42,True,1.0,-1.8640541416173964,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.01,0.01,False,False,2.8671344612396186,9.959782314990055e-07,False,100000000.0,100000000.0,True,False,1.846913530717023e-09,2.1424999274710643e-10,False,0.11724137931034484,0.6,0.2452027725894269,0.05296264676936433,0.11724137931034484,0.6,0.11797594092082829,0.025152981102778665,0.7,0.98,0.10551773117713412,0.021830654054553755,0.11724137931034484,0.6,0.11797594075067791,0.025152981086520462,0.5827586206896551,0.38,-0.1396850414122928,-0.031131992714810576,0.0,0.0,-1.7015037989676074e-10,-1.6258203117125447e-11,-0.5827586206896551,-0.38,0.012458209573543794,0.003322327031966707
NR-PPAR-gamma,HT29,residualized,1,1,3042,3042,f380384342d57e3026998caf00740221587526d92eb0b0d29ead1943737a32bb,647,156,42,42,True,1.0,-1.8977708017425177,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.01,False,False,1.6490975926293616,7.621516581139817e-07,False,1.0,0.09999999999999999,False,False,0.15909291821019314,1.6426768000878111e-07,False,0.14313676763790087,0.7899999999999999,0.26534297366716886,0.06205753039721334,0.14313676763790087,0.7899999999999999,0.15107262217220616,0.035813704773909584,0.11353835688174269,0.6933333333333335,0.2009443014433149,0.0481761833883939,0.08924361238839405,0.6677777777777778,0.1581971910685191,0.03664639189758635,-0.029598410756158183,-0.09666666666666646,-0.06439867222385395,-0.01388134700881944,-0.053893155249506816,-0.12222222222222212,0.007124568896312938,0.0008326871236767688,-0.024294744493348633,-0.025555555555555665,-0.04274711037479581,-0.011529791490807545
NR-PPAR-gamma,HT29,residualized,1,2,3042,3042,f380384342d57e3026998caf00740221587526d92eb0b0d29ead1943737a32bb,545,258,42,42,True,1.0,-2.0041151485090243,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.01,False,False,1.6591358263922171,9.149414632574765e-07,False,100000000.0,100000000.0,True,False,1.8120909771389044e-09,1.175743349901559e-09,False,0.10332933988771051,0.5436142804563857,0.2694220330318405,0.06288453957385148,0.10332933988771051,0.5436142804563857,0.1751440920722242,0.04050967979670162,0.14812320760472258,0.673536989326463,0.21866572214396784,0.053261444829309536,0.10332933988771051,0.5436142804563857,0.17514409194845512,0.040509679790282214,0.044793867717012076,0.12992270887007729,-0.050756310887872635,-0.009623094744541948,0.0,0.0,-1.2376907831956885e-10,-6.41940667289731e-12,-0.044793867717012076,-0.12992270887007729,-0.04352163019551272,-0.012751765039027321
NR-PPAR-gamma,HT29,residualized,1,3,3042,3042,f380384342d57e3026998caf00740221587526d92eb0b0d29ead1943737a32bb,646,157,42,42,True,1.0,-1.7799151981035317,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.01,False,False,1.6773881968328916,6.380856139686492e-07,False,100000000.0,0.03162277660168379,True,True,2.208330418115327e-09,1.3395710235508673e-09,False,0.13064713064713063,0.8809523809523809,0.23615289865813374,0.049212647871112895,0.13064713064713063,0.8809523809523809,0.09382065915838915,0.01864207017868757,0.2071026722925457,0.8203463203463204,0.1472377599973826,0.02897874061247897,0.13064713064713063,0.8809523809523809,0.09382065923452534,0.018642070181608763,0.07645554164541507,-0.06060606060606055,-0.08891513866075115,-0.020233907258633926,0.0,0.0,7.61361945711414e-11,2.9211945362650482e-12,-0.07645554164541507,0.06060606060606055,-0.053417100762857245,-0.010336670430870207
NR-PPAR-gamma,HT29,residualized,1,4,3042,3042,f380384342d57e3026998caf00740221587526d92eb0b0d29ead1943737a32bb,648,155,42,42,True,1.0,-1.9400269101303216,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.01,0.01,False,False,2.808367126909011,8.479651912700076e-07,False,100000000.0,100000000.0,True,False,2.0306149193890174e-09,1.4102346235222996e-09,False,0.37342855802608127,0.7702702702702703,0.2668173957503079,0.061747819237235706,0.37342855802608127,0.7702702702702703,0.16260569540059702,0.03957839095012766,0.22129359496616136,0.6988416988416988,0.20388759807263937,0.05305527828029139,0.37342855802608127,0.7702702702702703,0.16260569546529138,0.03957839096094625,-0.15213496305991991,-0.07142857142857151,-0.06292979767766851,-0.008692540956944314,0.0,0.0,6.469436097944481e-11,1.081858908014155e-11,0.15213496305991991,0.07142857142857151,-0.04128190260734799,-0.01347688731934514
