task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
NR-PPAR-gamma,MCF7,residualized,0,0,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,875,198,42,42,True,1.0,-2.042902169508459,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.582439268746188e-09,1.7259490989185444e-09,False,100000000.0,3.162277660168379,True,True,2.5540314336496632e-09,4.860531629957698e-10,False,0.32264549457370584,0.5430067314884068,0.25507585120674253,0.056746759858386266,0.32264549457370584,0.5430067314884068,0.13944475516711402,0.03154648981878063,0.32264549457370584,0.5430067314884068,0.2550758512345763,0.05674675984890219,0.32264549457370584,0.5430067314884068,0.1394447552463094,0.0315464898322592,0.0,0.0,2.7833790827713756e-11,-9.484073248966496e-12,0.0,0.0,7.91953724821326e-11,1.3478572424840962e-11,0.0,0.0,-0.11563109598826693,-0.02520027001664299
NR-PPAR-gamma,MCF7,residualized,0,1,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,847,226,42,42,True,1.0,-1.9304649299691674,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.4325311597297194e-09,1.327552793389808e-09,False,100000000.0,10.0,True,True,2.3419356241653493e-09,1.1947909710208204e-09,False,0.024746481588586854,0.4914027149321267,0.25844984951921174,0.05772601034519234,0.024746481588586854,0.4914027149321267,0.11305643735014219,0.022327706541759935,0.024746481588586854,0.4914027149321267,0.2584498490968022,0.05772601022440262,0.024746481588586854,0.4914027149321267,0.11305643714436438,0.022327706531563303,0.0,0.0,-4.224095517812998e-10,-1.207897185051543e-10,0.0,0.0,-2.0577781145725282e-10,-1.0196631733405681e-11,0.0,0.0,-0.14539341195243782,-0.03539830369283932
NR-PPAR-gamma,MCF7,residualized,0,2,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,992,81,42,42,True,1.0,-2.0035032444059793,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.4488323920042886e-09,1.2482592147422533e-09,False,100000000.0,3.162277660168379,True,True,2.3392071441338846e-09,6.949871546313435e-10,False,0.5769230769230769,0.9303797468354431,0.22990210054732307,0.04677623709094695,0.5769230769230769,0.9303797468354431,0.0968185327266456,0.022005546210911373,0.5769230769230769,0.9303797468354431,0.22990210081348922,0.04677623718865026,0.5769230769230769,0.9303797468354431,0.09681853293267599,0.02200554623473889,0.0,0.0,2.6616614468011335e-10,9.770331071967675e-11,0.0,0.0,2.0603038719535505e-10,2.382751634888436e-11,0.0,0.0,-0.1330835678808132,-0.02477069095391137
NR-PPAR-gamma,MCF7,residualized,0,3,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,853,220,42,42,True,1.0,-2.136552658929848,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.09999999999999999,True,True,1.985427295961541e-09,9.690106928667008e-10,False,100000000.0,10.0,True,True,1.8021552383826357e-09,1.9776034976271006e-10,False,0.16005030854566207,0.7657142857142857,0.2731088629496947,0.06470576471417705,0.16005030854566207,0.7657142857142857,0.17590249423648655,0.04265461948690839,0.16005030854566207,0.7657142857142857,0.2731088629389922,0.0647057647010313,0.16005030854566207,0.7657142857142857,0.17590249400825747,0.042654619469752866,0.0,0.0,-1.0702494446235278e-11,-1.3145748378740052e-11,0.0,0.0,-2.2822907452813013e-10,-1.7155526998990922e-11,0.0,0.0,-0.09720636893073475,-0.022051145231278435
NR-PPAR-gamma,MCF7,residualized,0,4,2042,2042,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,725,348,42,42,True,1.0,-2.000010147197426,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.5322216622841246e-09,1.1346980976351118e-09,False,100000000.0,10.0,True,True,2.393204738058279e-09,2.2799633361825222e-10,False,0.19992838015566425,0.8142011834319527,0.23915662719947278,0.05107789823440941,0.19992838015566425,0.8142011834319527,0.12001230169262797,0.02684151552901747,0.19992838015566425,0.8142011834319527,0.2391566269442233,0.051077898161117234,0.19992838015566425,0.8142011834319527,0.12001230150322353,0.02684151551724705,0.0,0.0,-2.552494882124279e-10,-7.329217788232256e-11,0.0,0.0,-1.8940443657911032e-10,-1.1770417973622216e-11,0.0,0.0,-0.11914432544099976,-0.024236382643870184
NR-PPAR-gamma,MCF7,residualized,1,0,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,867,206,42,42,True,1.0,-1.9622383418158351,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.282265494015857e-09,1.284446018295915e-09,False,100000000.0,10.0,True,True,2.192175753172254e-09,8.869107184783509e-10,False,0.06135385051259486,0.7820895522388059,0.25010481424338343,0.054680820708908985,0.06135385051259486,0.7820895522388059,0.11195637749807268,0.023663490468608977,0.06135385051259486,0.7820895522388059,0.2501048139329492,0.05468082059586488,0.06135385051259486,0.7820895522388059,0.1119563774212953,0.023663490460941006,0.0,0.0,-3.104342338744459e-10,-1.1304410185708491e-10,0.0,0.0,-7.677737612343805e-11,-7.667970425284665e-12,0.0,0.0,-0.1381484365116539,-0.031017330134923877
NR-PPAR-gamma,MCF7,residualized,1,1,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,832,241,42,42,True,1.0,-1.8929231675790208,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,100.0,True,True,2.4637850974916645e-09,1.2492128893815124e-09,False,100000000.0,31.622776601683796,True,True,2.36099137746199e-09,2.950287514291716e-10,False,0.03604850540986613,0.6213080168776373,0.2355651170225998,0.049392218035316564,0.03604850540986613,0.6213080168776373,0.08973426665657565,0.01680260481499604,0.03604850540986613,0.6213080168776373,0.23556511672634797,0.049392217952398905,0.03604850540986613,0.6213080168776373,0.08973426644069903,0.016802604804375395,0.0,0.0,-2.962518286242499e-10,-8.291765885015678e-11,0.0,0.0,-2.1587662213384817e-10,-1.062064672319174e-11,0.0,0.0,-0.14583085028564896,-0.032589613148023514
NR-PPAR-gamma,MCF7,residualized,1,2,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,992,81,42,42,True,1.0,-2.0358279559684647,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,31.622776601683796,True,True,2.2505816271884593e-09,1.2758662563949752e-09,False,100000000.0,3.162277660168379,True,True,2.173083480845724e-09,3.292277041266889e-10,False,0.23034188034188036,0.7307692307692308,0.2505803983947324,0.05569927009266648,0.23034188034188036,0.7307692307692308,0.1423084086008222,0.033717023075612966,0.23034188034188036,0.7307692307692308,0.2505803983207442,0.05569927004674115,0.23034188034188036,0.7307692307692308,0.14230840841702802,0.03371702306543625,0.0,0.0,-7.398820445203569e-11,-4.592533298097834e-11,0.0,0.0,-1.8379417432434764e-10,-1.0176713638454515e-11,0.0,0.0,-0.10827198990371617,-0.021982246981304895
NR-PPAR-gamma,MCF7,residualized,1,3,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,865,208,42,42,True,1.0,-2.0975048304998327,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,2.824776231999068e-09,1.5791887363753032e-09,False,100000000.0,1.0,True,True,2.690574968679973e-09,8.358318655254937e-10,False,0.5095449217358642,0.8710217755443886,0.2536391230716118,0.05632031976004203,0.5095449217358642,0.8710217755443886,0.14677851007970594,0.036970862952401956,0.5095449217358642,0.8710217755443886,0.2536391234222192,0.056320319887435896,0.5095449217358642,0.8710217755443886,0.14677851029807767,0.03697086297823548,0.0,0.0,3.5060743197590227e-10,1.2739386628934923e-10,0.0,0.0,2.1837173735939075e-10,2.5833522820928323e-11,0.0,0.0,-0.10686061312414155,-0.019349456909200417
NR-PPAR-gamma,MCF7,residualized,1,4,3042,3042,9a6e28f960f129536934b7a092e22cf9bdb3994b78fb5ea72445709680c0133b,736,337,42,42,True,1.0,-2.1454045100518626,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.2299185658811887e-09,8.418251304376234e-10,False,100000000.0,100000000.0,True,False,2.161334942864799e-09,4.099650549593825e-10,False,0.06876333973674731,0.585707502374169,0.26558004742880503,0.06138619530235256,0.06876333973674731,0.585707502374169,0.16395365351720279,0.03713536296409226,0.06876333973674731,0.585707502374169,0.2655800472222919,0.061386195230830956,0.06876333973674731,0.585707502374169,0.16395365338281684,0.03713536295511963,0.0,0.0,-2.0651313992203768e-10,-7.152160114154427e-11,0.0,0.0,-1.343859468150299e-10,-8.97263513488511e-12,0.0,0.0,-0.10162639383947505,-0.02425083227571133
