task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ARE,HA1E,residualized,0,0,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,636,54,42,42,True,1.0,-1.0064256620004566,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,7.80650075685043e-09,1.3808554856845068e-08,False,10.0,1.0,False,False,0.045018644508533906,8.733031234345323e-07,False,0.7523075998075998,0.8290598290598291,0.506691720012425,0.16246269706645697,0.7523075998075998,0.8290598290598291,0.48633196667723005,0.1592278635299167,0.7523075998075998,0.8290598290598291,0.5066917152925972,0.1624626951717803,0.7595319754159291,0.8273504273504274,0.475150225534865,0.15451643623062483,0.0,0.0,-4.719827861876524e-09,-1.894676665559203e-09,0.0072243756083293365,-0.0017094017094017033,-0.011181741142365031,-0.004711427299291859,0.0072243756083293365,-0.0017094017094017033,-0.03154148975773213,-0.00794625894115547
SR-ARE,HA1E,residualized,0,1,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,548,142,42,42,True,1.0,-1.0440915161408928,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,7.2472763141032225e-09,1.1839580376857284e-08,False,3.162277660168379,1.0,False,False,0.1165742686999178,1.1010476838602123e-07,False,0.44600799597093965,0.7156208277703605,0.5505756662674051,0.18577564671986946,0.44600799597093965,0.7156208277703605,0.513257015155447,0.17039504829260477,0.44600799597093965,0.7156208277703605,0.5505756630286395,0.18577564522834106,0.4911125294320303,0.7503337783711616,0.4906786442503417,0.161960642707115,0.0,0.0,-3.2387655890531164e-09,-1.4915284007877005e-09,0.04510453346109067,0.03471295060080104,-0.022578370905105283,-0.008434405585489774,0.04510453346109067,0.03471295060080104,-0.059897018778297784,-0.023815002521226064
SR-ARE,HA1E,residualized,0,2,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,470,220,42,42,True,1.0,-0.9780710559563721,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,10.0,False,False,0.018500495912188636,6.667365964017902e-07,False,100000000.0,3.162277660168379,True,True,9.367414709511916e-09,1.2212200101863191e-08,False,0.5103451782858884,0.8262706090748058,0.462385704598711,0.14635430509375108,0.5103451782858884,0.8262706090748058,0.39016178068291024,0.12346244375024559,0.5117315353603923,0.8385338601989372,0.4572337038912096,0.14430978309114964,0.5103451782858884,0.8262706090748058,0.3901617761664316,0.12346244256223829,0.0013863570745038523,0.012263251124131402,-0.005152000707501381,-0.00204452200260144,0.0,0.0,-4.5164786355300635e-09,-1.1880073036429906e-09,-0.0013863570745038523,-0.012263251124131402,-0.06707192772477799,-0.02084734052891135
SR-ARE,HA1E,residualized,0,3,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,540,150,42,42,True,1.0,-0.9728349920323949,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,7.968389424331689e-09,1.3741864542116122e-08,False,100000000.0,1.0,True,True,8.629950002098877e-09,1.083233101134562e-08,False,0.3230638485539026,0.6631518951268167,0.547851418540935,0.1821753361562388,0.3230638485539026,0.6631518951268167,0.47058021070064865,0.14920581653500686,0.3230638485539026,0.6631518951268167,0.5478514132931258,0.18217533409967093,0.3230638485539026,0.6631518951268167,0.4705802057039216,0.1492058149354862,0.0,0.0,-5.247809187203245e-09,-2.0565678604533844e-09,0.0,0.0,-4.99672703213605e-09,-1.5995206548158336e-09,0.0,0.0,-0.0772712075892042,-0.032969519164184724
SR-ARE,HA1E,residualized,0,4,2042,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c,566,124,42,42,True,1.0,-0.8488576227768352,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04578261995518792,2.8451287470768194e-07,False,100000000.0,1.0,True,True,8.134929466961088e-09,1.0448749074298824e-08,False,0.40125015277115333,0.7974537037037037,0.5109504353070201,0.16638965200330652,0.40125015277115333,0.7974537037037037,0.3598835296359816,0.10523421451115113,0.5305363888917904,0.8119212962962963,0.5018059454818881,0.16285309178815255,0.40125015277115333,0.7974537037037037,0.3598835244312438,0.10523421222688095,0.1292862361206371,0.01446759259259256,-0.009144489825132052,-0.003536560215153972,0.0,0.0,-5.204737807407156e-09,-2.2842701757896933e-09,-0.1292862361206371,-0.01446759259259256,-0.1419224210506443,-0.057618879561271596
SR-ARE,HA1E,residualized,1,0,3042,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1,634,56,42,42,True,1.0,-0.9603466430941735,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,8.004473661363327e-09,1.4467275606666608e-08,False,100000000.0,3.162277660168379,True,True,8.541287435604736e-09,1.1244201611471105e-08,False,0.3971940449286079,0.6404040404040404,0.5821722735663017,0.19716211685094992,0.3971940449286079,0.6404040404040404,0.4860540303702064,0.15177576117175398,0.3971940449286079,0.6404040404040404,0.5821722722565962,0.197162116168994,0.3971940449286079,0.6404040404040404,0.48605402786302354,0.15177576090826964,0.0,0.0,-1.309705566221453e-09,-6.819559084103588e-10,0.0,0.0,-2.507182850219891e-09,-2.6348434545298005e-10,0.0,0.0,-0.09611824439357264,-0.045386355260724376
SR-ARE,HA1E,residualized,1,1,3042,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1,489,201,42,42,True,1.0,-0.9545197990231016,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,8.642095301725316e-09,1.504379375238951e-08,False,100000000.0,3.162277660168379,True,True,8.936368254088701e-09,1.1390634569244384e-08,False,0.3902514816579249,0.760822510822511,0.46945218860100313,0.14859050817816855,0.3902514816579249,0.760822510822511,0.39139947459582775,0.12116975040519441,0.3902514816579249,0.760822510822511,0.46945218609099765,0.14859050737504786,0.3902514816579249,0.760822510822511,0.39139947019425797,0.12116974882252955,0.0,0.0,-2.510005481237698e-09,-8.031206810699132e-10,0.0,0.0,-4.4015697753252425e-09,-1.5826648602779159e-09,0.0,0.0,-0.07805271589673968,-0.027420758552518312
SR-ARE,HA1E,residualized,1,2,3042,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1,566,124,42,42,True,1.0,-0.9906999872625953,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,8.636296391278178e-09,1.5649590932170776e-08,False,100000000.0,3.162277660168379,True,True,9.188737128082763e-09,1.1822178291875929e-08,False,0.6334548868949371,0.8286751361161524,0.514626470238317,0.16771520274473609,0.6334548868949371,0.8286751361161524,0.44350412553303226,0.14309188074313314,0.6334548868949371,0.8286751361161524,0.5146264649685988,0.1677152004518995,0.6334548868949371,0.8286751361161524,0.4435041236232134,0.143091880075462,0.0,0.0,-5.2697182173488955e-09,-2.292836587258762e-09,0.0,0.0,-1.9098188586141873e-09,-6.676711405972924e-10,0.0,0.0,-0.07112234134538536,-0.024623320376437496
SR-ARE,HA1E,residualized,1,3,3042,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1,537,153,42,42,True,1.0,-0.9531351028171591,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3162.277660168379,0.31622776601683794,False,True,0.00022320833420264125,5.7574011001412795e-09,False,100000000.0,1.0,True,True,7.771346938736367e-09,8.84719330435102e-09,False,0.38975704083013907,0.7551428571428571,0.5029921336971519,0.16456285300670906,0.38975704083013907,0.7551428571428571,0.4177409405495867,0.13278924026433184,0.39276756102389376,0.7554285714285714,0.502835596278677,0.16448622013974185,0.38975704083013907,0.7551428571428571,0.4177409331739199,0.13278923720870722,0.0030105201937546955,0.00028571428571433355,-0.000156537418474878,-7.663286696721339e-05,0.0,0.0,-7.3756667995361624e-09,-3.055624614445307e-09,-0.0030105201937546955,-0.00028571428571433355,-0.0850946631047571,-0.03169698293103462
SR-ARE,HA1E,residualized,1,4,3042,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1,534,156,42,42,True,1.0,-0.9886667846241464,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,7.466708853186653e-09,1.2958091015133344e-08,False,100000000.0,3.162277660168379,True,True,7.860120050968989e-09,9.89529786929455e-09,False,0.4557083689489679,0.7360094451003543,0.5453237388964073,0.18222512519514333,0.4557083689489679,0.7360094451003543,0.4713519173492055,0.15289646173462804,0.4557083689489679,0.7360094451003543,0.5453237332366239,0.1822251229319931,0.4557083689489679,0.7360094451003543,0.47135191126867154,0.15289646004991936,0.0,0.0,-5.659783419709186e-09,-2.2631502227810074e-09,0.0,0.0,-6.080533965224788e-09,-1.6847086781179854e-09,0.0,0.0,-0.07397182196795232,-0.029328662882073753
