task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ARE,HEPG2,residualized,0,0,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,371,80,42,42,True,1.0,-0.8095656054471774,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.07100241377547747,9.581004734651732e-07,False,10.0,1.0,False,False,0.07378437728656043,3.1349087571685974e-07,False,0.3484721523410832,0.6956521739130435,0.504338708138772,0.1633561979204492,0.3484721523410832,0.6956521739130435,0.38275079117828875,0.1131259413659536,0.43900520813430655,0.7588932806324111,0.47671990341451076,0.15101735214836257,0.4395871757698455,0.761528326745718,0.35646580957751517,0.10318941439373941,0.09053305579322335,0.06324110671936767,-0.02761880472426126,-0.012338845772086632,0.09111502342876232,0.06587615283267456,-0.026284981600773583,-0.009936526972214185,0.0005819676355389714,0.0026350461133068936,-0.12025409383699559,-0.04782793775462316
SR-ARE,HEPG2,residualized,0,1,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,301,150,42,42,True,1.0,-0.9951362758312573,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.07624210401929958,1.607066322517614e-07,False,3.162277660168379,1.0,False,False,0.17675523445343494,3.2148344990419984e-07,False,0.4971026786733022,0.693084693084693,0.5234995116303721,0.1712836225280955,0.4971026786733022,0.693084693084693,0.48937016570686276,0.15566063707332153,0.551807911997402,0.7195027195027195,0.4972799481893209,0.1602765307053642,0.5642839053288323,0.7257187257187258,0.45623112240144775,0.1411331620512453,0.05470523332409977,0.026418026418026486,-0.026219563441051197,-0.011007091822731296,0.06718122665553011,0.03263403263403275,-0.033139043305415006,-0.014527475022076242,0.012475993331430346,0.006216006216006265,-0.04104882578787317,-0.01914336865411892
SR-ARE,HEPG2,residualized,0,2,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,362,89,42,42,True,1.0,-0.8966472022928204,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.153819270558388,2.9021022183821354e-07,False,3.162277660168379,1.0,False,False,0.1580109577800666,7.720818413839425e-07,False,0.30247732244334713,0.5896358543417367,0.6262130404793997,0.21848667745421144,0.30247732244334713,0.5896358543417367,0.5498997310767904,0.18264033992472925,0.5518155761634969,0.7556022408963585,0.5584003768322064,0.18812102078907955,0.5602454282519613,0.7598039215686274,0.4614947454151512,0.14798646500037027,0.24933825372014973,0.16596638655462181,-0.0678126636471933,-0.030365656665131885,0.2577681058086142,0.1701680672268907,-0.08840498566163918,-0.03465387492435898,0.008429852088464473,0.004201680672268893,-0.09690563141705527,-0.04013455578870928
SR-ARE,HEPG2,residualized,0,3,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,408,43,42,42,True,1.0,-0.9119628130291175,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.3398689687012194,7.815773819607559e-07,False,3.162277660168379,1.0,False,False,0.1617280320470045,3.8834793386057984e-07,False,0.6795156813309711,0.8306451612903225,0.5410100298137971,0.17935707756867925,0.6795156813309711,0.8306451612903225,0.48102187869018226,0.15910829645176064,0.7584933477048083,0.8655913978494624,0.4732432818920105,0.153007372118914,0.7814258150425754,0.8682795698924731,0.41620045354911456,0.1309703867504251,0.07897766637383719,0.034946236559139865,-0.06776674792178661,-0.026349705449765254,0.10191013371160429,0.037634408602150615,-0.0648214251410677,-0.028137909701335534,0.022932467337767104,0.0026881720430107503,-0.057042828342895924,-0.022036985368488887
SR-ARE,HEPG2,residualized,0,4,2042,2042,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,362,89,42,42,True,1.0,-0.8969048933773992,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.16672969329205903,3.4855935370642355e-07,False,10.0,1.0,False,False,0.07607602149290914,6.508472061936971e-07,False,0.47421186232097273,0.7471988795518207,0.5593644201876067,0.18844867914991614,0.47421186232097273,0.7471988795518207,0.48206777180700355,0.15879656766503256,0.5731963132601297,0.8123249299719888,0.5316638514511397,0.17101518573946106,0.5357413321009437,0.8004201680672268,0.45572965404983934,0.1476029602286127,0.09898445093915692,0.06512605042016806,-0.02770056873646698,-0.01743349341045508,0.061529469779970924,0.053221288515406084,-0.026338117757164214,-0.011193607436419867,-0.037454981159185996,-0.011904761904761973,-0.07593419740130036,-0.023412225510848372
SR-ARE,HEPG2,residualized,1,0,3042,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac,368,83,42,42,True,1.0,-0.8704171736594232,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.16224554040984618,7.466537463324957e-07,False,3.162277660168379,1.0,False,False,0.16666506666877517,7.000700542394989e-07,False,0.41731519606618417,0.694078947368421,0.5916953505815733,0.20286581174326945,0.41731519606618417,0.694078947368421,0.49664706531760083,0.16191702927491883,0.5552574745299548,0.7557565789473684,0.555435307305004,0.1863472987170712,0.5635220389461431,0.759046052631579,0.45411578927145135,0.14411041109621825,0.1379422784637706,0.061677631578947345,-0.03626004327656929,-0.01651851302619825,0.1462068428799589,0.06496710526315796,-0.04253127604614948,-0.01780661817870058,0.00826456441618828,0.00328947368421062,-0.10131951803355266,-0.04223688762085295
SR-ARE,HEPG2,residualized,1,1,3042,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac,340,111,42,42,True,1.0,-0.7925403592996895,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100.0,1.0,False,False,0.009264537320402985,1.767412772819138e-07,False,100000000.0,1.0,True,True,9.900423820149389e-09,2.3132225475397394e-09,False,0.24377834214956945,0.5973715651135005,0.5726510534951693,0.19417890930705928,0.24377834214956945,0.5973715651135005,0.46219963315225826,0.1440663762940633,0.2601395380865086,0.6176821983273597,0.5665206131729719,0.19141312256199552,0.24377834214956945,0.5973715651135005,0.4621996261099895,0.1440663736490037,0.016361195936939132,0.020310633213859175,-0.00613044032219745,-0.002765786745063753,0.0,0.0,-7.042268768131521e-09,-2.645059588024523e-09,-0.016361195936939132,-0.020310633213859175,-0.10432098706298237,-0.047346748912991815
SR-ARE,HEPG2,residualized,1,2,3042,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac,362,89,42,42,True,1.0,-1.0193771327462615,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.07085483799301957,2.820958460818257e-07,False,10.0,3.162277660168379,False,False,0.0745240275597294,1.7889136061377542e-07,False,0.5859987380350318,0.7520908004778971,0.5462037699454957,0.18200734782526157,0.5859987380350318,0.7520908004778971,0.5489690956174114,0.18582968520838913,0.6655895665512828,0.7837514934289127,0.5224472344616292,0.17151604547650853,0.6729614459047049,0.7891278375149343,0.5215470184123698,0.1740589836251423,0.07959082851625099,0.03166069295101559,-0.02375653548386647,-0.010491302348753034,0.08696270786967308,0.0370370370370372,-0.02742207720504153,-0.011770701583246834,0.007371879353422095,0.005376344086021612,-0.0009002160492593836,0.0025429381486337665
SR-ARE,HEPG2,residualized,1,3,3042,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac,413,38,42,42,True,1.0,-0.891994022101879,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.027174239985566343,2.0904375836253153e-08,False,10.0,1.0,False,False,0.07246002832354584,8.673837316834632e-07,False,0.7498015873015873,0.8208333333333334,0.5097591464073039,0.1635537632532112,0.7498015873015873,0.8208333333333334,0.4265472414061254,0.13156193059822593,0.789527027027027,0.8166666666666667,0.497344107196759,0.15741704813643184,0.8167997542997543,0.8166666666666667,0.4019462916079348,0.11942403322450443,0.03972543972543974,-0.004166666666666763,-0.012415039210544931,-0.006136715116779351,0.06699816699816696,-0.004166666666666763,-0.024600949798190552,-0.012137897373721507,0.027272727272727226,0.0,-0.09539781558882415,-0.037993014911927414
SR-ARE,HEPG2,residualized,1,4,3042,3042,1a03ae2e6fe12b2a829486f2ebd18487230c372af09184654bd01e74bd4dd7ac,321,130,42,42,True,1.0,-0.9221953371613365,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.06956881216224854,4.2174228261776525e-07,False,10.0,3.162277660168379,False,False,0.07226397902633275,2.1916328286561426e-07,False,0.38108940225681365,0.7119082840236686,0.5153375734781028,0.16834786167865823,0.38108940225681365,0.7119082840236686,0.4582856154400474,0.14647572343828028,0.5011104805109389,0.7851331360946746,0.481180756997244,0.15338482784145005,0.5062516061993408,0.7892011834319527,0.41660077731199174,0.13155504493050074,0.12002107825412522,0.07322485207100604,-0.03415681648085883,-0.014963033837208178,0.1251622039425272,0.0772928994082841,-0.04168483812805568,-0.014920678507779533,0.005141125688401971,0.004068047337278058,-0.06457997968525225,-0.021829782910949308
