task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-ATAD5,MCF7,residualized,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,1072,124,42,42,True,1.0,-1.3959445969163076,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.4606876709730153e-09,1.1545004674484716e-09,False,100000000.0,1.0,True,True,2.5173726424234073e-09,2.9359278896912144e-10,False,0.4224386724386724,0.9533898305084746,0.2176485039813886,0.04880770713315549,0.4224386724386724,0.9533898305084746,0.15384149480201426,0.04108757401406514,0.4224386724386724,0.9533898305084746,0.2176485037260916,0.04880770702511944,0.4224386724386724,0.9533898305084746,0.1538414945405948,0.041087573961296406,0.0,0.0,-2.5529700575788183e-10,-1.0803605232645452e-10,0.0,0.0,-2.6141946940505534e-10,-5.2768733826979997e-11,0.0,0.0,-0.06380700918549681,-0.007720133063823034
SR-ATAD5,MCF7,residualized,0,1,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,831,365,42,42,True,1.0,-1.3799967438938647,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.6291791878427255e-09,9.639196177357867e-10,False,100000000.0,0.09999999999999999,True,True,2.6750366152324396e-09,4.2684644013801787e-10,False,0.22905505266925008,0.8009926352865834,0.24738701255704193,0.058107658592539614,0.22905505266925008,0.8009926352865834,0.17560736851974243,0.04432920540539102,0.22905505266925008,0.8009926352865834,0.24738701234198218,0.05810765851149584,0.22905505266925008,0.8009926352865834,0.17560736829968465,0.04432920537646829,0.0,0.0,-2.150597477879046e-10,-8.104377585693712e-11,0.0,0.0,-2.2005777755573774e-10,-2.892273226473563e-11,0.0,0.0,-0.07177964404229753,-0.013778453135027548
SR-ATAD5,MCF7,residualized,0,2,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,935,261,42,42,True,1.0,-1.3964366262590966,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,2.6478383646181237e-09,1.0831732576849218e-09,False,100000000.0,3.162277660168379,True,True,2.6315920574382424e-09,3.156532760867359e-10,False,0.23285717718821303,0.8298181818181818,0.21074213822956814,0.04715484020089993,0.23285717718821303,0.8298181818181818,0.15296862501894162,0.03797290568887166,0.23285717718821303,0.8298181818181818,0.21074213804150663,0.047154840163150614,0.23285717718821303,0.8298181818181818,0.15296862479390186,0.03797290565147019,0.0,0.0,-1.8806151080852374e-10,-3.77493175607313e-11,0.0,0.0,-2.2503976460086506e-10,-3.740147080932843e-11,0.0,0.0,-0.05777351324760477,-0.009181934511680423
SR-ATAD5,MCF7,residualized,0,3,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,966,230,42,42,True,1.0,-1.4766863230157483,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.5994182764023536e-09,1.1694129137262976e-09,False,100000000.0,0.31622776601683794,True,True,2.625038638193716e-09,9.186330654498143e-10,False,0.2514345920190197,0.8531746031746031,0.24731167082820082,0.060759563411048566,0.2514345920190197,0.8531746031746031,0.2058156511589398,0.054836531306933375,0.2514345920190197,0.8531746031746031,0.24731167076516666,0.06075956337879588,0.2514345920190197,0.8531746031746031,0.20581565098416277,0.05483653128261644,0.0,0.0,-6.303416122399597e-11,-3.2252686632538996e-11,0.0,0.0,-1.7477702618506896e-10,-2.4316937352608647e-11,0.0,0.0,-0.041496019781003896,-0.005923032096179441
SR-ATAD5,MCF7,residualized,0,4,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,980,216,42,42,True,1.0,-1.3173075796517957,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.5872280777876443e-09,5.54391161450285e-10,False,100000000.0,0.31622776601683794,True,True,2.682684706296504e-09,4.2045695050618725e-10,False,0.20491833918897628,0.7187499999999999,0.2397200244392449,0.055535507869124555,0.20491833918897628,0.7187499999999999,0.1490632311045866,0.03406585377722902,0.20491833918897628,0.7187499999999999,0.23972002444516236,0.05553550791797104,0.20491833918897628,0.7187499999999999,0.14906323106138436,0.034065853788446857,0.0,0.0,5.917460965676469e-12,4.884648241443301e-11,0.0,0.0,-4.3202247335116795e-11,1.1217839157584564e-11,0.0,0.0,-0.090656793383778,-0.02146965412952418
SR-ATAD5,MCF7,residualized,1,0,3042,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc,1076,120,42,42,True,1.0,-1.364313299039324,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.05751618150539926,4.443828781168502e-07,False,100000000.0,0.31622776601683794,True,True,2.4826554159063887e-09,1.6519287153460294e-10,False,0.18102564102564103,0.9008620689655172,0.21082893061446614,0.045144537049750584,0.18102564102564103,0.9008620689655172,0.1314719866869166,0.030861010466078816,0.20096153846153847,0.9030172413793103,0.21079999166109656,0.04519311050451989,0.18102564102564103,0.9008620689655172,0.13147198667975665,0.0308610104642315,0.019935897435897437,0.0021551724137930384,-2.8938953369583853e-05,4.857345476930869e-05,0.0,0.0,-7.159939308110097e-12,-1.8473139684616058e-12,-0.019935897435897437,-0.0021551724137930384,-0.0793280049813399,-0.014332100040288391
SR-ATAD5,MCF7,residualized,1,1,3042,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc,983,213,42,42,True,1.0,-1.3865504700924085,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.5309890623344237e-09,5.856772705703506e-10,False,100000000.0,0.31622776601683794,True,True,2.5533992460156903e-09,1.9196439229873796e-10,False,0.21889302690773277,0.8517241379310345,0.2318401499232269,0.05436207693144863,0.21889302690773277,0.8517241379310345,0.16378692283542426,0.04182627422525232,0.21889302690773277,0.8517241379310345,0.23184014972117473,0.05436207687586653,0.21889302690773277,0.8517241379310345,0.16378692257291105,0.04182627419768374,0.0,0.0,-2.0205218054236695e-10,-5.558210142142528e-11,0.0,0.0,-2.625132056177648e-10,-2.7568579363812518e-11,0.0,0.0,-0.06805322714826367,-0.012535802678182786
SR-ATAD5,MCF7,residualized,1,2,3042,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc,942,254,42,42,True,1.0,-1.4639369752044187,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.1374811892896855,3.399861182101175e-07,False,100000000.0,0.31622776601683794,True,True,2.647626424286959e-09,3.077031371671521e-10,False,0.21255169215653152,0.804463040446304,0.24808860401680358,0.06202587579948186,0.21255169215653152,0.804463040446304,0.20004312798574392,0.052944069342489304,0.2700659966833363,0.8058577405857741,0.24486077515125695,0.06070358930098813,0.21255169215653152,0.804463040446304,0.20004312789788048,0.052944069299621206,0.05751430452680478,0.001394700139470073,-0.0032278288655466225,-0.0013222864984937244,0.0,0.0,-8.786343874689351e-11,-4.286809796028024e-11,-0.05751430452680478,-0.001394700139470073,-0.044817647253376475,-0.007759520001366926
SR-ATAD5,MCF7,residualized,1,3,3042,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc,964,232,42,42,True,1.0,-1.3734618970987647,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,2.5566578781790667e-09,8.180214288062981e-10,False,100000000.0,3.162277660168379,True,True,2.653620464117137e-09,3.4436597323717066e-10,False,0.4237876916296852,0.9308926367749897,0.2275249580522195,0.05157873079573545,0.4237876916296852,0.9308926367749897,0.15316279331208393,0.03971106101701143,0.4237876916296852,0.9308926367749897,0.22752495788651098,0.051578730708804255,0.4237876916296852,0.9308926367749897,0.1531627930649087,0.039711060973660714,0.0,0.0,-1.6570853023090137e-10,-8.693119835090357e-11,0.0,0.0,-2.4717522473238773e-10,-4.33507188479787e-11,0.0,0.0,-0.07436216482160227,-0.01186766973514354
SR-ATAD5,MCF7,residualized,1,4,3042,3042,d33981f16a1eb14150586ee78b43d080173d3aad58f712bc1a0b4b9c60a058fc,819,377,42,42,True,1.0,-1.381916412343306,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,0.31622776601683794,True,True,2.942330364147113e-09,1.2306929971644953e-09,False,100000000.0,0.31622776601683794,True,True,2.946896518810625e-09,5.843026479324109e-10,False,0.12797853457354752,0.7161764705882353,0.23996780485020308,0.05523058041763278,0.12797853457354752,0.7161764705882353,0.1732250356666503,0.041979475993413735,0.12797853457354752,0.7161764705882353,0.23996780467657702,0.05523058037110741,0.12797853457354752,0.7161764705882353,0.17322503557247473,0.04197947598751121,0.0,0.0,-1.7362605797544006e-10,-4.652536689242481e-11,0.0,0.0,-9.41755562422486e-11,-5.90252846599526e-12,0.0,0.0,-0.06674276910410229,-0.013251104383596203
