task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,HA1E,residualized,0,0,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,667,56,42,42,True,1.0,-1.0750508330558315,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11036442964881815,4.074668338502341e-07,False,100.0,1.0,False,False,0.0073869282049459,1.3628714403551845e-08,False,0.43935452101928074,0.7708333333333333,0.46409512039677797,0.14921666253467647,0.43935452101928074,0.7708333333333333,0.35424412906399094,0.10732619616003977,0.5036616161616161,0.8411458333333334,0.43030328694053327,0.13507255731268528,0.4821237035910949,0.7734375,0.34907718155095785,0.1054045459045793,0.06430709514233535,0.07031250000000011,-0.0337918334562447,-0.014144105221991193,0.04276918257181417,0.0026041666666667407,-0.005166947513033093,-0.0019216502554604692,-0.021537912570521178,-0.06770833333333337,-0.08122610538957542,-0.029668011408105974
SR-MMP,HA1E,residualized,0,1,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,583,140,42,42,True,1.0,-1.062566337775612,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,8.181702313833174e-09,1.118729729340795e-08,False,100000000.0,1.0,True,True,8.84509400966279e-09,9.167362063911e-09,False,0.6167224266688279,0.8361204013377925,0.43412459976872636,0.13572725614151732,0.6167224266688279,0.8361204013377925,0.33439327111298645,0.09965058671313469,0.6167224266688279,0.8361204013377925,0.43412459473501536,0.13572725457896684,0.6167224266688279,0.8361204013377925,0.3343932651318252,0.09965058479239398,0.0,0.0,-5.033711003576968e-09,-1.5625504778959964e-09,0.0,0.0,-5.981161232959664e-09,-1.920740705374513e-09,0.0,0.0,-0.09973132960319014,-0.036076669786572854
SR-MMP,HA1E,residualized,0,2,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,486,237,42,42,True,1.0,-1.0344064831605961,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.12165842401335784,5.74586768247419e-07,False,3.162277660168379,1.0,False,False,0.12446098158485158,1.4963895256583926e-07,False,0.447601443804095,0.8130182421227197,0.4574242676392984,0.1420266310662756,0.447601443804095,0.8130182421227197,0.3539100640653062,0.10700949692162325,0.5886817878031759,0.8593145384190161,0.44529031247940515,0.13836577062685662,0.6023854378618078,0.857517965726921,0.3246082832636671,0.0956969241611551,0.14108034399908093,0.04629629629629639,-0.01213395515989324,-0.003660860439418989,0.15478399405771276,0.04449972360420129,-0.029301780801639088,-0.01131257276046814,0.013703650058631833,-0.0017965726920950997,-0.12068202921573806,-0.042668846465701515
SR-MMP,HA1E,residualized,0,3,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,575,148,42,42,True,1.0,-1.1855848674036036,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.11485858176326376,4.949115755339961e-07,False,1.0,0.31622776601683794,False,False,0.266822657607897,7.299526641503518e-07,False,0.7442200879165084,0.8595081568054541,0.4416671120661722,0.1396118695049929,0.7442200879165084,0.8595081568054541,0.40505582178932675,0.12905155935649235,0.7830701063950454,0.8806915023131239,0.4148009251079414,0.1289372189779559,0.7911736062479504,0.889700511322133,0.3716141512823657,0.11716352851321198,0.038850018478536974,0.02118334550766976,-0.026866186958230787,-0.010674650527037005,0.04695351833144201,0.0301923545166789,-0.03344167050696106,-0.01188803084328037,0.008103499852905038,0.009009009009009139,-0.04318677382557573,-0.011773690464743927
SR-MMP,HA1E,residualized,0,4,2042,2042,06374fa51488df4dbde185075b1ca1ef0b2e7920723be3a94a379443bd7755a5,581,142,42,42,True,1.0,-1.0930110792388115,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.11467104352885234,7.14272507411351e-07,False,3.162277660168379,1.0,False,False,0.11976139751167467,4.2019857312593223e-07,False,0.5798021962875971,0.8427350427350427,0.43385025934948884,0.13563586063107178,0.5798021962875971,0.8427350427350427,0.34966316954240256,0.10783702787547832,0.6712442780658017,0.8717948717948718,0.40545118841626115,0.12472639149047325,0.6825848479629981,0.8721367521367521,0.3182443438806946,0.09591164746177361,0.09144208177820456,0.029059829059829068,-0.028399070933227688,-0.010909469140598524,0.10278265167540102,0.029401709401709386,-0.03141882566170795,-0.011925380413704709,0.01134056989719645,0.00034188034188031846,-0.08720684453556654,-0.028814744028699643
SR-MMP,HA1E,residualized,1,0,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,670,53,42,42,True,1.0,-1.089934814490824,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11162402616133639,5.099650525813501e-07,False,10.0,1.0,False,False,0.05048905669548079,2.0739116452991868e-07,False,0.35892447975358727,0.7916666666666667,0.4524775537639658,0.14395852057710193,0.35892447975358727,0.7916666666666667,0.36612506328041333,0.11522197474499213,0.4177670723461799,0.8083333333333333,0.4357957694510604,0.13728974119230317,0.3810626028560811,0.7805555555555556,0.36111923832458226,0.11263652122008506,0.05884259259259261,0.016666666666666607,-0.0166817843129054,-0.006668779384798762,0.022138123102493856,-0.011111111111111183,-0.005005824955831073,-0.0025854535249070637,-0.03670446949009876,-0.02777777777777779,-0.07467653112647815,-0.0246532199722181
SR-MMP,HA1E,residualized,1,1,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,510,213,42,42,True,1.0,-1.0380201290343114,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,9.281812900264201e-09,1.3878856407884e-08,False,100.0,1.0,False,False,0.008570862109281013,3.686675165148756e-08,False,0.5554489788717111,0.856949806949807,0.400993319573578,0.11806069184454432,0.5554489788717111,0.856949806949807,0.3016640424542928,0.08721983880793815,0.5554489788717111,0.856949806949807,0.4009933167301033,0.11806069055803266,0.5735350933821165,0.8584942084942087,0.299393942718027,0.08627295378887345,0.0,0.0,-2.843474677938218e-09,-1.286511661091616e-09,0.018086114510405427,0.001544401544401608,-0.002270099736265796,-0.0009468850190647027,0.018086114510405427,0.001544401544401608,-0.1015993740120763,-0.031787736769159206
SR-MMP,HA1E,residualized,1,2,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,595,128,42,42,True,1.0,-1.144780695326072,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,1.0,False,False,0.016741040699792896,7.070635138911596e-07,False,10.0,1.0,False,False,0.047465857420307664,9.073248220109464e-08,False,0.6217665686883093,0.8286311389759665,0.47085263785156073,0.14996585321083,0.6217665686883093,0.8286311389759665,0.4161810905092566,0.1330355380792708,0.64285042028126,0.8408220132358064,0.4579929711815425,0.14494316169296273,0.6876829290936731,0.8603274120515501,0.38726336231000796,0.12241702296088439,0.021083851592950786,0.01219087425983989,-0.012859666670018255,-0.005022691517867273,0.06591636040536386,0.031696273075583536,-0.02891772819924865,-0.010618515118386407,0.044832508812413074,0.019505398815743646,-0.07072960887153451,-0.022526138732078343
SR-MMP,HA1E,residualized,1,3,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,560,163,42,42,True,1.0,-1.154510093404076,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.11558226371807455,2.472649740063726e-07,False,31.622776601683796,1.0,False,False,0.018914798334129117,3.576999176545248e-08,False,0.7169440272929566,0.8530526315789474,0.4481927820112137,0.14234704280366003,0.7169440272929566,0.8530526315789474,0.3891068248682903,0.12216749762346917,0.778937143858627,0.8936842105263157,0.41911589811755384,0.13094457103875345,0.7399164477981944,0.8734736842105263,0.3732006717868924,0.11669745414006152,0.061993116565670414,0.04063157894736835,-0.029076883893659866,-0.01140247176490658,0.022972420505237845,0.020421052631578895,-0.015906153081397867,-0.005470043483407641,-0.03902069606043257,-0.020210526315789457,-0.04591522633066142,-0.01424711689869193
SR-MMP,HA1E,residualized,1,4,3042,3042,ec30f58bade848a02f9985aaf678ddb430c0ba4bde9e1424b9fb8ef4d41423d6,557,166,42,42,True,1.0,-1.0224240469527472,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.1183806036682611,5.240722650290408e-07,False,10.0,1.0,False,False,0.05284079895172731,5.308133651446556e-07,False,0.501333939647868,0.7793956043956044,0.4785080904956985,0.15521797156238315,0.501333939647868,0.7793956043956044,0.3607765074992195,0.1092043950275134,0.5205415873075661,0.8211538461538461,0.4750522387662817,0.15488200490342363,0.5462473204774037,0.8043956043956044,0.3507623182971648,0.1064657149717552,0.01920764765969807,0.04175824175824172,-0.003455851729416759,-0.00033596665895951894,0.044913380829535665,0.025000000000000022,-0.010014189202054713,-0.002738680055758211,0.025705733169837597,-0.0167582417582417,-0.12428992046911691,-0.04841628993166844
