task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,HEPG2,residualized,0,0,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,449,46,42,42,True,1.0,-0.9107107296511019,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.14107047863286176,3.397037254809082e-07,False,3.162277660168379,1.0,False,False,0.14766126892752446,7.377284798968514e-07,False,0.8177744039586144,0.8972222222222221,0.3987572798875048,0.11795568387225029,0.8177744039586144,0.8972222222222221,0.35254611646852185,0.10663610888455707,0.9034782608695652,0.9472222222222222,0.3351877069942605,0.0932249126878818,0.9034782608695652,0.9472222222222222,0.2840996230670852,0.08113268889275665,0.08570385691095073,0.050000000000000044,-0.06356957289324433,-0.02473077118436849,0.08570385691095073,0.050000000000000044,-0.06844649340143666,-0.02550341999180042,0.0,0.0,-0.05108808392717529,-0.012092223795125145
SR-MMP,HEPG2,residualized,0,1,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,329,166,42,42,True,1.0,-0.8872136890238336,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.15090339614543904,3.7987527373760724e-07,False,3.162277660168379,1.0,False,False,0.1554853811735929,5.128464333498811e-07,False,0.5130841733917466,0.7696837513631407,0.5057961732541827,0.16411141432736126,0.5130841733917466,0.7696837513631407,0.43752423429597903,0.13838767411414055,0.6129235110052388,0.8205016357688113,0.4695465638063668,0.15022346856132426,0.630337455174759,0.823773173391494,0.3929639238804288,0.12208025395034582,0.09983933761349217,0.05081788440567059,-0.03624960944781591,-0.013887945766036996,0.11725328178301242,0.05408942202835332,-0.04456031041555025,-0.01630742016379473,0.017413944169520246,0.0032715376226827297,-0.076582639925938,-0.028143214610978448
SR-MMP,HEPG2,residualized,0,2,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,407,88,42,42,True,1.0,-0.9407439318668941,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.06389927255736672,8.668773415591857e-08,False,10.0,1.0,False,False,0.06739036383923622,4.118250847440913e-07,False,0.4318237261476429,0.780320366132723,0.4872829588199438,0.15855101220159787,0.4318237261476429,0.780320366132723,0.45155585330214015,0.14854883576182257,0.4836556290946392,0.8161708619374524,0.47175886687864493,0.15256883538986002,0.48471483182581576,0.816933638443936,0.43010290970879445,0.14272864859133055,0.0518319029469963,0.03585049580472932,-0.01552409194129889,-0.005982176811737849,0.052891105678172845,0.03661327231121292,-0.021452943593345708,-0.005820187170492014,0.001059202731176545,0.0007627765064835978,-0.04165595716985049,-0.009840186798529466
SR-MMP,HEPG2,residualized,0,3,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,406,89,42,42,True,1.0,-0.8888652529278802,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.146942152980294,8.148584761634436e-07,False,3.162277660168379,1.0,False,False,0.1534699960311688,3.4822601443010304e-07,False,0.7226207096778916,0.8488721804511278,0.4418320606378699,0.1386491065419059,0.7226207096778916,0.8488721804511278,0.3725157733875681,0.11314539737160624,0.7991714997435821,0.8954887218045113,0.3971467107564625,0.12041965206793831,0.806908143945946,0.9007518796992481,0.3242399540237884,0.09572305706508334,0.07655079006569054,0.046616541353383556,-0.04468534988140738,-0.018229454473967593,0.0842874342680544,0.0518796992481203,-0.04827581936377967,-0.0174223403065229,0.007736644202363863,0.0052631578947367474,-0.0729067567326741,-0.024696595002854968
SR-MMP,HEPG2,residualized,0,4,2042,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113,389,106,42,42,True,1.0,-0.8568345430807226,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.06413786742852225,1.29870944096111e-07,False,3.162277660168379,3.162277660168379,False,False,0.1522703099035074,3.42702579106402e-07,False,0.6395889555516772,0.8245614035087719,0.4323633429188125,0.13451428268258397,0.6395889555516772,0.8245614035087719,0.35326307433294507,0.10551366559735899,0.7388296387533579,0.8717483363581366,0.4030293511272066,0.12277873404636999,0.7722124582712533,0.8777979431336963,0.30351140814017674,0.08610575584885077,0.09924068320168078,0.047186932849364704,-0.029333991791605896,-0.011735548636213983,0.13262350271957613,0.05323653962492436,-0.04975166619276833,-0.019407909748508215,0.033382819517895346,0.006049606775559657,-0.09951794298702987,-0.03667297819751922
SR-MMP,HEPG2,residualized,1,0,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,458,37,42,42,True,1.0,-0.9362013598587537,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,3.162277660168379,False,False,0.1376387037198926,2.535684450605258e-07,False,3.162277660168379,3.162277660168379,False,False,0.14543874259396106,8.601118047513179e-07,False,0.9073412698412698,0.9555555555555556,0.37260342337951974,0.1068926714826745,0.9073412698412698,0.9555555555555556,0.3732506994587287,0.1178169007130318,0.9833333333333333,0.9925925925925926,0.28182745906836126,0.07090560417199697,0.9833333333333333,0.9925925925925926,0.2453783874556671,0.06788417857351543,0.07599206349206344,0.03703703703703698,-0.09077596431115847,-0.03598706731067754,0.07599206349206344,0.03703703703703698,-0.1278723120030616,-0.04993272213951637,0.0,0.0,-0.03644907161269417,-0.0030214255984815364
SR-MMP,HEPG2,residualized,1,1,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,342,153,42,42,True,1.0,-0.9582447331916972,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,3.162277660168379,False,False,0.06098271390648608,1.6376395506334518e-07,False,31.622776601683796,3.162277660168379,False,False,0.024388712758432653,1.5885989035867298e-07,False,0.6014000802786656,0.8054869006426099,0.4785582432993214,0.15177047899788343,0.6014000802786656,0.8054869006426099,0.43104516831588,0.13603301295850564,0.6711841723526202,0.8509639149777558,0.4402432768055813,0.13587310680646603,0.6277628555188803,0.8255066732575383,0.4134576803560396,0.13020928894733313,0.06978409207395453,0.04547701433514595,-0.03831496649374011,-0.015897372191417403,0.026362775240214686,0.020019772614928488,-0.017587487959840442,-0.00582372401117251,-0.04342131683373984,-0.02545724172021746,-0.026785596449541704,-0.005663817859132891
SR-MMP,HEPG2,residualized,1,2,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,401,94,42,42,True,1.0,-0.8915649054909975,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.14484407951847078,8.609264927142424e-07,False,3.162277660168379,1.0,False,False,0.14889027091291596,5.850011495119045e-07,False,0.5660041646072527,0.8196491228070175,0.46663377362489833,0.14783728085892245,0.5660041646072527,0.8196491228070175,0.3986417082912758,0.12551879945397637,0.7306185038013893,0.9150877192982456,0.4129903433789588,0.1256100124515886,0.7400933627373627,0.9157894736842105,0.32260222177901804,0.09674864284683829,0.1646143391941366,0.0954385964912281,-0.05364343024593954,-0.022227268407333856,0.17408919813011003,0.09614035087719297,-0.07603948651225778,-0.02877015660713808,0.00947485893597344,0.00070175438596487,-0.09038812159994075,-0.028861369604750303
SR-MMP,HEPG2,residualized,1,3,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,388,107,42,42,True,1.0,-0.8366640514828004,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,3.162277660168379,False,False,0.02658931499795899,3.740777570482301e-07,False,10.0,1.0,False,False,0.07107824357527781,8.860512792502329e-07,False,0.642312130886497,0.8344827586206897,0.45102188769913715,0.1438111039768194,0.642312130886497,0.8344827586206897,0.3628727614058089,0.11046915675345648,0.6418597464628152,0.8454022988505747,0.4409198822750294,0.1397799544088626,0.6630643262831077,0.8580459770114942,0.3465485757889382,0.10497657399255378,-0.0004523844236817842,0.01091954022988506,-0.010102005424107774,-0.004031149567956804,0.020752195396610773,0.023563218390804552,-0.016324185616870657,-0.005492582760902698,0.021204579820292557,0.012643678160919491,-0.09437130648609116,-0.034803380416308816
SR-MMP,HEPG2,residualized,1,4,3042,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22,391,104,42,42,True,1.0,-0.8698544785436372,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,1.0,False,False,0.15144771113143965,4.82247396594096e-07,False,3.162277660168379,1.0,False,False,0.15576409307040034,6.696883259348953e-07,False,0.46895623090329086,0.7405572755417956,0.4924116650283907,0.16114254902880887,0.46895623090329086,0.7405572755417956,0.41798095340319663,0.1308251950572324,0.45317978366542544,0.7603715170278638,0.48248570197368773,0.1571376772480553,0.45289070530211706,0.7628482972136224,0.40834246115142786,0.12863600891648588,-0.01577644723786542,0.01981424148606814,-0.009925963054702946,-0.004004871780753566,-0.016065525601173802,0.022291021671826727,-0.009638492251768771,-0.0021891861407465074,-0.00028907836330838155,0.002476780185758587,-0.07414324082225987,-0.02850166833156942
