task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,HT29,residualized,0,0,2042,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,652,65,42,42,True,1.0,-1.1408189327288836,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.2565865295226767,5.85727081406362e-07,False,10.0,1.0,False,False,0.05282232848670976,6.083820133940404e-07,False,0.7056595125398337,0.8890306122448979,0.4534728748088539,0.143347674166721,0.7056595125398337,0.8890306122448979,0.3709389448975,0.11870421161723856,0.7118461280685545,0.9119897959183674,0.43638693407990486,0.13386857359486118,0.7375450992362756,0.9119897959183674,0.36327528816101956,0.11670893998423042,0.006186615528720796,0.022959183673469497,-0.017085940728949034,-0.009479100571859828,0.031885586696441925,0.022959183673469497,-0.007663656736480451,-0.001995271633008139,0.02569897116772113,0.0,-0.0731116459188853,-0.017159633610630762
SR-MMP,HT29,residualized,0,1,2042,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,576,141,42,42,True,1.0,-1.094922570986278,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.051447448573269154,1.0074987396788138e-07,False,3.162277660168379,1.0,False,False,0.1242681234714069,7.154326788563758e-07,False,0.5198216218952234,0.8352027610008628,0.41191525452824457,0.12557894251430549,0.5198216218952234,0.8352027610008628,0.30939747512678945,0.09145013092285002,0.522816992585365,0.8572044866264019,0.40559523207753356,0.12343855302406649,0.535589031684355,0.8800690250215704,0.29575543116593667,0.08894819252107987,0.002995370690141552,0.022001725625539148,-0.006320022450711005,-0.0021403894902389947,0.015767409789131603,0.04486626402070759,-0.013642043960852779,-0.002501938401770154,0.012772039098990051,0.022864538395168443,-0.1098398009115969,-0.03449036050298662
SR-MMP,HT29,residualized,0,2,2042,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,579,138,42,42,True,1.0,-1.1080142774808575,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.31622776601683794,False,False,0.5596504548610183,8.176846116913009e-07,False,1.0,0.31622776601683794,False,False,0.25583455477658656,7.083145025336968e-07,False,0.5389114182735559,0.837012987012987,0.4997029189641869,0.16251673578392403,0.5389114182735559,0.837012987012987,0.3870581840374965,0.12295477471415543,0.6612695741938993,0.8694805194805195,0.4643250802431505,0.15075641959311323,0.6808863843034247,0.8753246753246753,0.34832666069785023,0.10823992138829222,0.12235815592034338,0.032467532467532534,-0.03537783872103639,-0.011760316190810804,0.1419749660298688,0.0383116883116883,-0.038731523339646245,-0.014714853325863211,0.01961681010952543,0.005844155844155763,-0.11599841954530027,-0.04251649820482101
SR-MMP,HT29,residualized,0,3,2042,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,493,224,42,42,True,1.0,-1.0878156813663644,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.12336695366102061,8.784152920136151e-07,False,100000000.0,1.0,True,True,6.557907150854604e-09,1.6246410050602123e-09,False,0.4546728978876075,0.7959328028293545,0.41982817633395947,0.1270607760063425,0.4546728978876075,0.7959328028293545,0.32195274317298966,0.09437945574044969,0.6082829153560378,0.8682581786030062,0.3808575868301954,0.11134853389054251,0.4546728978876075,0.7959328028293545,0.3219527389689513,0.09437945452732346,0.15361001746843034,0.07232537577365172,-0.038970589503764086,-0.015712242115799982,0.0,0.0,-4.204038339672422e-09,-1.213126224475225e-09,-0.15361001746843034,-0.07232537577365172,-0.05890484786124406,-0.01696907936321905
SR-MMP,HT29,residualized,0,4,2042,2042,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,568,149,42,42,True,1.0,-1.1974865938304309,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.11222674336927436,3.0155885343344235e-07,False,3.162277660168379,1.0,False,False,0.11654206179916045,3.093161567505054e-07,False,0.5487025247367299,0.768103448275862,0.46285354002925294,0.1497617608445481,0.5487025247367299,0.768103448275862,0.4125301220819558,0.129479899847217,0.6387090221491937,0.8310344827586207,0.42947273632943284,0.1361128054777667,0.6380945291142704,0.832471264367816,0.36796996946533916,0.11457138224540855,0.0900064974124638,0.06293103448275872,-0.033380803699820105,-0.013648955366781401,0.08939200437754058,0.06436781609195408,-0.04456015261661661,-0.014908517601808446,-0.0006144930349232247,0.001436781609195359,-0.06150276686409367,-0.021541423232358137
SR-MMP,HT29,residualized,1,0,3042,3042,9f53586bfbf08ca06f84f4129874a94d4da980004cd54873fb773a05a0464a83,653,64,42,42,True,1.0,-1.131074915282937,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.11437204305205183,5.253274796279683e-07,False,3.162277660168379,1.0,False,False,0.11965087398938412,2.3214822999356732e-07,False,0.6498869118354412,0.8958333333333333,0.43034735325665174,0.1302286889152108,0.6498869118354412,0.8958333333333333,0.3403517901531081,0.10481756553614521,0.6943672839506172,0.8942307692307692,0.41344891546972073,0.12475495069779427,0.7176747311827957,0.8942307692307692,0.3261851863853312,0.09813124745978383,0.04448037211517597,-0.0016025641025640969,-0.01689843778693101,-0.005473738217416535,0.06778781934735445,-0.0016025641025640969,-0.014166603767776897,-0.006686318076361386,0.02330744723217848,0.0,-0.08726372908438951,-0.026623703238010443
SR-MMP,HT29,residualized,1,1,3042,3042,9f53586bfbf08ca06f84f4129874a94d4da980004cd54873fb773a05a0464a83,499,218,42,42,True,1.0,-1.112349427215353,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.27391594365272726,5.072473402653079e-07,False,10.0,1.0,False,False,0.05526021450311764,1.89620487280745e-07,False,0.49826751202906144,0.8328005115089514,0.4447695922413162,0.13754784754551824,0.49826751202906144,0.8328005115089514,0.34770948962674536,0.10587775627776923,0.6251140161416273,0.8786764705882352,0.400103435377897,0.12100237037563771,0.561432621609956,0.8636508951406651,0.32889553091946233,0.09950594455476866,0.12684650411256587,0.04587595907928377,-0.04466615686341918,-0.01654547716988053,0.06316510958089455,0.030850383631713663,-0.01881395870728303,-0.006371811723000567,-0.06368139453167132,-0.015025575447570105,-0.07120790445843467,-0.021496425820869053
SR-MMP,HT29,residualized,1,2,3042,3042,9f53586bfbf08ca06f84f4129874a94d4da980004cd54873fb773a05a0464a83,551,166,42,42,True,1.0,-1.1145458785045355,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.27462681097082836,2.673456811572855e-07,False,3.162277660168379,0.31622776601683794,False,False,0.12566868155703706,9.236080180177741e-07,False,0.7083734955046126,0.8881987577639752,0.3999448582455868,0.12121319472700658,0.7083734955046126,0.8881987577639752,0.30636824849105565,0.09089736882490482,0.7697349106342154,0.9099378881987578,0.3608676321274976,0.10748617515334073,0.7620226856616301,0.9081262939958592,0.27818212767785705,0.08003982069634909,0.0613614151296028,0.021739130434782594,-0.03907722611808917,-0.013727019573665844,0.05364919015701752,0.019927536231884035,-0.0281861208131986,-0.01085754812855573,-0.00771222497258528,-0.0018115942028985588,-0.08268550444964057,-0.027446354456991645
SR-MMP,HT29,residualized,1,3,3042,3042,9f53586bfbf08ca06f84f4129874a94d4da980004cd54873fb773a05a0464a83,578,139,42,42,True,1.0,-1.1308502398050202,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.26344717938903045,5.159492674072785e-07,False,3.162277660168379,1.0,False,False,0.11778639647095174,5.653391228072069e-07,False,0.5455935140229295,0.8056501021102791,0.46616064389758777,0.1489355167590621,0.5455935140229295,0.8056501021102791,0.375541067736496,0.11654704424579305,0.7193944610106418,0.8938053097345132,0.4065777297395903,0.12573707149053373,0.6924084513269848,0.8931245745405039,0.32012042641839067,0.09749387317725614,0.1738009469877122,0.08815520762423412,-0.05958291415799749,-0.023198445268528378,0.14681493730405526,0.08747447243022477,-0.05542064131810531,-0.01905317106853692,-0.026986009683656942,-0.000680735194009352,-0.08645730332119961,-0.028243198313277595
SR-MMP,HT29,residualized,1,4,3042,3042,9f53586bfbf08ca06f84f4129874a94d4da980004cd54873fb773a05a0464a83,587,130,42,42,True,1.0,-1.1404154882598179,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,1.0,False,False,0.25421381471226356,5.448762031828175e-07,False,3.162277660168379,1.0,False,False,0.11503969036564228,8.15165996516376e-07,False,0.34355110257531,0.709043250327654,0.491017706490128,0.16218585719311268,0.34355110257531,0.709043250327654,0.4117008634061889,0.1290502995109055,0.5467906024188747,0.8287461773700305,0.4366500906581261,0.13955640901916203,0.4766804774805119,0.8086500655307994,0.36343742571922233,0.11402303121603487,0.20323949984356465,0.1197029270423765,-0.05436761583200189,-0.022629448173950656,0.13312937490520188,0.0996068152031454,-0.04826343768696656,-0.015027268294870624,-0.07011012493836277,-0.0200961118392311,-0.07321266493890377,-0.025533377803127158
