task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-MMP,MCF7,residualized,0,0,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,890,68,42,42,True,1.0,-1.2230336405963342,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.23537955621808992,4.96694277489669e-07,False,1.0,0.31622776601683794,False,False,0.24348667171160265,9.054814333626232e-07,False,0.4115478249727721,0.7910685805422648,0.4734779677903821,0.15390083117866094,0.4115478249727721,0.7910685805422648,0.3772108232926373,0.12063256045543257,0.42150572762742855,0.8213716108452951,0.4629245207542488,0.15017163139042344,0.4184086563485391,0.8165869218500799,0.36593896809938903,0.11959709416954324,0.009957902654656459,0.030303030303030276,-0.010553447036133312,-0.0037291997882374917,0.006860831375766985,0.02551834130781505,-0.011271855193248248,-0.0010354662858893249,-0.003097071278889474,-0.004784688995215225,-0.09698555265485975,-0.030574537220880202
SR-MMP,MCF7,residualized,0,1,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,793,165,42,42,True,1.0,-1.2534205394196287,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.10307610926330472,9.976135064270614e-07,False,3.162277660168379,0.31622776601683794,False,False,0.11290382704203565,6.249464957978207e-07,False,0.4816957219184613,0.7923427991886409,0.4666217035525154,0.14952544939112233,0.4816957219184613,0.7923427991886409,0.3857986955728872,0.12068497361387763,0.547725182854916,0.8288539553752535,0.4452158773025589,0.14070966709104302,0.5634647194073519,0.8308823529411765,0.3568138701538774,0.11075935067860422,0.06602946093645473,0.0365111561866126,-0.021405826249956517,-0.008815782300079317,0.0817689974888906,0.038539553752535594,-0.02898482541900982,-0.00992562293527341,0.015739536552435873,0.0020283975659229903,-0.08840200714868152,-0.029950316412438796
SR-MMP,MCF7,residualized,0,2,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,764,194,42,42,True,1.0,-1.2639962677560803,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04064132005397472,8.722370858668498e-07,False,3.162277660168379,0.31622776601683794,False,False,0.11342500842466614,2.0011982555107055e-07,False,0.5979692155504287,0.8473555430077169,0.4294648988911758,0.13355309545108443,0.5979692155504287,0.8473555430077169,0.34954470984225594,0.10899566697799569,0.6190979180447401,0.8699416525503482,0.4162288788482627,0.128100959963651,0.6727711150200368,0.8919631093544136,0.3118753042308549,0.09583773251734273,0.021128702494311424,0.022586109542631294,-0.013236020042913077,-0.005452135487433424,0.07480189946960814,0.044607566346696714,-0.03766940561140103,-0.013157934460652956,0.05367319697529671,0.02202145680406542,-0.1043535746174078,-0.032263227446308274
SR-MMP,MCF7,residualized,0,3,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,625,333,42,42,True,1.0,-1.1282847969330883,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.1158149411757077,4.719439203625976e-07,False,3.162277660168379,0.31622776601683794,False,False,0.12411373971668826,1.5841930036362972e-07,False,0.49881164826343805,0.8283675289919715,0.3967146586934306,0.1177337192505695,0.49881164826343805,0.8283675289919715,0.2789331268946106,0.07855375333423062,0.5780493373743467,0.888135593220339,0.371479012403174,0.10783530280212067,0.5927074127199813,0.8926851025869759,0.2521104865509268,0.0701508148661318,0.07923768911090867,0.059768064228367446,-0.025235646290256597,-0.009898416448448827,0.09389576445654324,0.06431757359500434,-0.026822640343683757,-0.008402938468098822,0.01465807534563457,0.004549509366636895,-0.11936852585224716,-0.03768448793598887
SR-MMP,MCF7,residualized,0,4,2042,2042,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,760,198,42,42,True,1.0,-1.219948612823886,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.24258031295344748,5.466871363518644e-07,False,1.0,0.31622776601683794,False,False,0.25461795729456976,6.434703555852506e-07,False,0.5811233819384938,0.8633283132530121,0.4277261698198277,0.13347933513876828,0.5811233819384938,0.8633283132530121,0.3258746551298437,0.10075941213197628,0.7409041509144474,0.9021084337349398,0.38752057271314844,0.11969866205130851,0.739746824885635,0.9002259036144578,0.27171708913245324,0.07920149241601708,0.1597807689759536,0.03878012048192769,-0.04020559710667926,-0.013780673087459769,0.15862344294714126,0.03689759036144569,-0.05415756599739047,-0.021557919715959203,-0.0011573260288123555,-0.0018825301204820066,-0.1158034835806952,-0.04049716963529143
SR-MMP,MCF7,residualized,1,0,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,904,54,42,42,True,1.0,-1.229201671175502,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.23691335322461538,5.110300200020235e-07,False,1.0,0.31622776601683794,False,False,0.24673716888156616,3.716218106514582e-07,False,0.6569413919413919,0.8977272727272727,0.4215754766776966,0.12867746666884514,0.6569413919413919,0.8977272727272727,0.33603423921950154,0.10631915362010085,0.6649956144073791,0.8727272727272728,0.4075157773130756,0.12585069223888432,0.706642156862745,0.8818181818181818,0.3371686260612118,0.10461205833271532,0.008054222465987193,-0.02499999999999991,-0.014059699364621037,-0.002826774429960821,0.04970076492135311,-0.015909090909090873,0.0011343868417102443,-0.0017070952873855239,0.04164654245536592,0.009090909090909038,-0.0703471512518638,-0.021238633906168994
SR-MMP,MCF7,residualized,1,1,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,771,187,42,42,True,1.0,-1.3202148899191768,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,3.965415800760756e-09,7.721583043102109e-10,False,10.0,0.31622776601683794,False,False,0.03827422354651643,6.985628456350479e-07,False,0.5400871162273662,0.8129636170964323,0.45723248947884826,0.14670114352388938,0.5400871162273662,0.8129636170964323,0.4116507883719572,0.132728887149875,0.5400871162273662,0.8129636170964323,0.4572324875360855,0.14670114272105636,0.613310380969844,0.8512892970681738,0.38695713666465875,0.12472211034559293,0.0,0.0,-1.9427627839796457e-09,-8.028330222842328e-10,0.07322326474247787,0.03832567997174152,-0.024693651707298425,-0.008006776804282065,0.07322326474247787,0.03832567997174152,-0.07027535087142672,-0.021979032375463434
SR-MMP,MCF7,residualized,1,2,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,776,182,42,42,True,1.0,-1.2220142973444268,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.10236164328855481,9.878432872846565e-07,False,100000000.0,0.31622776601683794,True,True,5.40772671360579e-09,1.3765208697284065e-09,False,0.5394648561072838,0.7973715651135006,0.42391997579134866,0.13184914116893717,0.5394648561072838,0.7973715651135006,0.3295340316514645,0.09783811242286204,0.6119248260561965,0.8661887694145758,0.39820414258907894,0.12159206601839788,0.5394648561072838,0.7973715651135006,0.329534029486721,0.09783811190878014,0.07245996994891268,0.06881720430107519,-0.025715833202269722,-0.010257075150539294,0.0,0.0,-2.16474349556961e-09,-5.140819020477139e-10,-0.07245996994891268,-0.06881720430107519,-0.06867011310235793,-0.02375395410961774
SR-MMP,MCF7,residualized,1,3,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,771,187,42,42,True,1.0,-1.1687405819038026,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.2514652881647208,5.388464932171155e-07,False,1.0,0.31622776601683794,False,False,0.25854491998754336,5.026033150098107e-07,False,0.5203204720403718,0.8789351851851852,0.43702917957680143,0.13640874992623275,0.5203204720403718,0.8789351851851852,0.3063530530459717,0.09339435551550365,0.5849445119779333,0.8905092592592593,0.43112095368583975,0.13520326043812625,0.590022675113526,0.8881944444444445,0.2905868048288396,0.08664324962153293,0.0646240399375615,0.01157407407407407,-0.0059082258909616825,-0.0012054894881065037,0.06970220307315422,0.0092592592592593,-0.01576624821713213,-0.006751105893970724,0.005078163135592728,-0.0023148148148147696,-0.14053414885700016,-0.04856001081659332
SR-MMP,MCF7,residualized,1,4,3042,3042,6d20038ba122d3eb2111fbcb4fb8f5d915f1c9e75cba1aab70f5592d22536b70,610,348,42,42,True,1.0,-1.1515688706441882,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04895229220723637,4.3725477470724083e-07,False,3.162277660168379,1.0,False,False,0.12977055151862543,4.172260667026362e-07,False,0.4411706032144267,0.8186223881782793,0.40849308276439605,0.12297073588239432,0.4411706032144267,0.8186223881782793,0.29507752118477415,0.0853388492624397,0.4827284203124215,0.8377691268769365,0.39657659254064015,0.11829671477823399,0.5349571645904101,0.8519901485659808,0.2764516230511889,0.07951896169442922,0.04155781709799483,0.01914673869865724,-0.011916490223755904,-0.0046740211041603336,0.0937865613759834,0.033367760387701506,-0.018625898133585228,-0.005819887568010482,0.05222874427798857,0.014221021689044266,-0.12012496948945123,-0.03877775308380477
SR-MMP,MCF7,residualized,2,0,4042,4042,72adfb04ee04005965b4f5581491ea807e1530555d5fd59ff1f8ab77d01c23fd,896,62,42,42,True,1.0,-1.2182373598040483,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.23398924172000599,8.723708257805246e-07,False,3.162277660168379,0.31622776601683794,False,False,0.11114008734422853,1.7731012023382287e-07,False,0.31315745138635165,0.7307692307692307,0.5286961199195519,0.17268445075253297,0.31315745138635165,0.7307692307692307,0.4157472303104597,0.1322293891102607,0.3965476827094474,0.8192307692307692,0.4918656968535955,0.15689216078579105,0.37275512892904195,0.7942307692307693,0.38396705226969524,0.12355446306850301,0.08339023132309575,0.08846153846153848,-0.03683042306595641,-0.015792289966741924,0.0595976775426903,0.06346153846153857,-0.03178017804076444,-0.00867492604175768,-0.023792553780405457,-0.02499999999999991,-0.10789864458390025,-0.033337697717288034
SR-MMP,MCF7,residualized,2,1,4042,4042,72adfb04ee04005965b4f5581491ea807e1530555d5fd59ff1f8ab77d01c23fd,778,180,42,42,True,1.0,-1.2916521648061714,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.10426118771395665,3.2929934449307113e-07,False,3.162277660168379,0.31622776601683794,False,False,0.11438614830346669,8.407136067364179e-07,False,0.5617956063998517,0.8274582560296846,0.4290464235290129,0.13366248560667493,0.5617956063998517,0.8274582560296846,0.3734100094651661,0.11720169119405388,0.6375193834295437,0.8682745825602969,0.40502698394533937,0.12463992855014992,0.6629469102856768,0.8775510204081634,0.33686751823162603,0.10522354642798568,0.07572377702969202,0.04081632653061229,-0.02401943958367353,-0.009022557056525007,0.10115130388582505,0.05009276437847876,-0.036542491233540086,-0.011978144766068205,0.02542752685613303,0.00927643784786647,-0.06815946571371334,-0.019416382122164247
SR-MMP,MCF7,residualized,2,2,4042,4042,72adfb04ee04005965b4f5581491ea807e1530555d5fd59ff1f8ab77d01c23fd,757,201,42,42,True,1.0,-1.1962109458998695,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.31622776601683794,False,False,0.537544443230976,9.437347635878578e-07,False,1.0,0.31622776601683794,False,False,0.26342126126920623,2.3137855532234797e-07,False,0.5108821881431633,0.8688324377137274,0.3636662249596935,0.1064264339151839,0.5108821881431633,0.8688324377137274,0.2633007200110978,0.07713116377661182,0.633633378154631,0.9091353199804593,0.32595087133412903,0.09521104126527136,0.6460675507200071,0.9157303370786516,0.22769288341001526,0.06513702252850447,0.12275119001146773,0.04030288226673184,-0.03771535362556444,-0.011215392649912545,0.13518536257684377,0.04689789936492417,-0.03560783660108252,-0.011994141248107354,0.012434172565376045,0.006595017098192324,-0.09825798792411378,-0.03007401873676689
SR-MMP,MCF7,residualized,2,3,4042,4042,72adfb04ee04005965b4f5581491ea807e1530555d5fd59ff1f8ab77d01c23fd,656,302,42,42,True,1.0,-1.2069447628324725,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.10614917015918716,7.653936960304308e-07,False,10.0,0.31622776601683794,False,False,0.04484476665871741,7.588784637878321e-07,False,0.5338775290309051,0.8033581754511987,0.43407380049684474,0.13359236543810232,0.5338775290309051,0.8033581754511987,0.32813355038714487,0.09661735826737378,0.6145670502662527,0.8591182544670917,0.4097380383237809,0.12367153765937616,0.5640384068343978,0.8407111430367245,0.3124488229283955,0.09193032015099338,0.08068952123534756,0.05576007901589297,-0.024335762173063824,-0.00992082777872616,0.030160877803492636,0.037352967585525754,-0.01568472745874938,-0.004687038116380396,-0.050528643431854925,-0.018407111430367218,-0.09728921539538543,-0.03174121750838278
SR-MMP,MCF7,residualized,2,4,4042,4042,72adfb04ee04005965b4f5581491ea807e1530555d5fd59ff1f8ab77d01c23fd,745,213,42,42,True,1.0,-1.1858786833659865,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.24253103285684124,5.852959611366698e-07,False,1.0,0.31622776601683794,False,False,0.2522068431677998,3.514917173291776e-07,False,0.5505798939016684,0.8647716069668091,0.4465085521730391,0.14168170009386322,0.5505798939016684,0.8647716069668091,0.32456904270821085,0.10031673512184561,0.695275650006257,0.8992770292474532,0.4217818368971232,0.13306512282220123,0.6780743702178256,0.8867893526125534,0.2961748826404697,0.08813593715985374,0.14469575610458862,0.03450542228064413,-0.02472671527591591,-0.008616577271661985,0.12749447631615718,0.022017745645744324,-0.028394160067741148,-0.012180797961991868,-0.017201279788431445,-0.012487676634899803,-0.12560695425665347,-0.04492918566234749
SR-MMP,MCF7,residualized,3,0,5042,5042,b484657e3b70c78dd4d2fe802860e18a259f70bedc32f64b67c32726bc38ad67,895,63,42,42,True,1.0,-1.2327930074003353,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1.0,0.31622776601683794,False,False,0.2341079643188865,3.600247093660941e-07,False,1.0,0.31622776601683794,False,False,0.24360832298560722,5.908151773439951e-07,False,0.47360501191222193,0.8146853146853147,0.4561511642217226,0.1452802126348097,0.47360501191222193,0.8146853146853147,0.3763110188518549,0.11843160813927563,0.624967974967975,0.8653846153846154,0.43486819435780166,0.13784465750084193,0.6038335538335539,0.8566433566433567,0.32783825862397525,0.10243377328352607,0.15136296305575303,0.05069930069930073,-0.02128296986392092,-0.007435555133967764,0.13022854192133193,0.04195804195804198,-0.04847276022787966,-0.015997834855749557,-0.0211344211344211,-0.00874125874125875,-0.10702993573382641,-0.03541088421731586
