task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-p53,HA1E,residualized,0,0,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,690,194,42,42,True,1.0,-1.6037780095511562,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.035779437183575125,4.019328300880476e-07,False,100000000.0,1.0,True,True,6.897322790076867e-09,4.902059341782561e-09,False,0.22882757501556994,0.729624060150376,0.4479423730426445,0.13622423929818053,0.22882757501556994,0.729624060150376,0.29723311434205707,0.08419368625659385,0.28686097726430093,0.7359398496240601,0.4429708143454022,0.13426196467982504,0.22882757501556994,0.729624060150376,0.29723311300341004,0.08419368568494301,0.05803340224873099,0.0063157894736841635,-0.0049715586972423065,-0.0019622746183554918,0.0,0.0,-1.3386470265608352e-09,-5.716508377773266e-10,-0.05803340224873099,-0.0063157894736841635,-0.14573770134199215,-0.05006827899488203
SR-p53,HA1E,residualized,0,1,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,711,173,42,42,True,1.0,-1.736735525730471,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.31622776601683794,False,False,0.449248385484469,9.09764331710446e-07,False,10.0,0.31622776601683794,False,False,0.04210730363441937,8.72873012797322e-08,False,0.4599991476819878,0.7600202942668696,0.48689606848650396,0.15294540781976684,0.4599991476819878,0.7600202942668696,0.39986264238014324,0.1232211355855923,0.4631806604964537,0.7706747843734144,0.4810623373225286,0.15093662130871588,0.5194437574098869,0.7968036529680365,0.3788541164271806,0.11712093219545679,0.003181512814465881,0.010654490106544845,-0.005833731163975342,-0.002008786511050964,0.05944460972789911,0.03678335870116689,-0.021008525952962653,-0.00610020339013552,0.05626309691343323,0.026128868594622046,-0.10220822089534803,-0.03381568911325909
SR-p53,HA1E,residualized,0,2,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,622,262,42,42,True,1.0,-1.481139797637779,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,5.799994908946144e-09,7.964753830427829e-09,False,100000000.0,3.162277660168379,True,True,6.5068593600927795e-09,4.754530831541093e-09,False,0.4060951726555508,0.8273770846870262,0.4226415689921939,0.12401366813236128,0.4060951726555508,0.8273770846870262,0.2286308552807357,0.05976935039240045,0.4060951726555508,0.8273770846870262,0.4226415682439083,0.12401366783310894,0.4060951726555508,0.8273770846870262,0.2286308528392025,0.05976934967277883,0.0,0.0,-7.482856001495009e-10,-2.992523451261775e-10,0.0,0.0,-2.4415331978389077e-09,-7.196216192384419e-10,0.0,0.0,-0.1940107154047058,-0.0642443181603301
SR-p53,HA1E,residualized,0,3,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,718,166,42,42,True,1.0,-1.5366110164262083,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.03724262572785281,7.917196464240356e-07,False,31.622776601683796,1.0,False,False,0.01678373698608187,4.404207883459965e-07,False,0.40544811289674304,0.8225108225108225,0.41411559278216936,0.12020366017819176,0.40544811289674304,0.8225108225108225,0.2244314866542667,0.059035884092689464,0.48720963713506005,0.8517316017316018,0.4056623949600493,0.11704007314487043,0.46208383662737595,0.8419913419913421,0.2199031852115046,0.057777091782993714,0.08176152423831701,0.02922077922077926,-0.008453197822120062,-0.0031635870333213273,0.056635723730632914,0.019480519480519543,-0.004528301442762117,-0.0012587923096957498,-0.025125800507684093,-0.009740259740259716,-0.1857592097485447,-0.059262981361876715
SR-p53,HA1E,residualized,0,4,2042,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,795,89,42,42,True,1.0,-1.6106088505294043,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,0.31622776601683794,False,False,0.03431653196537209,8.588250152881394e-07,False,10.0,0.31622776601683794,False,False,0.041606274329808964,3.81340206255347e-07,False,0.2716627282465408,0.6883116883116883,0.5306275157196046,0.17266203458896234,0.2716627282465408,0.6883116883116883,0.37232247731278606,0.11149499329458006,0.3120631020376738,0.7261904761904762,0.517495030822936,0.16652443949529033,0.31538090598973606,0.7424242424242424,0.35721395893229324,0.10817229862850047,0.04040037379113298,0.037878787878787845,-0.013132484896668628,-0.00613759509367201,0.04371817774319525,0.05411255411255411,-0.01510851838049282,-0.0033226946660795814,0.0033178039520622704,0.016233766233766267,-0.16028107189064278,-0.05835214086678986
SR-p53,HA1E,residualized,1,0,3042,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5,624,260,42,42,True,1.0,-1.6856322257129042,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,5.570714044577777e-09,8.00959981672733e-09,False,100000000.0,1.0,True,True,6.445287145836283e-09,4.484245113255125e-09,False,0.31605034476525057,0.7623152709359605,0.42803201413151015,0.12689954695515313,0.31605034476525057,0.7623152709359605,0.31151481267805176,0.09025314530249011,0.31605034476525057,0.7623152709359605,0.4280320120363821,0.1268995459999079,0.31605034476525057,0.7623152709359605,0.31151480998231357,0.09025314477557296,0.0,0.0,-2.095128071033514e-09,-9.552452162608915e-10,0.0,0.0,-2.695738188229768e-09,-5.269171488020419e-10,0.0,0.0,-0.11651720205406851,-0.03664640122433495
SR-p53,HA1E,residualized,1,1,3042,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5,716,168,42,42,True,1.0,-1.62855908332792,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,3.162277660168379,0.31622776601683794,False,False,0.0900075592747936,2.8451797417020086e-07,False,100.0,0.31622776601683794,False,False,0.005409204520639793,8.681551054053049e-07,False,0.34796959775992925,0.8117913832199546,0.4807727737466966,0.15111074980030903,0.34796959775992925,0.8117913832199546,0.32805408510560785,0.09891485109898024,0.4284320159433589,0.8393262066731455,0.4685580034496003,0.14649286871935033,0.38823429712474555,0.8231292517006803,0.3249541750791986,0.09804619825911426,0.08046241818342964,0.027534823453190915,-0.012214770297096278,-0.004617881080958702,0.0402646993648163,0.01133786848072571,-0.003099910026409247,-0.0008686528398659799,-0.04019771881861334,-0.016196954972465205,-0.1436038283704017,-0.04844667046023607
SR-p53,HA1E,residualized,1,2,3042,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5,723,161,42,42,True,1.0,-1.5373043378365554,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,316.2277660168379,1.0,False,False,0.0017917108744803425,9.58032313966295e-08,False,3.162277660168379,1.0,False,False,0.10533386705672283,6.845931308334385e-07,False,0.3411684482632659,0.7094594594594594,0.4545345283882162,0.13826065133881257,0.3411684482632659,0.7094594594594594,0.255958176651466,0.06780430040316215,0.342358959901075,0.7120582120582121,0.4541746177196709,0.1381474903636475,0.3882621489035352,0.7541580041580042,0.24214604697109096,0.06356351077876035,0.0011905116378090885,0.0025987525987526405,-0.0003599106685452935,-0.00011316097516506085,0.0470937006402693,0.04469854469854473,-0.013812129680375013,-0.004240789624401803,0.04590318900246021,0.04209979209979209,-0.21202857074857992,-0.07458397958488716
SR-p53,HA1E,residualized,1,3,3042,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5,682,202,42,42,True,1.0,-1.4865329715898483,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,1000.0,0.31622776601683794,False,True,0.0005546182230037689,1.2676413954615905e-07,False,31.622776601683796,1.0,False,False,0.016988476714346282,2.742120766771605e-07,False,0.4338075823085111,0.8180091185410334,0.43685130840974323,0.1303230072567828,0.4338075823085111,0.8180091185410334,0.22498646074561995,0.05751784741499359,0.43160562352492676,0.8183890577507599,0.43663151499120134,0.13022744350983156,0.5023936776638843,0.833966565349544,0.21979677887780194,0.05581439651998469,-0.0022019587835843124,0.00037993920972645423,-0.0002197934185418915,-9.556374695124381e-05,0.06858609535537324,0.015957446808510634,-0.0051896818678180134,-0.0017034508950089025,0.07078805413895756,0.01557750759878418,-0.2168347361133994,-0.07441304698984688
SR-p53,HA1E,residualized,1,4,3042,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5,791,93,42,42,True,1.0,-1.6376615409205393,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,5.3426814541119145e-09,8.486955796124795e-09,False,100000000.0,1.0,True,True,6.045211394734311e-09,4.478109466576896e-09,False,0.42458907088027975,0.7951923076923078,0.47691178024053044,0.1476738407433563,0.42458907088027975,0.7951923076923078,0.36241839060650666,0.11098672935649241,0.42458907088027975,0.7951923076923078,0.47691177944791496,0.1476738403224186,0.42458907088027975,0.7951923076923078,0.36241838812094457,0.11098672854109522,0.0,0.0,-7.926154732551538e-10,-4.209377013619786e-10,0.0,0.0,-2.4855620894825847e-09,-8.153971942093108e-10,0.0,0.0,-0.1144933913269704,-0.036687111781323375
