task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-p53,HEPG2,residualized,0,0,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,525,78,42,42,True,1.0,-1.4736217707913415,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,31.622776601683796,0.31622776601683794,False,False,0.01714506136262751,2.927742972658881e-07,False,1.0,0.31622776601683794,False,False,0.2707988593781507,3.1968584616971427e-07,False,0.25896825396825396,0.7835616438356166,0.4458229328422458,0.13490903741220792,0.25896825396825396,0.7835616438356166,0.22337508540639023,0.05667433865714884,0.3117311882017765,0.7945205479452055,0.44115240929576527,0.133021173095768,0.3202508960573477,0.7945205479452055,0.2201386997528799,0.05762756316049771,0.05276293423352252,0.010958904109588996,-0.0046705235464805095,-0.001887864316439919,0.06128264208909373,0.010958904109588996,-0.0032363856535103375,0.000953224503348872,0.008519707855571212,0.0,-0.22101370954288538,-0.07539360993527028
SR-p53,HEPG2,residualized,0,1,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,425,178,42,42,True,1.0,-1.4555880950206794,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,6.829260439199754e-09,3.113382274211318e-09,False,100000000.0,1.0,True,True,7.680902950641676e-09,1.5890140592222934e-09,False,0.14685392391673194,0.6594076655052266,0.44827108714434566,0.13625896774852975,0.14685392391673194,0.6594076655052266,0.2686786762890241,0.07175643889716322,0.14685392391673194,0.6594076655052266,0.4482710856581347,0.13625896714603478,0.14685392391673194,0.6594076655052266,0.2686786754327339,0.07175643872284758,0.0,0.0,-1.4862109321001071e-09,-6.024949705807359e-10,0.0,0.0,-8.562902054087829e-10,-1.7431564525161036e-10,0.0,0.0,-0.17959241022540084,-0.0645025284231872
SR-p53,HEPG2,residualized,0,2,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,484,119,42,42,True,1.0,-1.581875335662795,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.44056373306841e-09,2.4256801602062783e-09,False,100000000.0,1.0,True,True,6.0629895307102e-09,1.4764659460320129e-09,False,0.3540388291841496,0.8183673469387756,0.4504122438952787,0.13681966367006157,0.3540388291841496,0.8183673469387756,0.3177177652389256,0.09478382247851921,0.3540388291841496,0.8183673469387756,0.4504122419586704,0.13681966280309787,0.3540388291841496,0.8183673469387756,0.31771776225015474,0.09478382167337268,0.0,0.0,-1.936608262642636e-09,-8.669636952784998e-10,0.0,0.0,-2.9887708419273906e-09,-8.051465327785223e-10,0.0,0.0,-0.13269447970851567,-0.04203584112972519
SR-p53,HEPG2,residualized,0,3,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,486,117,42,42,True,1.0,-1.593559680406002,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,5.894709102403664e-09,3.4833567679609656e-09,False,10.0,1.0,False,False,0.05266305685269151,9.933970696075767e-07,False,0.45056298594931526,0.8385620915032681,0.4588524846136192,0.13985766116546297,0.45056298594931526,0.8385620915032681,0.33078846588871397,0.1002217823161259,0.45056298594931526,0.8385620915032681,0.45885248494061753,0.13985766121873333,0.4624156117591991,0.8797385620915033,0.3116793466841521,0.09554354729892847,0.0,0.0,3.269983173126434e-10,5.327036034508126e-11,0.011852625809883832,0.04117647058823515,-0.019109119204561875,-0.004678235017197427,0.011852625809883832,0.04117647058823515,-0.14717313825646544,-0.04431411391980486
SR-p53,HEPG2,residualized,0,4,2042,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,492,111,42,42,True,1.0,-1.6192432122290523,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,10.0,True,True,5.288483018379898e-09,4.024571705410485e-09,False,100000000.0,3.162277660168379,True,True,6.1140183344134045e-09,2.761360806680102e-09,False,0.4530365893934695,0.7730263157894737,0.4887416484521474,0.1538502100831806,0.4530365893934695,0.7730263157894737,0.3697048152995083,0.11262266427118199,0.4530365893934695,0.7730263157894737,0.4887416460501739,0.15385020899859064,0.4530365893934695,0.7730263157894737,0.36970481278403294,0.11262266358569005,0.0,0.0,-2.401973508980859e-09,-1.0845899456324304e-09,0.0,0.0,-2.5154753835465726e-09,-6.854919409882143e-10,0.0,0.0,-0.11903683326614095,-0.04122754541290059
SR-p53,HEPG2,residualized,1,0,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,520,83,42,42,True,1.0,-1.5178469921578928,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,3.162277660168379,True,True,5.860669094278321e-09,2.289192641002913e-09,False,100000000.0,1.0,True,True,6.6974316794914735e-09,1.3860675419918866e-09,False,0.2868387611256881,0.7050000000000001,0.483330399489218,0.15160882673721077,0.2868387611256881,0.7050000000000001,0.2971959670282825,0.08302867170231448,0.2868387611256881,0.7050000000000001,0.48333039732491084,0.15160882578272294,0.2868387611256881,0.7050000000000001,0.29719596590162345,0.08302867133660777,0.0,0.0,-2.164307177920932e-09,-9.544878221134923e-10,0.0,0.0,-1.1266590438374635e-09,-3.6570671491098494e-10,0.0,0.0,-0.1861344314232874,-0.06858015444611518
SR-p53,HEPG2,residualized,1,1,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,427,176,42,42,True,1.0,-1.579472068512466,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100.0,3.162277660168379,False,False,0.005594968367128539,1.1745127600180927e-07,False,3.162277660168379,1.0,False,False,0.12767968982034264,8.309245186632896e-07,False,0.3509648443773301,0.8364063023801542,0.43217911860372654,0.12850230046937375,0.3509648443773301,0.8364063023801542,0.2962993087626995,0.08755290785489994,0.35637373698566843,0.8431109621186725,0.4308765497640739,0.12789072150579292,0.48431107934827233,0.9098223265169293,0.2625363240092152,0.07868074076543939,0.005408892608338323,0.006704659738518304,-0.0013025688396526292,-0.0006115789635808278,0.13334623497094222,0.07341602413677506,-0.03376298475348427,-0.00887216708946055,0.1279373423626039,0.06671136439825676,-0.16834022575485869,-0.04920998074035353
SR-p53,HEPG2,residualized,1,2,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,480,123,42,42,True,1.0,-1.47774365728488,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,100000000.0,1.0,True,True,6.126494569504945e-09,3.130273837012587e-09,False,1.0,0.31622776601683794,False,False,0.28143254637173554,4.783356539149724e-07,False,0.2801209547484481,0.7261208576998051,0.4267979516291623,0.12686095465781128,0.2801209547484481,0.7261208576998051,0.24331413466895008,0.06381733861612451,0.2801209547484481,0.7261208576998051,0.42679794962783035,0.12686095381343815,0.4230211278463422,0.7212475633528265,0.2239016572024041,0.056831094805772045,0.0,0.0,-2.001331933509931e-09,-8.443731269736077e-10,0.1429001730978941,-0.004873294346978585,-0.01941247746654598,-0.006986243810352469,0.1429001730978941,-0.004873294346978585,-0.20289629242542626,-0.0700298590076661
SR-p53,HEPG2,residualized,1,3,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,494,109,42,42,True,1.0,-1.6551000351270344,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04249237243563115,1.1072891697430295e-07,False,10.0,1.0,False,False,0.05140283126346124,7.500793334641598e-07,False,0.5640744704754627,0.7966751918158568,0.4730449445453975,0.14680858762450785,0.5640744704754627,0.7966751918158568,0.38357452961180477,0.11888982064555252,0.6014460693068011,0.8305626598465473,0.4657629941616663,0.1439139811568753,0.5886126365536221,0.8305626598465473,0.36720353932146,0.11401794128760097,0.03737159883133845,0.03388746803069054,-0.0072819503837312505,-0.0028946064676325656,0.024538166078159396,0.03388746803069054,-0.016370990290344778,-0.004871879357951553,-0.012833432753179053,0.0,-0.09855945484020628,-0.02989603986927432
SR-p53,HEPG2,residualized,1,4,3042,3042,2bd5d6a3c6eceb76c9058f769eb283c9fd9c5199bf9fcf472173330aa55c652a,491,112,42,42,True,1.0,-1.500992441342553,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,10.0,1.0,False,False,0.04388936032980227,8.802555679461241e-07,False,100.0,1.0,False,False,0.006321306374633955,8.277506094601234e-07,False,0.21931244996771962,0.6993699369936994,0.49878185658225366,0.15797580226731828,0.21931244996771962,0.6993699369936994,0.3048042673683126,0.08548310414091352,0.31134948897097237,0.7731773177317732,0.4943932986636389,0.15596064573927593,0.2410330586505669,0.7191719171917191,0.30272951206996396,0.08498029038979056,0.09203703900325275,0.0738073807380738,-0.004388557918614755,-0.00201515652804235,0.02172060868284728,0.01980198019801971,-0.002074755298348663,-0.0005028137511229602,-0.07031643032040547,-0.054005400540054094,-0.19166378659367495,-0.07098035534948537
