task,cell,variant,repeat_id,fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,n_outer_train,n_outer_test,inner_cv_seed_requested,inner_cv_seed_used,chemical_offset_frozen,chemical_offset_coefficient,d0_intercept,d1_intercept_refit,c1_has_intercept,stage2_likelihood,stage2_model_spec,alpha_c1,alpha_min_loss_c1,alpha_boundary_hit_c1,beta_saturated_no_signal_c1,beta_l2_norm_c1,final_gradient_inf_norm_c1,final_retry_used_c1,alpha_d1,alpha_min_loss_d1,alpha_boundary_hit_d1,beta_saturated_no_signal_d1,beta_l2_norm_d1,final_gradient_inf_norm_d1,final_retry_used_d1,auprc_c0,auroc_c0,log_loss_c0,brier_c0,auprc_d0,auroc_d0,log_loss_d0,brier_d0,auprc_c1,auroc_c1,log_loss_c1,brier_c1,auprc_d1,auroc_d1,log_loss_d1,brier_d1,delta_auprc_c1_minus_c0,delta_auroc_c1_minus_c0,delta_log_loss_c1_minus_c0,delta_brier_c1_minus_c0,delta_auprc_d1_minus_d0,delta_auroc_d1_minus_d0,delta_log_loss_d1_minus_d0,delta_brier_d1_minus_d0,delta_auprc_d1_minus_c1,delta_auroc_d1_minus_c1,delta_log_loss_d1_minus_c1,delta_brier_d1_minus_c1
SR-p53,HT29,residualized,0,0,2042,2042,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,789,88,42,42,True,1.0,-1.5744216447920694,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.09999999999999999,False,False,1.1573040469079077,7.567591654687473e-07,False,3.162277660168379,0.31622776601683794,False,False,0.10099307241713018,4.718490734471198e-07,False,0.5232175032175033,0.8698795180722891,0.4286159600219169,0.12570223891496826,0.5232175032175033,0.8698795180722891,0.19635477365703463,0.04792029917225775,0.8434782608695652,0.9566265060240964,0.27818532986669936,0.07304159590528067,0.7453968253968254,0.9783132530120482,0.16630076970175203,0.03877037960732977,0.32026075765206197,0.08674698795180724,-0.15043063015521752,-0.05266064300968759,0.22217932217932213,0.10843373493975905,-0.0300540039552826,-0.009149919564927979,-0.09808143547273984,0.02168674698795181,-0.11188456016494733,-0.0342712162979509
SR-p53,HT29,residualized,0,1,2042,2042,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,718,159,42,42,True,1.0,-1.6107298080767132,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.09999999999999999,False,False,1.1604460489923303,5.107719202350957e-07,False,10.0,1.0,False,False,0.04442242636478416,3.665586960494016e-07,False,0.19440182950542773,0.7152777777777777,0.47582363010314094,0.1478686712422422,0.19440182950542773,0.7152777777777777,0.2945000934720856,0.08257049845833273,0.3876959615159157,0.7550925925925925,0.3854079858774163,0.10789404823375194,0.22445033197237585,0.7337962962962963,0.2890955594157411,0.08137243397805381,0.19329413201048795,0.03981481481481486,-0.09041564422572462,-0.039974623008490265,0.030048502466948124,0.0185185185185186,-0.005404534056344501,-0.0011980644802789125,-0.16324562954353983,-0.021296296296296258,-0.0963124264616752,-0.026521614255698128
SR-p53,HT29,residualized,0,2,2042,2042,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,612,265,42,42,True,1.0,-1.604689504231201,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.09999999999999999,False,False,1.186914490595122,8.005101884236727e-07,False,3.162277660168379,0.31622776601683794,False,False,0.10712282395218489,3.3236656275109633e-07,False,0.23381379264515728,0.7290693496227093,0.4377643377563452,0.13139557950945424,0.23381379264515728,0.7290693496227093,0.27172956532695774,0.07492281340635036,0.3621061576278881,0.810097017606899,0.378276756526804,0.09831103826938149,0.34279561168738387,0.8106360043118936,0.2456199777558935,0.06781237332551251,0.12829236498273083,0.0810276679841897,-0.05948758122954123,-0.03308454124007275,0.10898181904222659,0.08156665468918434,-0.02610958757106424,-0.007110440080837846,-0.019310545940504242,0.0005389867049946373,-0.13265677877091048,-0.030498664943868978
SR-p53,HT29,residualized,0,3,2042,2042,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,706,171,42,42,True,1.0,-1.5940363795802535,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.5367110056151981,9.65753835178323e-07,False,100000000.0,1.0,True,True,5.0627613769407295e-09,1.5670548608737178e-09,False,0.31533978417025466,0.8166666666666667,0.44971809393283396,0.1359428901726918,0.31533978417025466,0.8166666666666667,0.26297287893991883,0.07351563775598029,0.6992508807683172,0.8854700854700854,0.3680714795825748,0.1029676358829003,0.31533978417025466,0.8166666666666667,0.2629728765782737,0.07351563709888223,0.38391109659806255,0.06880341880341878,-0.08164661435025916,-0.03297525428979149,0.0,0.0,-2.3616451572117114e-09,-6.57098056522365e-10,-0.38391109659806255,-0.06880341880341878,-0.10509860300430113,-0.029451998784018066
SR-p53,HT29,residualized,0,4,2042,2042,605f56b879debe8529d9fdfb573cffee5539ac690eb77628462e3531b1adf837,683,194,42,42,True,1.0,-1.7671642879977045,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.03162277660168379,0.03162277660168379,False,False,2.1623415401973736,9.54336413116607e-07,False,1.0,0.09999999999999999,False,False,0.22535801402288078,7.115088160106198e-07,False,0.4966628383306866,0.800177422931914,0.45391525591245613,0.13899004168366827,0.4966628383306866,0.800177422931914,0.35722407103485965,0.10904393712846475,0.41030111149749465,0.7325349301397205,0.4104190440464605,0.12270102740801601,0.5212957941636254,0.815923708139277,0.3257484357261327,0.09723702917058523,-0.08636172683319193,-0.06764249279219348,-0.043496211865995615,-0.016289014275652255,0.024632955832938785,0.015746285207362987,-0.031475635308726935,-0.011806907957879517,0.11099468266613072,0.08338877799955646,-0.0846706083203278,-0.025463998237430785
SR-p53,HT29,residualized,1,0,3042,3042,adda317b443a89436954edb12c1076399c70300a27a4c4b8fda93773f3dbf65e,790,87,42,42,True,1.0,-1.6408404977736564,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.09999999999999999,False,False,1.164529731527166,9.060503264584491e-07,False,3.162277660168379,0.31622776601683794,False,False,0.09857784810599879,1.9312334878941045e-07,False,0.6332587064676617,0.8675324675324675,0.4528267762662497,0.1371278505250676,0.6332587064676617,0.8675324675324675,0.2951719610899069,0.08690893064047278,0.4569525244404026,0.751948051948052,0.3759097705361012,0.11000165551198098,0.8581249999999999,0.922077922077922,0.2505028163736595,0.07215253352779837,-0.17630618202725912,-0.11558441558441546,-0.07691700573014848,-0.02712619501308662,0.22486629353233822,0.054545454545454564,-0.04466914471624739,-0.014756397112674416,0.40117247555959734,0.17012987012987002,-0.1254069541624417,-0.03784912198418261
SR-p53,HT29,residualized,1,1,3042,3042,adda317b443a89436954edb12c1076399c70300a27a4c4b8fda93773f3dbf65e,704,173,42,42,True,1.0,-1.6059008099048717,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.09999999999999999,False,False,1.160959220945517,6.920797647035765e-07,False,1.0,0.31622776601683794,False,False,0.22354739044951696,4.6766231020720084e-07,False,0.2582565800848167,0.7862261146496816,0.4570170813950299,0.14013719699965185,0.2582565800848167,0.7862261146496816,0.27780382405969073,0.07877347444439578,0.48023054609780014,0.8375796178343949,0.4362299267828033,0.11351432189466473,0.379022198046365,0.8128980891719745,0.2629959666069329,0.07492789767036263,0.22197396601298341,0.05135350318471332,-0.020787154612226577,-0.02662287510498712,0.12076561796154828,0.026671974522292863,-0.014807857452757811,-0.0038455767740331465,-0.10120834805143514,-0.02468152866242046,-0.1732339601758704,-0.0385864242243021
SR-p53,HT29,residualized,1,2,3042,3042,adda317b443a89436954edb12c1076399c70300a27a4c4b8fda93773f3dbf65e,605,272,42,42,True,1.0,-1.6179806653527304,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.5700864191467645,6.701750802666148e-07,False,10.0,1.0,False,False,0.04350658692486721,5.591861572049051e-07,False,0.33321372035593994,0.8093927125506073,0.43018652146520764,0.12769816640044007,0.33321372035593994,0.8093927125506073,0.26690259847423453,0.07518085111159888,0.5443358992044173,0.8469635627530364,0.35411358684397104,0.0994760273065921,0.38922334385444823,0.8382186234817813,0.2540095645025345,0.07154732197321297,0.21112217884847734,0.03757085020242912,-0.0760729346212366,-0.028222139093847978,0.0560096234985083,0.028825910931174037,-0.012893033971700052,-0.0036335291383859103,-0.15511255534996904,-0.008744939271255081,-0.10010402234143656,-0.027928705333379128
SR-p53,HT29,residualized,1,3,3042,3042,adda317b443a89436954edb12c1076399c70300a27a4c4b8fda93773f3dbf65e,702,175,42,42,True,1.0,-1.6037253156987423,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.09999999999999999,0.03162277660168379,False,False,1.1544106593552506,9.182079706970131e-07,False,0.31622776601683794,0.31622776601683794,False,False,0.4559191718968863,7.216882859928386e-07,False,0.26931786569175514,0.6898584905660378,0.4673208138733147,0.143815382012276,0.26931786569175514,0.6898584905660378,0.2843942699785885,0.07846798665439743,0.2878660495752619,0.6831761006289309,0.3973624660440641,0.1133989225398661,0.3082246346588964,0.706367924528302,0.27875023324925724,0.0757568344885459,0.018548183883506764,-0.006682389937106903,-0.06995834782925059,-0.03041645947240991,0.038906768967141236,0.01650943396226423,-0.005644036729331281,-0.0027111521658515353,0.020358585083634473,0.023191823899371133,-0.11861223279480687,-0.0376420880513202
SR-p53,HT29,residualized,1,4,3042,3042,adda317b443a89436954edb12c1076399c70300a27a4c4b8fda93773f3dbf65e,707,170,42,42,True,1.0,-1.6623624502954195,False,False,unweighted,fixed_chemical_offset_fixed_calibration_intercept_ridge_biology_v1,0.31622776601683794,0.09999999999999999,False,False,0.5456046432632714,8.156247134636155e-07,False,10.0,0.31622776601683794,False,False,0.04125865626055928,3.257908305805135e-07,False,0.28401935228232295,0.7222222222222222,0.45347825882600146,0.13839762022654348,0.28401935228232295,0.7222222222222222,0.31112308319167487,0.08921051013059977,0.529232426562565,0.8059210526315789,0.37928404008208993,0.10843226069906699,0.3913677792559356,0.7737573099415205,0.29347821798452733,0.08457848397233664,0.24521307428024203,0.08369883040935666,-0.07419421874391152,-0.02996535952747649,0.10734842697361263,0.05153508771929827,-0.01764486520714753,-0.004632026158263136,-0.1378646473066294,-0.032163742690058394,-0.0858058220975626,-0.02385377672673035
