task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,DYDCUQKUCUHJBH,0.0,-1.827089479231788,0.28409444673601914,0.06001152503405346,0.2840944472667979,0.06001152512293736
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FEBLZLNTKCEFIT,1.0,-1.827089479231788,0.7950823919605295,0.38432002142266103,0.7950823838430638,0.3843200096323338
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FFINMCNLQNTKLU,0.0,-1.827089479231788,0.28828880975781024,0.06118026084861638,0.28828880950004176,0.06118026079309035
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FHRSHSOEWXUORL,0.0,-1.827089479231788,0.2320168366652658,0.0463512415206582,0.23201684442562376,0.04635124354255196
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FKNXQNWAXFXVNW,0.0,-1.827089479231788,0.341802455702347,0.07710398311226174,0.3418024554293481,0.07710398295033952
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FOCVUCIESVLUNU,0.0,-1.827089479231788,0.2200115875091446,0.04340986382237334,0.22001158648418415,0.043409863614219175
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,FTSUPYGMFAPCFZ,0.0,-1.827089479231788,0.22568823425384613,0.04479157421453852,0.225688233159596,0.04479157395994057
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,GDLBFKVLRPITMI,0.0,-1.827089479231788,0.23433446525162055,0.0469275732311476,0.23433447076326028,0.046927574652402014
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,GGUSQTSTQSHJAH,0.0,-1.827089479231788,0.22716293521506586,0.04515318146831222,0.22716293370986929,0.04515318102848176
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,GKTWGGQPFAXNFI,0.0,-1.827089479231788,0.23356658518955375,0.04673631332514269,0.2335665705555839,0.04673630960368481
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,GPRBEKHLDVQUJE,0.0,-1.827089479231788,0.31247202207783165,0.06813626071524038,0.312472021870548,0.06813626057734583
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,GSYQNAMOFFWAPF,0.0,-1.827089479231788,0.2789929387053188,0.05860449588312946,0.278992939222989,0.05860449606196651
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,HBNPJJILLOYFJU,0.0,-1.827089479231788,0.33756320965539066,0.0757697676007845,0.33756320940936885,0.07576976748527914
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,HBPDKDSFLXWOAE,0.0,-1.827089479231788,0.22844482044333553,0.045468408420302926,0.22844482118579623,0.045468408611732486
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,HDDNYFLPWFSBLN,0.0,-1.827089479231788,0.21466809573586138,0.04212391376022759,0.21466809405420562,0.04212391323886434
NR-AR,HA1E,residualized,0,0,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3,HJMQDJPMQIHLPB,0.0,-1.827089479231788,0.2560407812221079,0.05246393762224407,0.256040785109083,0.05246393855798658
