task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ACSIXWWBWUQEHA,0.0,-1.8894495120608756,0.22769379080462965,0.042662775917931016,0.22769379250028826,0.0426627761721474
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ACTRVOBWPAIOHC,0.0,-1.8894495120608756,0.23628586448273212,0.04467657210523823,0.23628586530658438,0.0446765722897955
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AELCINSCMGFISI,0.0,-1.8894495120608756,0.3344223792595463,0.07058747476679098,0.3344223811330086,0.07058747521567407
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AEUTYOVWOVBAKS,0.0,-1.8894495120608756,0.19864136966522963,0.036115231512400855,0.19864136854987768,0.036115231228919346
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AFCGFAGUEYAMAO,0.0,-1.8894495120608756,0.19505479965719313,0.03533376427085473,0.19505479803132061,0.03533376391189774
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AGHANLSBXUWXTB,0.0,-1.8894495120608756,0.2999678470497824,0.060830738790133634,0.29996784502671037,0.060830738208128815
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AHOUBRCZNHFOSL,0.0,-1.8894495120608756,0.23701363454444968,0.044848834952410495,0.23701363487666163,0.044848835006390135
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ANGKOCUUWGHLCE,0.0,-1.8894495120608756,0.3935099459423468,0.0893146842810405,0.39350994457426913,0.08931468384480296
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AQCHWTWZEMGIFD,0.0,-1.8894495120608756,0.2583411210571729,0.05001809812225121,0.25834112206191073,0.05001809831329848
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,ATCGGEJZONJOCL,0.0,-1.8894495120608756,0.2104691924507106,0.03873341618154908,0.21046919151755206,0.038733415943770846
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AUNGANRZJHBGPY,0.0,-1.8894495120608756,0.37723471099140093,0.08388065371782137,0.3772347064433165,0.08388065223862783
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AUZONCFQVSMFAP,0.0,-1.8894495120608756,0.27164430710923926,0.053365655557686735,0.2716442981237551,0.05336565356348351
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,AXRCEOKUDYDWLF,0.0,-1.8894495120608756,0.4100425364864925,0.09507043717047245,0.4100425344199813,0.09507043668577095
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BBMULGJBVDDDNI,1.0,-1.8894495120608756,0.30452795030201574,0.062077864309466456,0.3045279482169031,0.062077863781178154
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BCEHBSKCWLPMDN,0.0,-1.8894495120608756,0.21853053731960279,0.04055484795974677,0.2185305400620985,0.04055484860540398
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BCGWQEUPMDMJNV,0.0,-1.8894495120608756,0.24754738853273384,0.04737234499981444,0.24754738851228283,0.047372344961078956
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BFUJHVVEMMWLHC,0.0,-1.8894495120608756,0.2036781260080499,0.03722238792947315,0.20367812538768368,0.03722238771677805
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BGSZAXLLHYERSY,0.0,-1.8894495120608756,0.6331075455036819,0.20687305084683935,0.6331075484689783,0.20687305286862423
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BIDNLKIUORFRQP,0.0,-1.8894495120608756,0.22664525375498043,0.042419511698003405,0.2266452534207693,0.04241951159029397
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BKRGVLQUQGGVSM,0.0,-1.8894495120608756,0.2639321235385049,0.05141312497063873,0.2639321221296084,0.05141312462264947
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BLSQLHNBWJLIBQ,0.0,-1.8894495120608756,0.19737909223096045,0.03583954573182409,0.19737909211675977,0.03583954568193672
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BPEGJWRSRHCHSN,0.0,-1.8894495120608756,0.21935847873637926,0.040743652870763786,0.21935847666315714,0.04074365238031283
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BPZSYCZIITTYBL,0.0,-1.8894495120608756,0.2628361648369513,0.0511383261761624,0.26283617362964673,0.05113832874002605
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BWPIARFWQZKAIA,0.0,-1.8894495120608756,0.2584112350021124,0.050035487429369155,0.25841123295550833,0.05003548691340213
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BWWVAEOLVKTZFQ,1.0,-1.8894495120608756,0.2256921168479263,0.042198845405641186,0.2256921206588348,0.04219884664882242
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BYPFEZZEUUWMEJ,0.0,-1.8894495120608756,0.2552871923441011,0.049263242330342474,0.2552871899462339,0.04926324169020815
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,BZKPWHYZMXOIDC,0.0,-1.8894495120608756,0.24151103756802292,0.04591930737901973,0.24151103172218857,0.04591930590348572
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CBQGYUDMJHNJBX,0.0,-1.8894495120608756,0.2169065427391037,0.04018545471317313,0.2169065411636926,0.04018545435829704
NR-AR,MCF7,residualized,0,0,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0,CFOYWRHIYXMDOT,0.0,-1.8894495120608756,0.2610740204781322,0.0506978662594762,0.2610740160267285,0.050697865168839874
