task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HCRKCZRJWPKOAR,0.0,-1.272834010095037,0.12843397323668423,0.03963081945154768,0.12843397297036477,0.039630819487728626
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HIFJCPQKFCZDDL,0.0,-1.272834010095037,0.026254346504694395,0.007493834661451132,0.026254346624408165,0.007493834735768516
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,HSUGRBWQSSZJOP,0.0,-1.272834010095037,0.27250164706912594,0.09493613681712253,0.2725016471442276,0.09493613702485779
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IJHNSHDBIRRJRN,0.0,-1.272834010095037,0.27295423123556495,0.09513237570689816,0.2729542289837669,0.09513237491792169
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,ISWRGOKTTBVCFA,0.0,-1.272834010095037,0.3615350141600202,0.1368690307870836,0.3615350154477092,0.13686903128748504
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IVVNZDGDKPTYHK,0.0,-1.272834010095037,0.34289470094694785,0.12749904407652876,0.34289469935289163,0.12749904261981934
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,IXORZMNAPKEEDV,0.0,-1.272834010095037,0.03978693757304741,0.011470379921039046,0.039786937449475,0.011470379896095817
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JFJZZMVDLULRGK,0.0,-1.272834010095037,0.4203164807599583,0.16877860468572348,0.4203164815623752,0.16877860537547423
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JQXXHWHPUNPDRT,0.0,-1.272834010095037,0.13806699450633417,0.042931361179466915,0.13806699679395537,0.04293136167551881
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,JWBOIMRXGHLCPP,0.0,-1.272834010095037,0.5148684673977795,0.22911015072414567,0.5148684709611351,0.2291101536134042
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,KBDSLGBFQAGHBE,0.0,-1.272834010095037,0.1132907729433891,0.03454310814250269,0.1132907727134502,0.03454310803031961
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,KPSRODZRAIWAKH,0.0,-1.272834010095037,0.15541943443538578,0.049006855780985493,0.1554194349845549,0.04900685624265626
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,KXGVEGMKQFWNSR,0.0,-1.272834010095037,0.03778436106074736,0.010876902308812091,0.03778436093703896,0.01087690220275238
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,LEQAKWQJCITZNK,0.0,-1.272834010095037,0.17248950979573535,0.05515260895399666,0.17248950724829681,0.05515260809609389
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,LOUPRKONTZGTKE,1.0,-1.272834010095037,0.23094191863073554,0.07756974791914911,0.23094192039524739,0.07756974888832252
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,MKUXAQIIEYXACX,0.0,-1.272834010095037,0.420776314050473,0.16904349944080677,0.4207763082703402,0.1690434941787711
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,MTXSIJUGVMTTMU,0.0,-1.272834010095037,0.29369726385171946,0.10430053578124875,0.2936972644458926,0.10430053650183121
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,NCMZQTLCXHGLOK,0.0,-1.272834010095037,0.07612838000684279,0.02255498338902617,0.07612838077451836,0.022554983538575598
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,OBWGMKKHCLHVIE,0.0,-1.272834010095037,0.3203113964180946,0.11658493069899005,0.3203113937583793,0.1165849290818755
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,OFBIFZUFASYYRE,0.0,-1.272834010095037,0.3561640204413552,0.13413448833000247,0.356164021097588,0.13413448895211205
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,OHXPGWPVLFPUSM,0.0,-1.272834010095037,0.023834733583818248,0.006791141021006188,0.023834733478330577,0.006791140977810842
NR-AhR,HEPG2,residualized,0,0,70328f7d9c429cec0dfdbb29f8d05dd14a3c888b181f9b564435694d538672c3,ORRZGUBHBVWWOP,0.0,-1.272834010095037,0.04276330971464885,0.01235571106405783,0.04276330878771916,0.012355710771795841
