task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,AJLFOPYRIVGYMJ,0.0,-1.3853811307336528,0.04477912070957648,0.011594275779183627,0.04477912084273561,0.011594275862231475
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,BQSJTQLCZDPROO,1.0,-1.3853811307336528,0.3235404534657243,0.10688807758785733,0.32354045348115995,0.1068880776242387
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,CXOFVDLJLONNDW,0.0,-1.3853811307336528,0.17819863604691255,0.05146674463358804,0.17819863563646546,0.051466744527272706
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,FLNXBVJLPJNOSI,0.0,-1.3853811307336528,0.20715700890849534,0.06136832448197514,0.20715700790303845,0.061368324310701945
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,GQGRDYWMOPRROR,0.0,-1.3853811307336528,0.058637368583738504,0.01534748203184444,0.058637368514740995,0.015347482011784689
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,HGBLNBBNRORJKI,0.0,-1.3853811307336528,0.0431691263972983,0.011163469793814391,0.04316912567710458,0.011163469581718774
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,HNJJXZKZRAWDPF,0.0,-1.3853811307336528,0.4062588203196459,0.14618592539057976,0.4062588183740839,0.14618592465152228
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,HSHNITRMYYLLCV,0.0,-1.3853811307336528,0.30674846272315054,0.0996835216064876,0.30674846378486054,0.09968352196529857
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,HUPFGZXOMWLGNK,0.0,-1.3853811307336528,0.3857159083530267,0.13578632554895315,0.3857159079326044,0.13578632559902323
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,HXHWSAZORRCQMX,1.0,-1.3853811307336528,0.7276333113852033,0.4006558412953477,0.7276333105821534,0.4006558412123779
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IAVUPMFITXYVAF,0.0,-1.3853811307336528,0.15238567795814914,0.04304986490134041,0.1523856761557164,0.043049863493265346
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IEDVJHCEMCRBQM,0.0,-1.3853811307336528,0.39916727405070934,0.1425442449048407,0.39916727183418044,0.14254424374966915
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,INWLQCZOYSRPNW,0.0,-1.3853811307336528,0.1745895126842771,0.05026736842981234,0.17458951129508363,0.050267367453002774
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IQPSEEYGBUAQFF,1.0,-1.3853811307336528,0.9118679209756719,0.7213720085646301,0.9118679217082889,0.7213720121878319
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IRYJRGCIQBGHIV,0.0,-1.3853811307336528,0.04852377958070493,0.012600454919625172,0.04852377989683779,0.01260045497588805
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IVVNZDGDKPTYHK,0.0,-1.3853811307336528,0.34289470094694785,0.11549489011258192,0.342894699682761,0.11549488971305724
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,IZEKFCXSFNUWAM,0.0,-1.3853811307336528,0.2785139332716332,0.08808647939075177,0.27851393248705064,0.08808647926282054
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JBMKAUGHUNFTOL,0.0,-1.3853811307336528,0.22380384193037184,0.0672941582672332,0.2238038404574193,0.06729415779818525
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JJCFRYNCJDLXIK,0.0,-1.3853811307336528,0.4048380430611816,0.1454518678212024,0.40483804158066766,0.14545186733153384
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JOAHPSVPXZTVEP,1.0,-1.3853811307336528,0.3308479719721388,0.11009868828727142,0.33084797214468625,0.11009868881690288
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JTEGQNOMFQHVDC,0.0,-1.3853811307336528,0.30597927280101883,0.09935914183242339,0.3059792743406534,0.09935914268633837
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JVVXZOOGOGPDRZ,0.0,-1.3853811307336528,0.355833733677935,0.12143887657405969,0.355833738281415,0.12143887905750421
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JXLYSJRDGCGARV,0.0,-1.3853811307336528,0.2821290688985206,0.08953659640201797,0.282129070194962,0.08953659734443671
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,JYJFNDQBESEHJQ,0.0,-1.3853811307336528,0.049711674202881334,0.01292086494597414,0.04971167389456355,0.012920864746210018
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,KBDSLGBFQAGHBE,0.0,-1.3853811307336528,0.1132907729433891,0.03098008702742296,0.11329077237006882,0.030980086952122978
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,KEEYRKYKLYARHO,0.0,-1.3853811307336528,0.3904908814063549,0.13816318905538574,0.39049088277913946,0.13816318869006608
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,KLBQZWRITKRQQV,0.0,-1.3853811307336528,0.3788938966655265,0.13243174053893048,0.3788938973156396,0.13243174141253458
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,KTHVBAZBLKXIHZ,0.0,-1.3853811307336528,0.09651717337928904,0.02603541342943623,0.09651717311320647,0.0260354133721555
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,KYRVNWMVYQXFEU,1.0,-1.3853811307336528,0.7632395733063421,0.4464912067724755,0.7632395730006671,0.446491207259685
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,LCTZPQRFOZKZNK,0.0,-1.3853811307336528,0.18707331336490246,0.05444806674373262,0.18707331292001578,0.05444806677203116
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,LEBVLXFERQHONN,0.0,-1.3853811307336528,0.14922143541186872,0.04204333488393679,0.14922143413351396,0.042043334545983455
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,LKJPYSCBVHEWIU,0.0,-1.3853811307336528,0.2338484641609646,0.0709565499151421,0.23384846469569656,0.07095655035547305
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,LWAFSWPYPHEXKX,0.0,-1.3853811307336528,0.37478119043816466,0.13043246132874803,0.37478119006104443,0.1304324617220178
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MINDHVHHQZYEEK,0.0,-1.3853811307336528,0.02349177088315155,0.005983702234365481,0.023491770900526173,0.005983702242103099
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MJIHNNLFOKEZEW,1.0,-1.3853811307336528,0.9189967433848178,0.7395078342004133,0.9189967444766348,0.7395078379065172
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MLYYVTUWGNIJIB,0.0,-1.3853811307336528,0.08324487157057793,0.02221689127083768,0.08324487131282261,0.022216891230323447
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MQTOSJVFKKJCRP,0.0,-1.3853811307336528,0.046149238827919326,0.01196174367638337,0.046149238736881676,0.011961743656756677
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MVCOAUNKQVWQHZ,1.0,-1.3853811307336528,0.29341856493595037,0.09412996158704923,0.2934185660899915,0.09412996205524984
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,MYPYJXKWCTUITO,0.0,-1.3853811307336528,0.07687284524000708,0.020412273738553824,0.07687284546215835,0.020412273790726118
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,NDTSRXAMMQDVSW,0.0,-1.3853811307336528,0.1771599613822498,0.05112080735105336,0.17715996150963528,0.05112080763593367
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,NHUHCSRWZMLRLA,0.0,-1.3853811307336528,0.3609967486016647,0.12385482139596497,0.36099674824832845,0.12385482152679148
NR-AhR,MCF7,residualized,0,0,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b,NPUKDXXFDDZOKR,0.0,-1.3853811307336528,0.2535127238992393,0.07832356644771934,0.253512720908317,0.07832356471862192
