task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,FTSUPYGMFAPCFZ,0.0,-1.8836563883457378,0.33411192893981934,0.07087655353258586,0.3341119249211139,0.07087655198910191
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,IVTVGDXNLFLDRM,0.0,-1.8836563883457378,0.2888904809951782,0.05817108749559869,0.2888904804628224,0.058171087456792225
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,JGPJQFOROWSRRS,0.0,-1.8836563883457378,0.6103217154741287,0.19232211783656178,0.610321716160398,0.19232211860632925
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,JIVPVXMEBJLZRO,0.0,-1.8836563883457378,0.24761178344488144,0.04765014929899212,0.24761178364876263,0.04765014932433673
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,JTEGQNOMFQHVDC,0.0,-1.8836563883457378,0.2557982802391052,0.04966192017194124,0.2557982796493085,0.0496619202812628
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,KBAFPSLPKGSANY,0.0,-1.8836563883457378,0.4254067242145538,0.10117168452406554,0.4254067232616915,0.10117168366163674
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,KTHVBAZBLKXIHZ,0.0,-1.8836563883457378,0.34407150745391846,0.07385968136419713,0.3440715061540735,0.0738596809841578
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,LKBFFDOJUKLQNY,0.0,-1.8836563883457378,0.47783258557319647,0.12213302962466445,0.477832584025654,0.1221330289153154
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,LPMXVESGRSUGHW,1.0,-1.8836563883457378,0.42571030184626574,0.10128466815417853,0.4257103152752063,0.10128467336434514
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,MFYSYFVPBJMHGN,0.0,-1.8836563883457378,0.3108907416462899,0.06418701727443687,0.3108907376863366,0.06418701638141551
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,MKXZASYAUGDDCJ,0.0,-1.8836563883457378,0.3647692911326885,0.08029249263111674,0.3647692895507405,0.08029249190656396
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,NGOGFTYYXHNFQH,1.0,-1.8836563883457378,0.3171672448515892,0.06595960799896983,0.3171672417361676,0.06595960710353525
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,NPUKDXXFDDZOKR,0.0,-1.8836563883457378,0.5690407007932663,0.16718395105741293,0.5690406995970315,0.1671839502438971
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,ODKNJVUHOIMIIZ,0.0,-1.8836563883457378,0.3637936562299729,0.07998193488963502,0.3637936582667351,0.0799819356662968
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,OGAKLTJNUQRZJU,0.0,-1.8836563883457378,0.3732442110776901,0.08302180303969131,0.373244210154617,0.08302180254957786
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,OPNUROKCUBTKLF,0.0,-1.8836563883457378,0.43276046961545944,0.10393440238679932,0.4327604665544433,0.1039344012274144
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,OUDSBRTVNLOZBN,0.0,-1.8836563883457378,0.1799012059345842,0.032274427237390706,0.17990120408066626,0.03227442677574016
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PCLITLDOTJTVDJ,0.0,-1.8836563883457378,0.5531031563878058,0.15836556986286335,0.5531031554634566,0.15836556921438372
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PMATZTZNYRCHOR,0.0,-1.8836563883457378,0.3376999609172345,0.07194311706368502,0.3376999669664982,0.0719431193802484
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,PTVWPYVOOKLBCG,0.0,-1.8836563883457378,0.2604150250554085,0.05081225905091133,0.2604150250854773,0.050812259130317124
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,QDGZDCVAUDNJFG,0.0,-1.8836563883457378,0.24376681633293626,0.04671742882618628,0.24376681596305955,0.04671742867627641
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,QRJOQYLXZPQQMX,0.0,-1.8836563883457378,0.27111564949154854,0.053523466893413404,0.27111564976048996,0.05352346674454177
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,QYQDKDWGWDOFFU,0.0,-1.8836563883457378,0.2595689669251442,0.05060058529507304,0.2595689664492994,0.0506005850949111
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RAVIZVQZGXBOQO,0.0,-1.8836563883457378,0.5897690281271935,0.17936644868474838,0.5897690274593572,0.17936644729681558
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RKUNBYITZUJHSG,0.0,-1.8836563883457378,0.2665451355278492,0.05235766232804641,0.2665451345654718,0.05235766189223584
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,RONZAEMNMFQXRA,0.0,-1.8836563883457378,0.44373084604740143,0.10815851958805471,0.44373084763376636,0.10815852004345392
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SGOOQMRIPALTEL,0.0,-1.8836563883457378,0.3173851817846298,0.06602162084769995,0.31738517911362496,0.0660216199138507
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SHZKQBHERIJWAO,0.0,-1.8836563883457378,0.5278708040714264,0.14528664626516946,0.5278708027909874,0.14528664583183457
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SPFYMRJSYKOXGV,0.0,-1.8836563883457378,0.41954440623521805,0.0990075904605691,0.4195444048202253,0.09900759005951117
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,SWLMUYACZKCSHZ,1.0,-1.8836563883457378,0.8199967145919801,0.40918606502774707,0.8199967164849702,0.40918606872511826
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,TVYLLZQTGLZFBW,0.0,-1.8836563883457378,0.3543596602976322,0.07701686059695509,0.3543596576365879,0.07701685974225149
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,UIAYVIIHMORPSJ,0.0,-1.8836563883457378,0.31646760925650597,0.06576074194937603,0.31646760674552366,0.06576074095209784
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,UPSPUYADGBWSHF,0.0,-1.8836563883457378,0.42420820891857147,0.10072651591670286,0.424208206750059,0.10072651531447102
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,VCKUSRYTPJJLNI,0.0,-1.8836563883457378,0.2974778264760971,0.06048356348685845,0.29747782705952786,0.06048356384045245
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,VSWPGAIWKHPTKX,0.0,-1.8836563883457378,0.22795504983514542,0.042961029314062774,0.22795504843489062,0.04296102947252074
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,WFPIAZLQTJBIFN,0.0,-1.8836563883457378,0.37830560654401785,0.08467934931514234,0.37830560585800105,0.084679348805362
NR-Aromatase,HEPG2,residualized,0,0,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad,WPVVMKYQOMJPIN,0.0,-1.8836563883457378,0.49164295196533203,0.12818667839496609,0.49164294987174767,0.12818667729613772
