task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AADCDMQTJNYOSS,1.0,-2.075493529871008,0.371432725340128,0.06903752109797343,0.3290645980850123,0.0690375207097371
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,ABJKWBDEJIDSJZ,0.0,-2.075493529871008,0.5395798310637474,0.12821410852707923,0.5129631230148176,0.12821410641056735
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AEOCXXJPGCBFJA,0.0,-2.075493529871008,0.42386427521705633,0.08452284961379793,0.31783375738064445,0.08452284845492745
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AGMMTXLNIQSRCG,0.0,-2.075493529871008,0.24771070852875707,0.039682529188476326,0.22858445715612027,0.03968252944815981
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AKNNEGZIBPJZJG,0.0,-2.075493529871008,0.40515297651290894,0.0787442022977612,0.399482737850948,0.0787442020327559
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,ANGKOCUUWGHLCE,0.0,-2.075493529871008,0.2914143018424511,0.0490781215502507,0.28912502061557227,0.049078121549903576
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AQCHWTWZEMGIFD,0.0,-2.075493529871008,0.25285546109080315,0.04074068702544209,0.21828316515995783,0.04074068656375826
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AUNGANRZJHBGPY,0.0,-2.075493529871008,0.28763857670128345,0.04822853088763999,0.2504568229445122,0.048228531164124004
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,AZFBLLCNOQPJGJ,0.0,-2.075493529871008,0.4514110013842582,0.09359877046922886,0.45830835726582303,0.09359877230797756
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BCEHBSKCWLPMDN,0.0,-2.075493529871008,0.8099431097507477,0.34845145810751915,0.811561518035789,0.34845145617520995
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BFPSDSIWYFKGBC,1.0,-2.075493529871008,0.6172149330377579,0.16829633744620315,0.6387298667655917,0.16829633583766493
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BGDKAVGWHJFAGW,1.0,-2.075493529871008,0.4308656603097916,0.0867631174018395,0.38572283489582204,0.08676311676831248
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BGRJTUBHPOOWDU,0.0,-2.075493529871008,0.21811512298882013,0.033823914037830374,0.20647465005421578,0.03382391469157617
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BJFIDCADFRDPIO,0.0,-2.075493529871008,0.20866307243704796,0.03203098069296684,0.3221596154463014,0.032030981534250734
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BLGXFZZNTVWLAY,0.0,-2.075493529871008,0.3420255742967129,0.0612391493815223,0.3256767768911515,0.06123914968503197
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BLJRIMJGRPQVNF,0.0,-2.075493529871008,0.26908089593052864,0.044159446085738026,0.227648713380565,0.04415944601865204
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BOVGTQGAOIONJV,0.0,-2.075493529871008,0.18488307762891054,0.02767659168301979,0.22679241964006278,0.027676592472974302
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BPLBGHOLXOTWMN,0.0,-2.075493529871008,0.21751307509839538,0.033708621781763086,0.2075850179930845,0.0337086222533435
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BWPIARFWQZKAIA,0.0,-2.075493529871008,0.42336950451135635,0.0843661833409153,0.412216302479353,0.08436618341970911
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,BXZVVICBKDXVGW,0.0,-2.075493529871008,0.27231169492006296,0.04485539029306516,0.28251961562117545,0.04485539049441184
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CBEQULMOCCWAQT,0.0,-2.075493529871008,0.5695386230945587,0.14239673428056057,0.5719100858031221,0.14239673529475852
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CFJMRBQWBDQYMK,0.0,-2.075493529871008,0.3337537683546543,0.059147650608134324,0.27356099159825176,0.05914764950957574
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CJXAEXPPLWQRFR,0.0,-2.075493529871008,0.5618649497628212,0.1386247964705385,0.5831629331585193,0.13862479783127465
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CNBGNNVCVSKAQZ,0.0,-2.075493529871008,0.3952495604753494,0.07580267357768386,0.4261146796959284,0.07580267303668757
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CTRLABGOLIVAIY,0.0,-2.075493529871008,0.2762613780796528,0.045713233185230844,0.2627877685984429,0.04571323255695874
NR-Aromatase,MCF7,residualized,0,0,13051168e6ef8f713d5858f13af0c227fb3616fa08ecbf3de30f0d08b3faad76,CWRVKFFCRWGWCS,0.0,-2.075493529871008,0.47697512432932854,0.10269262068412927,0.4421425106355232,0.1026926195651127
