task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,FELGMEQIXOGIFQ,0.0,-1.4735014410217817,0.505344957113266,0.18967538769103576,0.5053449491301854,0.1896753811811826
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,GQGRDYWMOPRROR,0.0,-1.4735014410217817,0.49240005761384964,0.1818440444486704,0.492400058105503,0.18184404509077778
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,HIFJCPQKFCZDDL,1.0,-1.4735014410217817,0.47656964138150215,0.1726028430005605,0.47656964149731873,0.17260284287594818
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ILNRQFBVVQUOLP,0.0,-1.4735014410217817,0.4652286767959595,0.166198625662521,0.4652286862492911,0.1661986321827656
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,IPVQLZZIHOAWMC,0.0,-1.4735014410217817,0.34106165915727615,0.10601881726466941,0.34106166204709953,0.10601881864616897
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,JGPJQFOROWSRRS,0.0,-1.4735014410217817,0.38630276918411255,0.12604590339082036,0.3863027618003055,0.12604589944157485
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,JLICHNCFTLFZJN,0.0,-1.4735014410217817,0.47973714768886566,0.17442327174620365,0.4797371617734974,0.17442328086294212
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,JUUFBMODXQKSTD,1.0,-1.4735014410217817,0.46027852594852453,0.16345769787237202,0.46027853057769114,0.16345770104756605
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,KBDSLGBFQAGHBE,1.0,-1.4735014410217817,0.5999425798654556,0.25573115989903067,0.5999425751646158,0.2557311561297692
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,KMPWYEUPVWOPIM,0.0,-1.4735014410217817,0.5260951593518256,0.20277727629046224,0.5260951593905394,0.20277727645565735
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,LCFVJGUPQDGYKZ,0.0,-1.4735014410217817,0.6420830339193344,0.29129872238017124,0.6420830363842456,0.29129872487533914
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,LKBFFDOJUKLQNY,0.0,-1.4735014410217817,0.4177143573760987,0.1411629002858544,0.417714358900007,0.14116290146819255
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,LOUPRKONTZGTKE,0.0,-1.4735014410217817,0.4869459420442581,0.1786193642094304,0.4869459474913216,0.17861936790442792
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,LUKBXSAWLPMMSZ,1.0,-1.4735014410217817,0.6878138929605484,0.33546216165891557,0.687813895250718,0.3354621648092564
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,MKUXAQIIEYXACX,0.0,-1.4735014410217817,0.21323291957378393,0.05846690674596113,0.21323291490095103,0.058466904609873686
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,NDTSRXAMMQDVSW,0.0,-1.4735014410217817,0.28593477979302406,0.08403752273011555,0.28593478980739284,0.08403752719703217
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,NOSIYYJFMPDDSA,0.0,-1.4735014410217817,0.481708787381649,0.17556355296151058,0.48170878757075763,0.17556355320049094
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,OCJYIGYOJCODJL,0.0,-1.4735014410217817,0.552686519920826,0.22063493372823287,0.5526865254089701,0.2206349379513584
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,OFBIFZUFASYYRE,0.0,-1.4735014410217817,0.3751413598656654,0.12092241951341719,0.3751413641610215,0.12092242199776404
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,OPNUROKCUBTKLF,0.0,-1.4735014410217817,0.5865955650806427,0.24534557172814306,0.5865955635020259,0.24534557057828232
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,OVCDSSHSILBFBN,0.0,-1.4735014410217817,0.5266190990805626,0.2031172301805392,0.5266190833857358,0.20311721776506916
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,PBKZPPIHUVSDNM,0.0,-1.4735014410217817,0.7420055419206619,0.3972150127844714,0.7420055395576528,0.39721500919763125
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,PLDUPXSUYLZYBN,0.0,-1.4735014410217817,0.421032078564167,0.14282285842330622,0.4210320641778048,0.14282285110519632
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,POZRVZJJTULAOH,1.0,-1.4735014410217817,0.7816208451986313,0.4505708576104441,0.7816208477703831,0.45057086244339334
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,PZRHRDRVRGEVNW,0.0,-1.4735014410217817,0.34467421472072596,0.10754811534896691,0.3446742212405435,0.10754811850206603
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,QPGGEKPRGVJKQB,0.0,-1.4735014410217817,0.46293366700410843,0.1649238209482162,0.462933670255698,0.1649238233922753
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,QYIYFLOTGYLRGG,0.0,-1.4735014410217817,0.3457813896238804,0.10801913918387049,0.34578138282632526,0.10801913577303907
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RCKMWOKWVGPNJF,0.0,-1.4735014410217817,0.131514435634017,0.03353239534977519,0.1315144381054525,0.033532396155291154
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RGCVKNLCSQQDEP,0.0,-1.4735014410217817,0.45330056548118597,0.15964857056619525,0.4533005647955064,0.1596485716324224
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RMEDXOLNCUSCGS,0.0,-1.4735014410217817,0.36410708725452423,0.11597777827341152,0.3641070911107846,0.11597778009062376
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RONZAEMNMFQXRA,0.0,-1.4735014410217817,0.4119546040892601,0.13831066785631072,0.41195460666776856,0.138310669194439
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,RXPRRQLKFXBCSJ,0.0,-1.4735014410217817,0.4444964230060577,0.1549315162068355,0.44449643063857824,0.1549315207938564
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,SKYSRIRYMSLOIN,0.0,-1.4735014410217817,0.40242603421211237,0.13367273609790994,0.4024260348054488,0.1336727363853148
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,SWLMUYACZKCSHZ,0.0,-1.4735014410217817,0.5842188522219659,0.2435369861254772,0.58421885525835,0.2435369893488687
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,TVYLLZQTGLZFBW,0.0,-1.4735014410217817,0.5067128837108612,0.1905179330630916,0.5067128825790886,0.19051793233357636
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,UFLGIAIHIAPJJC,0.0,-1.4735014410217817,0.44902961701154714,0.1573480661429893,0.4490296310441134,0.15734807506645745
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,UJEWTUDSLQGTOA,0.0,-1.4735014410217817,0.314012099057436,0.09492506811199834,0.3140120938382418,0.09492506557762354
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,UOACKFBJUYNSLK,1.0,-1.4735014410217817,0.7654017060995102,0.42776511357412306,0.7654017031925034,0.4277651082849667
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,UPSPUYADGBWSHF,0.0,-1.4735014410217817,0.4540699869394303,0.16006548940786255,0.4540699853982221,0.16006548829978323
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,UZHSEJADLWPNLE,0.0,-1.4735014410217817,0.5063912868499756,0.19031959022205816,0.506391298173602,0.1903195984667122
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,VHGCDTVCOLNTBX,0.0,-1.4735014410217817,0.6043214946985244,0.25922565099091316,0.6043214879651504,0.2592256447829046
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,VRQVVMDWGGWHTJ,0.0,-1.4735014410217817,0.4366683438420295,0.15081847472302065,0.4366683450081458,0.1508184759595036
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,VZYCZNZBPPHOFY,0.0,-1.4735014410217817,0.2722383104264736,0.07894289735921216,0.2722383120066062,0.07894289833264052
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,WIGIZIANZCJQQY,0.0,-1.4735014410217817,0.29799875244498253,0.08864060136830233,0.2979987555971336,0.08864060287406936
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,WJFKNYWRSNBZNX,1.0,-1.4735014410217817,0.5875460207462311,0.24607222219891423,0.5875460190231602,0.24607222050728153
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,WPVVMKYQOMJPIN,0.0,-1.4735014410217817,0.43340396136045456,0.14912532275829957,0.4334039612102822,0.14912532242008839
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XAUDJQYHKZQPEU,0.0,-1.4735014410217817,0.21653147414326668,0.05955256342928864,0.21653147383946436,0.059552563300328876
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XCTYLCDETUVOIP,0.0,-1.4735014410217817,0.37892162054777145,0.12264374577380859,0.378921599258243,0.12264373452777494
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XKFPYPQQHFEXRZ,1.0,-1.4735014410217817,0.40491687506437307,0.13487556455027624,0.4049168682850517,0.13487556102602977
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XPCTZQVDEJYUGT,0.0,-1.4735014410217817,0.3711443431675434,0.11911767901293681,0.37114434083561715,0.11911767779940609
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XUKUURHRXDUEBC,1.0,-1.4735014410217817,0.533761516213417,0.20779806323842245,0.5337615124768695,0.20779806077979998
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,XWVOEFLBOSSYGM,0.0,-1.4735014410217817,0.3109036348760128,0.09368918440603885,0.31090363782343033,0.09368918577895746
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,YDDXVAXDYKBWDX,0.0,-1.4735014410217817,0.2233692891895771,0.061824343978163235,0.2233692951252368,0.06182434643843189
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,YECBIJXISLIIDS,0.0,-1.4735014410217817,0.4230496361851692,0.14383846555515256,0.4230496519041851,0.14383847487575063
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,YNNUSGIPVFPVBX,0.0,-1.4735014410217817,0.5910867750644684,0.24879644718644234,0.5910867720934616,0.24879644557415775
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,YSGASDXSLKIKOD,0.0,-1.4735014410217817,0.5305999442934989,0.20571534587409207,0.5305999559039091,0.2057153545989098
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ZEWQUBUPAILYHI,0.0,-1.4735014410217817,0.3880622237920761,0.12686503389181789,0.3880622251748018,0.1268650355719913
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ZGUGWUXLJSTTMA,0.0,-1.4735014410217817,0.5342416763305664,0.20811588331526176,0.5342416779287501,0.2081158856833133
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ZGVSETXHNHBTRK,0.0,-1.4735014410217817,0.6028368026018143,0.2580358886190267,0.6028368163520107,0.2580359019709469
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ZMEULISFKSVRLQ,1.0,-1.4735014410217817,0.7108604907989502,0.36032944491945057,0.7108605011282764,0.36032945886228673
NR-ER,HEPG2,residualized,0,0,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ZYGHJZDHTFUPRJ,1.0,-1.4735014410217817,0.5549080669879913,0.22218474087428855,0.5549080695093392,0.2221847425445533
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,AFJYYKSVHJGXSN,0.0,-1.357800820157264,0.5378833264112473,0.23041372846449948,0.5378833297042342,0.2304137306145886
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,AKNNEGZIBPJZJG,0.0,-1.357800820157264,0.32798057422041893,0.11153729165218455,0.3279805761730665,0.11153729251973754
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,AQCHWTWZEMGIFD,0.0,-1.357800820157264,0.40481608361005783,0.1489020605076376,0.4048160855476206,0.14890206172670412
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,ATCGGEJZONJOCL,0.0,-1.357800820157264,0.48404872417449946,0.19440655671198698,0.4840487189562317,0.19440655267154053
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BAFKRPOFIYPKBQ,0.0,-1.357800820157264,0.6280329003930092,0.3027970692934632,0.6280329023772842,0.3027970709339275
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BEZZFPOZAYTVHN,0.0,-1.357800820157264,0.514056846499443,0.21390282172569147,0.5140568518819619,0.21390282581490447
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BHQCQFFYRZLCQQ,0.0,-1.357800820157264,0.718342587351799,0.3961469351596146,0.7183425880299495,0.39614693571221204
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BLGXFZZNTVWLAY,0.0,-1.357800820157264,0.4544142633676529,0.17644058182216996,0.4544142536995605,0.1764405745012027
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BNRNXUUZRGQAQC,0.0,-1.357800820157264,0.2715693302452564,0.08750586758479968,0.27156933150119367,0.08750586815788204
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,BTFMCMVEUCGQDX,0.0,-1.357800820157264,0.41348940879106516,0.15350649553198698,0.4134893914299858,0.153506484030869
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,CBPJQFCAFFNICX,1.0,-1.357800820157264,0.5446961224079132,0.23531520311581897,0.5446961286836535,0.23531520840450043
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,CBQGYUDMJHNJBX,0.0,-1.357800820157264,0.49125985801219946,0.19896671523400775,0.4912598615097787,0.19896671801119353
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,CPZBLNMUGSZIPR,0.0,-1.357800820157264,0.473428264260292,0.18782761823126004,0.4734282646771541,0.18782761842096424
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DEQITUUQPICUMR,0.0,-1.357800820157264,0.4810684397816658,0.19254409107061224,0.48106843326949156,0.19254408645718263
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DFPAKSUCGFBDDF,0.0,-1.357800820157264,0.22671971283853057,0.07012779839236508,0.22671970758421364,0.07012779588270412
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DKLKMKYDWHYZTD,0.0,-1.357800820157264,0.5231931582093239,0.22012096949960158,0.5231931582042151,0.220120969221949
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DKYWVDODHFEZIM,0.0,-1.357800820157264,0.6197430789470673,0.2953910390186619,0.6197430866079534,0.2953910468357826
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DUEPRVBVGDRKAG,1.0,-1.357800820157264,0.3667786344885826,0.1296719511843127,0.3667786326408537,0.12967195015651647
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,DXGLGDHPHMLXJC,1.0,-1.357800820157264,0.6440545767545699,0.3176061772914857,0.6440545918757783,0.31760619402288043
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,FEZBIKUBAYAZIU,0.0,-1.357800820157264,0.36605834960937506,0.12932220378204978,0.3660583492970363,0.12932220352578105
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,FFGPTBGBLSHEPO,0.0,-1.357800820157264,0.5772268548607826,0.2599167671026255,0.5772268538259641,0.2599167660633861
NR-ER,HEPG2,residualized,0,1,7053e749443291bd41735ebd645b1db4eb967a13749e4021db9025ecba17abd3,FKNXQNWAXFXVNW,0.0,-1.357800820157264,0.4012513756752014,0.14703415883023602,0.40125137883551326,0.1470341608821055
