task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,CDOZDBSBBXSXLB,0.0,-1.4850795663377738,0.5239037796854973,0.1995049177363243,0.523903772996178,0.19950491531778788
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,FJLGEFLZQAZZCD,0.0,-1.4850795663377738,0.5659672766923904,0.22799572031349324,0.5659672644350928,0.22799571387267212
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,FKNXQNWAXFXVNW,0.0,-1.4850795663377738,0.4012513756752014,0.1317774781878465,0.4012513761102976,0.13177747821672983
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,HCRKCZRJWPKOAR,0.0,-1.4850795663377738,0.2603938728570938,0.07384987891812882,0.260393879425311,0.07384988063588414
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,IAIWVQXQOWNYOU,0.0,-1.4850795663377738,0.2564120292663574,0.0724411990163146,0.2564120722878757,0.07244121166122162
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,IIBYAHWJQTYFKB,0.0,-1.4850795663377738,0.4975734427571296,0.18320448066052483,0.4975734264415902,0.18320447314305005
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,IMWZZHHPURKASS,0.0,-1.4850795663377738,0.43602393567562103,0.14900907713633457,0.4360239323022021,0.14900907578164005
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,IRSCQMHQWWYFCW,0.0,-1.4850795663377738,0.2599989846348763,0.07370969183099772,0.2599990000309546,0.07370969572744103
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,IXORZMNAPKEEDV,0.0,-1.4850795663377738,0.5399397686123848,0.20999104542650135,0.5399397734782708,0.20999104805962526
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,JBKPUQTUERUYQE,0.0,-1.4850795663377738,0.28644011262804275,0.08333935463738826,0.2864401112934348,0.08333935421729834
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,JJCFRYNCJDLXIK,0.0,-1.4850795663377738,0.6045664772391319,0.25720424441913464,0.6045664496146903,0.25720422779113583
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,JNTOCHDNEULJHD,0.0,-1.4850795663377738,0.2463757023215294,0.06893815436970496,0.2463757211237538,0.06893815971396917
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,JQXXHWHPUNPDRT,0.0,-1.4850795663377738,0.4005058817565441,0.1314227527895281,0.400505889717624,0.13142275590482141
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,JTLXCMOFVBXEKD,0.0,-1.4850795663377738,0.362909160554409,0.11427089414354621,0.36290915486825676,0.11427089251393427
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,KEDQCFRVSHYKLR,0.0,-1.4850795663377738,0.35310715436935425,0.11002471546702297,0.353107137186126,0.11002470980375681
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,KJHKTHWMRKYKJE,0.0,-1.4850795663377738,0.45270927250385284,0.1577839892538746,0.4527092684302555,0.15778398775113503
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,KNAHARQHSZJURB,1.0,-1.4850795663377738,0.22148175165057182,0.060532557865480174,0.2214817605204812,0.060532560146607586
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,KYRVNWMVYQXFEU,0.0,-1.4850795663377738,0.4855947047472001,0.17614069380430633,0.4855946924513245,0.17614068905993405
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,LEZWWPYKPKIXLL,0.0,-1.4850795663377738,0.5897227823734283,0.2455923040857399,0.5897227755599435,0.24559230044160238
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,LNEPOXFFQSENCJ,0.0,-1.4850795663377738,0.5356583669781685,0.20714792028756532,0.5356583526995372,0.2071479137563105
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,LWQQLNNNIPYSNX,0.0,-1.4850795663377738,0.7122407704591751,0.3592115977087819,0.7122407738834572,0.35921160063370716
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MINDHVHHQZYEEK,0.0,-1.4850795663377738,0.38350140303373337,0.12348952356445726,0.38350140566864277,0.12348952451531496
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MKUXAQIIEYXACX,0.0,-1.4850795663377738,0.21323291957378393,0.05783279672904991,0.2132329398699078,0.05783280200669701
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MLYYVTUWGNIJIB,0.0,-1.4850795663377738,0.25647179037332535,0.07246226103560206,0.25647179684454463,0.0724622628841623
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,MXXWOMGUGJBKIW,1.0,-1.4850795663377738,0.4041630923748016,0.13316865068578213,0.4041630903856989,0.13316865002391048
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,NFDFQCUYFHCNBW,1.0,-1.4850795663377738,0.7039587646722794,0.3500411036391964,0.70395876248366,0.35004110262503024
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,NLPRAJRHRHZCQQ,0.0,-1.4850795663377738,0.5364736020565033,0.20768680759883723,0.5364735943041186,0.20768680402444595
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,NOSIYYJFMPDDSA,0.0,-1.4850795663377738,0.481708787381649,0.17389401367058796,0.4817087850195272,0.1738940131568255
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,NQDJXKOVJZTUJA,0.0,-1.4850795663377738,0.4959796741604805,0.1822523963833347,0.4959796831569918,0.18225240038142723
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,NZZIMKJIVMHWJC,1.0,-1.4850795663377738,0.6117173358798027,0.26297887487708405,0.611717323049865,0.26297886687996486
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,OGAKLTJNUQRZJU,0.0,-1.4850795663377738,0.5316606983542441,0.204522087921146,0.5316607006209841,0.2045220895038681
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,OPQRBXUBWHDHPQ,0.0,-1.4850795663377738,0.34407227486371994,0.10618856156745535,0.34407227615709396,0.10618856266333138
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,OUDSBRTVNLOZBN,1.0,-1.4850795663377738,0.2430632337927818,0.0677966841628116,0.24306324243323232,0.06779668653247016
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,OZGNYLLQHRPOBR,0.0,-1.4850795663377738,0.5752906203269958,0.23476295438672426,0.575290613796083,0.23476295069419978
NR-ER,HT29,residualized,0,0,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386,PCTRYMLLRKWXGF,0.0,-1.4850795663377738,0.35648274421691895,0.11147696719726191,0.35648273831980626,0.1114769652565757
