task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,FNYLWPVRPXGIIP,1.0,-1.5089193366306741,0.4547850713133812,0.15573974654603745,0.45478507227206644,0.15573974722195402
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,GJPICJJJRGTNOD,0.0,-1.5089193366306741,0.3811343163251877,0.11987063874249633,0.38113431941305853,0.11987063982626528
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,GZSOSUNBTXMUFQ,0.0,-1.5089193366306741,0.527743473649025,0.19816047019658034,0.5277434797017275,0.198160473634071
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,HHJUWIANJFBDHT,0.0,-1.5089193366306741,0.4737011417746544,0.16600466211408305,0.4737011557054652,0.16600467011306916
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IFFPICMESYHZPQ,0.0,-1.5089193366306741,0.6254001408815383,0.2696525541568245,0.6254001603338929,0.26965256952184957
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,INWLQCZOYSRPNW,0.0,-1.5089193366306741,0.378153532743454,0.1185417648173491,0.3781535245841765,0.11854176096264496
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IRYJRGCIQBGHIV,0.0,-1.5089193366306741,0.20065037067979577,0.05259259749198109,0.20065037569150015,0.052592598794464505
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IWVRVEIKCBFZNF,0.0,-1.5089193366306741,0.5341269746422768,0.20226481901635834,0.5341269724577739,0.2022648177368506
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,IXORZMNAPKEEDV,0.0,-1.5089193366306741,0.5399397686123848,0.20606349147807168,0.5399397628616825,0.20606348859003906
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JFJZZMVDLULRGK,0.0,-1.5089193366306741,0.4565366283059121,0.15667052117988817,0.45653662910230935,0.15667052203115128
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JLGKQTAYUIMGRK,0.0,-1.5089193366306741,0.5331989452242851,0.20166379534303908,0.5331989404855012,0.2016637930901502
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JQXXHWHPUNPDRT,0.0,-1.5089193366306741,0.4005058817565441,0.1287252537644357,0.4005058838791977,0.12872525476442306
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JTLXCMOFVBXEKD,0.0,-1.5089193366306741,0.362909160554409,0.11188009638938934,0.3629091638193821,0.11188009779458254
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JYJFNDQBESEHJQ,1.0,-1.5089193366306741,0.17861623410135508,0.04588393746870502,0.1786162201778642,0.045883933238329115
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,JZRWCGZRTZMZEH,0.0,-1.5089193366306741,0.33983202278614044,0.10220490380072009,0.33983202615211777,0.10220490511922821
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KJADKKWYZYXHBB,0.0,-1.5089193366306741,0.29494937136769295,0.08468070171337275,0.29494936809522543,0.0846807005962256
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KLSJWNVTNUYHDU,1.0,-1.5089193366306741,0.13846978917717934,0.03432420781677593,0.13846979185983663,0.03432420855993867
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KTHVBAZBLKXIHZ,0.0,-1.5089193366306741,0.5281302258372307,0.1984071642040962,0.5281302181257592,0.19840715958018945
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,KXNPVXPOPUZYGB,0.0,-1.5089193366306741,0.3028885088860988,0.08766376851295847,0.30288851602893785,0.08766377102428027
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LBXHRAWDUMTPSE,0.0,-1.5089193366306741,0.2898326590657234,0.08278338781733947,0.2898326753640833,0.08278339330249135
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LEBVLXFERQHONN,0.0,-1.5089193366306741,0.464448519051075,0.16092446525737986,0.46444851503020906,0.16092446291472762
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LKJPYSCBVHEWIU,0.0,-1.5089193366306741,0.41242036968469614,0.13436679046418112,0.41242037023469774,0.13436679110403718
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LQOLIRLGBULYKD,0.0,-1.5089193366306741,0.388839527964592,0.1233467361251274,0.3888395251130184,0.12334673478978489
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,LWQQLNNNIPYSNX,0.0,-1.5089193366306741,0.7122407704591751,0.3537428063997597,0.7122407698247665,0.3537428057251234
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MKJIEFSOBYUXJB,0.0,-1.5089193366306741,0.45279175043106074,0.15468527156515752,0.45279175084335677,0.15468527206061852
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MQJKPEGWNLWLTK,0.0,-1.5089193366306741,0.5363442450761795,0.20370684084611576,0.5363442438078976,0.20370683991816219
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,MWLSOWXNZPKENC,0.0,-1.5089193366306741,0.43385912477970123,0.14491637789596057,0.43385912238736046,0.1449163767215347
NR-ER,MCF7,residualized,0,0,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802,NBQNWMBBSKPBAY,0.0,-1.5089193366306741,0.3599814772605896,0.11062588442869482,0.3599814778021894,0.11062588405735928
