task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,AELCINSCMGFISI,0.0,-2.042902169508459,0.15534905550293804,0.023290332685507016,0.1553490541024516,0.023290332426893122
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,AFNXATANNDIXLG,0.0,-2.042902169508459,0.18906135623167977,0.029340043076827943,0.1890613566130116,0.02934004320460769
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,AGOYDEPGAOXOCK,0.0,-2.042902169508459,0.17670052884431844,0.02707316655263145,0.17670052958681218,0.02707316675360223
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,ANMLJLFWUCQGKZ,0.0,-2.042902169508459,0.19859227038589758,0.031128198751056598,0.19859227124069295,0.03112819888991039
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,AQCHWTWZEMGIFD,0.0,-2.042902169508459,0.1450133971016352,0.021516963272182513,0.1450133957366626,0.021516963032995925
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,ASUTZQLVASHGKV,0.0,-2.042902169508459,0.1455108525365966,0.02160147875338346,0.14551085351288506,0.021601478927791323
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,AXRCEOKUDYDWLF,0.0,-2.042902169508459,0.15400530685089,0.023057691610594313,0.1540053078811245,0.023057691788422846
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BAWFJGJZGIEFAR,0.0,-2.042902169508459,0.18578908283549747,0.028734271763662958,0.18578908379905648,0.02873427197038854
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BEZZFPOZAYTVHN,0.0,-2.042902169508459,0.15357117831999248,0.022982665869427946,0.1535711782809082,0.02298266589261838
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BFPYWIDHMRZLRN,0.0,-2.042902169508459,0.17147148492267486,0.026131458307663745,0.17147148547375202,0.026131458413033364
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BFYIZQONLCFLEV,0.0,-2.042902169508459,0.17654184603409667,0.027044440062994612,0.17654184782335416,0.027044440424709073
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BHQCQFFYRZLCQQ,0.0,-2.042902169508459,0.16201839114835828,0.024454358884110385,0.16201839014417757,0.024454358718880118
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BKYKPTRYDKTTJY,0.0,-2.042902169508459,0.20211092492286015,0.031797454300685084,0.20211092521180357,0.03179745439282572
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BOVGTQGAOIONJV,0.0,-2.042902169508459,0.13312240040564807,0.019521372619684296,0.1331224020277872,0.019521372824795404
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BPFYOAJNDMUVBL,0.0,-2.042902169508459,0.4356886547656502,0.09099215706207658,0.43568865363983184,0.09099215677318455
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BPZSYCZIITTYBL,0.0,-2.042902169508459,0.20415888702626148,0.0321892760483065,0.204158885106602,0.03218927578485634
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BVPWJMCABCPUQY,0.0,-2.042902169508459,0.14607221902215356,0.02169695313220579,0.14607221814351853,0.021696952946777984
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BWPIARFWQZKAIA,0.0,-2.042902169508459,0.1767803093418265,0.02708761282933396,0.1767803096747809,0.02708761288549081
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,BYJAVTDNIXVSPW,0.0,-2.042902169508459,0.15841959555429563,0.02382429944191853,0.1584195955621606,0.023824299451714468
NR-PPAR-gamma,MCF7,residualized,0,0,a9b4f89eeaef1fd79af73203238d061e4ca512c489754b24522211fe2a0e3d2d,CBEQULMOCCWAQT,0.0,-2.042902169508459,0.16715427287469004,0.025361523225114407,0.16715427474191194,0.025361523550474475
