task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,AQHHHDLHHXJYJD,0.0,-0.8095656054471774,0.3127394933253527,0.16841414299314794,0.27786884947122026,0.14442290656968185
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,AXKPFOAXAHJUAG,0.0,-0.8095656054471774,0.32137827202677727,0.17407602083315432,0.2807182874231165,0.14485240067685443
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BCEHBSKCWLPMDN,0.0,-0.8095656054471774,0.4208029210567474,0.24433760736241603,0.45422944908892815,0.27173163682247775
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BFYIZQONLCFLEV,1.0,-0.8095656054471774,0.6952652633190155,0.5038214652763361,0.6984886137082534,0.5048078524630126
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BKRGVLQUQGGVSM,0.0,-0.8095656054471774,0.45599472522735596,0.2716943067043309,0.5034183627223627,0.31527806114911716
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BLJRIMJGRPQVNF,0.0,-0.8095656054471774,0.19276926666498184,0.096069448371539,0.21159531446080795,0.10379989119775829
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BNRNXUUZRGQAQC,0.0,-0.8095656054471774,0.3400585614144802,0.18654792065265494,0.28196003715174783,0.14729372887303388
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BPEGJWRSRHCHSN,0.0,-0.8095656054471774,0.11880076711531729,0.056604266521806425,0.12321413400173442,0.05805948882207131
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BPICBUSOMSTKRF,0.0,-0.8095656054471774,0.3014974817633629,0.16114372398200819,0.27064661644750204,0.13949273212624744
SR-ARE,HEPG2,residualized,0,0,6bd71bf99b006569121a4e033cd83fb50f6649d46205144d0fba0610b0e0573d,BYPFEZZEUUWMEJ,0.0,-0.8095656054471774,0.1789260022342205,0.0884098972512014,0.17388423682680929,0.08297903704077154
