task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,DRZXDZYWZSKFDL,1.0,-1.048733769395857,0.35687781870365143,0.16278167206778438,0.5601658205885984,0.17437517557209234
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GAGWJHPBXLXJQN,0.0,-1.048733769395857,0.24990231543779373,0.10453070186763845,0.3847614253647397,0.11100711906045571
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,GKTWGGQPFAXNFI,0.0,-1.048733769395857,0.4413974136114121,0.21683165246938552,0.24268842650396055,0.20740909604800198
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,HCFDWZZGGLSKEP,0.0,-1.048733769395857,0.24441842548549175,0.10180390918902481,0.1450394088149318,0.10188587177066236
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,IVTVGDXNLFLDRM,0.0,-1.048733769395857,0.4597581550478935,0.2296921920495414,0.682937571070912,0.2368069129891331
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,JXLYSJRDGCGARV,1.0,-1.048733769395857,0.49012701213359827,0.2519515663471995,0.9756309953659243,0.2871533375743008
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KGFYHTZWPPHNLQ,0.0,-1.048733769395857,0.44379701465368276,0.21848793457254673,0.3688190670002802,0.21612960384365443
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KJHKTHWMRKYKJE,1.0,-1.048733769395857,0.26596760004758835,0.11265413685722392,0.47802249368269645,0.12056944925963108
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KTHVBAZBLKXIHZ,0.0,-1.048733769395857,0.3145699985325337,0.13852758886614958,0.2555793849861481,0.14418354422896515
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,KZNIFHPLKGYRTM,1.0,-1.048733769395857,0.6411440223455429,0.3849948260309932,0.8140014890232731,0.3993661790570983
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,LKJPYSCBVHEWIU,1.0,-1.048733769395857,0.3963712155818939,0.187042647661184,0.2879154285836055,0.18493953242729091
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,LSNWBKACGXCGAJ,0.0,-1.048733769395857,0.33519047126173973,0.150135921120626,0.15821358010394057,0.14882675157210346
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MFYSYFVPBJMHGN,0.0,-1.048733769395857,0.2725837789475918,0.11605951773052853,0.11037039650353635,0.10292571157824686
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MNJNPLVXBISNSX,0.0,-1.048733769395857,0.4070128500461578,0.19386928850172394,0.20700735812710072,0.1948656878003042
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,MWLSOWXNZPKENC,0.0,-1.048733769395857,0.4571297708898783,0.22782441225204242,0.5562130563173523,0.22664240486921217
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,NDTSRXAMMQDVSW,0.0,-1.048733769395857,0.408174566924572,0.1946223096361958,0.4001152047331404,0.19722533887100677
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,NPUKDXXFDDZOKR,0.0,-1.048733769395857,0.32054290082305664,0.14184963558495461,0.4226282647353722,0.1517802338614775
SR-ARE,HT29,residualized,0,0,b205d462d1201086791f21140d718bdee3364fc661d184543b09764372300398,NUHPODZZKHQQET,0.0,-1.048733769395857,0.3408462908118963,0.1533896798885153,0.20455222508987841,0.14175343591414627
