task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,BZEWSEKUUPWQDQ,1.0,-1.0847419887467606,0.40221323072910314,0.18527736866914235,0.402213234364087,0.1852773712418343
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,HBOMLICNUCNMMY,0.0,-1.0847419887467606,0.15713864564895627,0.059277635639011166,0.15713864416364481,0.059277634912519535
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,IAIWVQXQOWNYOU,1.0,-1.0847419887467606,0.6611430421471596,0.3973905317019274,0.6611430430995675,0.3973905329102618
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,JYJTVFIEFKZWCJ,0.0,-1.0847419887467606,0.4727514386177063,0.2325720857652486,0.4727514379306284,0.2325720826060406
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,KYRVNWMVYQXFEU,1.0,-1.0847419887467606,0.6221066564321518,0.35749747827892125,0.6221066559453047,0.3574974785875099
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,MBUVEWMHONZEQD,0.0,-1.0847419887467606,0.6559343039989471,0.391856787268525,0.6559343033436076,0.3918567878900425
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NBQNWMBBSKPBAY,0.0,-1.0847419887467606,0.2837020456790924,0.11806181201360254,0.28370204603399635,0.118061811485188
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NQDJXKOVJZTUJA,0.0,-1.0847419887467606,0.3429704289883376,0.14997122177612784,0.3429704281039002,0.1499712211161206
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,NZLVRVYNQYGMAB,0.0,-1.0847419887467606,0.6571096181869507,0.3930995355601524,0.6571096163717016,0.3930995336013496
SR-ARE,MCF7,residualized,0,0,42e7bea40d0e2b87e1d4a1e0f85be8b321a6261a09566be74ec56c98a417f346,ODKNJVUHOIMIIZ,1.0,-1.0847419887467606,0.133151838555932,0.04935433960957048,0.13315184080030057,0.04935434053411762
