task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HJMQDJPMQIHLPB,0.0,-2.25768654265423,0.3621358116740457,0.05605192740916352,0.3621358044777599,0.03729248615679019
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HLFSDGLLUJUHTE,0.0,-2.25768654265423,0.351045898554079,0.05354851965197504,0.3510458956088865,0.0420721883189474
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,HSUGRBWQSSZJOP,0.0,-2.25768654265423,0.37952831912218704,0.06012973958004469,0.3795283195288833,0.054896588004324905
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,IIBYAHWJQTYFKB,0.0,-2.25768654265423,0.34694930049682005,0.052642006424306616,0.3469492994991345,0.0594067502143841
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,INDBQLZJXZLFIT,0.0,-2.25768654265423,0.3722324106309662,0.05839595978536652,0.37223241402712687,0.0799865804814619
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,IVTVGDXNLFLDRM,0.0,-2.25768654265423,0.33514469246521805,0.05008296967621501,0.33514468643745876,0.03624360287616899
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JGPJQFOROWSRRS,0.0,-2.25768654265423,0.3472274600763168,0.05270325339424571,0.3472274553595071,0.0411340087219941
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JQXXHWHPUNPDRT,0.0,-2.25768654265423,0.3416419251581436,0.051481814829563176,0.341641922736148,0.043025210260643626
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,JUUFBMODXQKSTD,0.0,-2.25768654265423,0.3663565622285015,0.05702414705553153,0.36635656722817006,0.07144568341923715
SR-HSE,HEPG2,residualized,0,0,d01187b214f15b073cdb996a14b76f51479e11a16174208a588b99ed7c919869,KEDQCFRVSHYKLR,0.0,-2.25768654265423,0.3543938890118217,0.054296611788824646,0.35439387906513165,0.03529594352376688
