task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,ANMLJLFWUCQGKZ,0.0,-2.203304729037759,0.37079724410498427,0.06110540602500443,0.274993480136859,0.061105405564545974
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,GMHKMTDVRCWUDX,0.0,-2.203304729037759,0.32739597582756425,0.05101413572181762,0.21547802077171024,0.05101413496757116
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,GUDVQJXODNJRIJ,0.0,-2.203304729037759,0.3638901711376492,0.05942234551070784,0.0909189263091663,0.05942234469929007
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HBPDKDSFLXWOAE,0.0,-2.203304729037759,0.35048200449214006,0.05624094161165081,0.1540140049689354,0.056240940673701695
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HDOVUKNUBWVHOX,0.0,-2.203304729037759,0.3240535848234543,0.050282395935753725,0.13946736060970052,0.05028239739181867
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HOGVTUZUJGHKPL,0.0,-2.203304729037759,0.38924017798772814,0.06575445074268828,0.03265355242563576,0.0657544502442396
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HSHGZXNAXBPPDL,0.0,-2.203304729037759,0.3412257301252324,0.054108250852273755,0.05192961591222267,0.0541082501896092
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,HXHWSAZORRCQMX,1.0,-2.203304729037759,0.36811703115983274,0.060448661739610166,0.07118796519080203,0.06044866093094452
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,IKGXIBQEEMLURG,0.0,-2.203304729037759,0.3688921086188057,0.06063810327975713,0.09187972401804947,0.0606381029729107
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,IPOKCKJONYRRHP,0.0,-2.203304729037759,0.33791252609122846,0.05335707654394281,0.28752430181862354,0.05335707597326468
SR-HSE,HT29,residualized,0,0,63f2cea2dcb59334e6e044c7d4c2735e85ec9fad9d98278aef7b017b8f3e3143,IVBHGBMCVLDMKU,0.0,-2.203304729037759,0.30066776432935943,0.04532878348432685,0.339966842719566,0.045328784079806055
