task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,GMRQFYUYWCNGIN,1.0,-1.1408189327288836,0.6880500482232126,0.4134308930524807,0.812136635768823,0.46628423505878225
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,HKXBNHCUPKIYDM,0.0,-1.1408189327288836,0.7198391058185402,0.4508702198541049,0.750974341729077,0.4681775619004126
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,HPJKCIUCZWXJDR,0.0,-1.1408189327288836,0.7283416201327513,0.46142827507738327,0.6285144478873608,0.3598518999420012
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,IPEHBUMCGVEMRF,0.0,-1.1408189327288836,0.11859893910555848,0.041226083490910136,0.09984549817208314,0.040774147902388105
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,IVQOFBKHQCTVQV,0.0,-1.1408189327288836,0.3616994201737091,0.15331751815533978,0.21184456343574296,0.12333176010128022
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JIVZKJJQOZQXQB,0.0,-1.1408189327288836,0.2383299056231139,0.09090153063506642,0.15219119411476584,0.07165572403348897
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JSDRRTOADPPCHY,0.0,-1.1408189327288836,0.22443936617448257,0.08464859638303532,0.19120597474747847,0.0892568933132014
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JWBOIMRXGHLCPP,1.0,-1.1408189327288836,0.9186230242685226,0.7829539814044378,0.9313931828896597,0.8031858439690128
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,JWUBBDSIWDLEOM,1.0,-1.1408189327288836,0.7191293668858822,0.44999971474339245,0.8392043788868128,0.5031321864855692
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KBAFPSLPKGSANY,0.0,-1.1408189327288836,0.39605638987284353,0.17325337290887516,0.3555104015033223,0.18120777212855113
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KHOITXIGCFIULA,1.0,-1.1408189327288836,0.772552226694172,0.520478546897414,0.848958762558108,0.5633062778443112
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KLSJWNVTNUYHDU,0.0,-1.1408189327288836,0.08563248090779688,0.029057606129830472,0.05207607852879322,0.027810789963586383
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KVWDHTXUZHCGIO,0.0,-1.1408189327288836,0.5950299675724255,0.31951093960178195,0.5159616518062211,0.3099881179716266
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,KYRVNWMVYQXFEU,1.0,-1.1408189327288836,0.35441557956351266,0.14924883460531352,0.6464446051603104,0.22085390963182586
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,LOUPRKONTZGTKE,0.0,-1.1408189327288836,0.23457228842931063,0.08919613214420444,0.2542474168307341,0.09700244769786122
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,LWQQLNNNIPYSNX,1.0,-1.1408189327288836,0.6696585757285444,0.3931291832971728,0.6944981025540313,0.36565757825324396
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,MLDQJTXFUGDVEO,1.0,-1.1408189327288836,0.6897053149034083,0.4153050496462837,0.6987295471703104,0.4207597839014051
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,MTXSIJUGVMTTMU,0.0,-1.1408189327288836,0.15034734021945562,0.05351980141336598,0.0898682496052064,0.05276987991440499
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,NCEXYHBECQHGNR,0.0,-1.1408189327288836,0.3776356940746983,0.16240865629399415,0.25689407143125514,0.13875360922678054
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,NFDFQCUYFHCNBW,1.0,-1.1408189327288836,0.6091630172780174,0.33247247078805847,0.5223292230129855,0.3306935887213427
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,NNAIYOXJNVGUOM,0.0,-1.1408189327288836,0.5398111324502859,0.27264648492034627,0.5752022889629436,0.293753006708352
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,NQPDXQQQCQDHHW,1.0,-1.1408189327288836,0.6947413417943962,0.42105627046940475,0.7721437765265754,0.4393852388863744
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,OEBPANQZQGQPHF,0.0,-1.1408189327288836,0.21450393801260126,0.08026098745649349,0.17816047157877973,0.07110189182758299
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,OFPXSFXSNFPTHF,0.0,-1.1408189327288836,0.42800529038838364,0.19297202250437012,0.41698344161382567,0.19573885488165918
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,OOGJQPCLVADCPB,1.0,-1.1408189327288836,0.7502858811598966,0.4898310616930419,0.7526289848550672,0.47580448501523775
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,OZVBMTJYIDMWIL,1.0,-1.1408189327288836,0.5582582493854495,0.2876709417456716,0.6118019518452569,0.3018208769601572
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,PIJVFDBKTWXHHD,0.0,-1.1408189327288836,0.19631441490131252,0.07240569357847923,0.17012001158111084,0.07044067888920291
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,PPQNQXQZIWHJRB,1.0,-1.1408189327288836,0.9094505702174398,0.7624440272404804,0.9243422469563404,0.785180132322766
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,QBPFLULOKWLNNW,1.0,-1.1408189327288836,0.8450776859998554,0.635453739372667,0.8160180323132177,0.6494398628452362
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,QMGVPVSNSZLJIA,0.0,-1.1408189327288836,0.1704941770917148,0.06163275542865926,0.12445685447072044,0.06041035282739247
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,QWAXKHKRTORLEM,1.0,-1.1408189327288836,0.4480733307652525,0.20598856247115968,0.42153087549983115,0.21059631592684663
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,RAPZEAPATHNIPO,0.0,-1.1408189327288836,0.30421731216531256,0.12259160336239805,0.2826617789990279,0.12054821019233201
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,RJMIEHBSYVWVIN,0.0,-1.1408189327288836,0.7573970786311728,0.4994106720919549,0.8538303946308495,0.6040283537882657
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,RMEDXOLNCUSCGS,0.0,-1.1408189327288836,0.25452260575513475,0.09837126561942261,0.2377327307276852,0.09954490374829288
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,RRKTZKIUPZVBMF,0.0,-1.1408189327288836,0.20298835444495186,0.07526168554279372,0.18921598535972375,0.07735543513022274
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,RUZYUOTYCVRMRZ,0.0,-1.1408189327288836,0.2068448168166254,0.07692575092027763,0.22721399381762603,0.07875461496705767
SR-MMP,HT29,residualized,0,0,f58f8c43d4bdd4a30b14ef0719e774dfad2904501bd3e49419e54efaa437498a,SKYSRIRYMSLOIN,0.0,-1.1408189327288836,0.35799792186466284,0.15124323357512476,0.34823249143479107,0.1589879018072527
