task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,FFGPTBGBLSHEPO,0.0,-1.2230336405963342,0.7725784103248385,0.49997358671249936,0.7390933298627284,0.4784846858542143
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,FPCCSQOGAWCVBH,0.0,-1.2230336405963342,0.23077667266595542,0.08113949232989413,0.1493379711851046,0.052952636621524767
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,GZSOSUNBTXMUFQ,0.0,-1.2230336405963342,0.36097230058195906,0.14256098102729284,0.36880305623850584,0.13644890902903958
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,HYPPXZBJBPSRLK,1.0,-1.2230336405963342,0.6899501987536971,0.39576390936930667,0.6515845335727523,0.26321493895473275
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,IRSCQMHQWWYFCW,0.0,-1.2230336405963342,0.0674432777247571,0.020842941490625665,0.05279208425653784,0.015686511666071653
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,JLKIGFTWXXRPMT,0.0,-1.2230336405963342,0.27672752784872723,0.10121596402841558,0.2628369644752359,0.09873148759074933
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,JNTOCHDNEULJHD,0.0,-1.2230336405963342,0.11970949444428088,0.03848588533146347,0.10602130618167535,0.032660790367047304
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,MKUXAQIIEYXACX,0.0,-1.2230336405963342,0.06621320523021225,0.020444162272758314,0.06686945567945794,0.02090878919554577
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,MNJVRJDLRVPLFE,0.0,-1.2230336405963342,0.6880104599827404,0.393601290818284,0.7261437084807345,0.4096319051111636
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,MWYHLEQJTQJHSS,1.0,-1.2230336405963342,0.3317349173776125,0.127484864068958,0.3000738718455432,0.11993286395103252
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,NDDAHWYSQHTHNT,0.0,-1.2230336405963342,0.31300126462106515,0.11824464918498685,0.24594976535165253,0.09375615199258769
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,NFDFQCUYFHCNBW,1.0,-1.2230336405963342,0.6091630172780174,0.3144840779128781,0.6669193914839662,0.40676024183739756
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,NMUSYJAQQFHJEW,0.0,-1.2230336405963342,0.1142498924115724,0.03657673649661469,0.44464471405653616,0.20026918821556283
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,NRFJZTXWLKPZAV,0.0,-1.2230336405963342,0.07662941422794621,0.0238441513199243,0.07945809385054446,0.02424140221942103
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,NWIUTZDMDHAVTP,0.0,-1.2230336405963342,0.18907839044957805,0.06422134494294553,0.12202180178916484,0.04507808160583534
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,OFPXSFXSNFPTHF,0.0,-1.2230336405963342,0.42800529038838364,0.1804905028052587,0.3520752309999089,0.15012764401655207
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,ONKUMRGIYFNPJW,1.0,-1.2230336405963342,0.37953537206339033,0.15257391688775798,0.3413801263898844,0.11746815469805919
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,OQDPVLVUJFGPGQ,0.0,-1.2230336405963342,0.1545047589405083,0.051041246087616836,0.1226802545382987,0.04452304550070549
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,OSUCQKNXQBPLDG,0.0,-1.2230336405963342,0.7892489875640261,0.524323486111833,0.7954919220943861,0.5422607071152711
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,OUDSBRTVNLOZBN,0.0,-1.2230336405963342,0.1656844004112466,0.055223457872126125,0.160435071542815,0.05646441780400864
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,OZGNYLLQHRPOBR,0.0,-1.2230336405963342,0.57119680804946,0.2816487615277306,0.509247423633124,0.2406636546020101
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,PCLITLDOTJTVDJ,0.0,-1.2230336405963342,0.36465708169899075,0.14452045693578036,0.325784228219263,0.15359866408822473
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,PLDZOHPIBZVDLQ,0.0,-1.2230336405963342,0.35046111498859495,0.13704578310890234,0.2824754802185112,0.10544902406158768
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,PPQNQXQZIWHJRB,1.0,-1.2230336405963342,0.9094505702174398,0.7472334127865848,0.9394786492484213,0.858654866412626
SR-MMP,MCF7,residualized,0,0,feaa2d1f55b3b1435ad4567aff29647acd24263321426107fb76a3d94935f1b5,QAXBVGVYDCAVLV,0.0,-1.2230336405963342,0.38392292233268577,0.15499313669362264,0.2983483789826246,0.08485554939167506
