task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ADEBPBSSDYVVLD,0.0,-1.6037780095511562,0.3258050155711365,0.08858802863799585,0.30307993496904256,0.08858802482975317
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,AEUTYOVWOVBAKS,0.0,-1.6037780095511562,0.16525734581466198,0.038294663154447336,0.16434883091059593,0.03829466289682448
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,AGHANLSBXUWXTB,0.0,-1.6037780095511562,0.34986042036163484,0.09766603825311217,0.39896229322567345,0.09766604441047827
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ANMLJLFWUCQGKZ,0.0,-1.6037780095511562,0.29910749267396547,0.07904968371177833,0.28003683160545495,0.07904968223579138
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,AQIXAKUUQRKLND,0.0,-1.6037780095511562,0.1616663970274857,0.03733913577885593,0.15616228028664692,0.03733913523852707
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,ASUTZQLVASHGKV,0.0,-1.6037780095511562,0.33868175918722765,0.09338795201551621,0.2920113561103537,0.09338794376728136
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,AUVVAXYIELKVAI,0.0,-1.6037780095511562,0.44628754667949677,0.1394986745188704,0.5855515566735842,0.1394986850912131
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,AUZONCFQVSMFAP,0.0,-1.6037780095511562,0.45156122340338045,0.14207730327104184,0.41823654551975853,0.14207728346863333
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BAQCROVBDNBEEB,0.0,-1.6037780095511562,0.4310364810387611,0.13222796603995376,0.44313921810678814,0.13222796992581626
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BEZZFPOZAYTVHN,1.0,-1.6037780095511562,0.46862694964124674,0.15065982636991984,0.4856548220747303,0.15065983091765708
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BGSOJVFOEQLVMH,0.0,-1.6037780095511562,0.22949774655432775,0.05652283861778173,0.23797169430295262,0.0565228400387837
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BGYJFSXPRMOZJK,1.0,-1.6037780095511562,0.31328349607326395,0.0840468342885753,0.24722836950659086,0.08404681924708585
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BIDNLKIUORFRQP,0.0,-1.6037780095511562,0.23241843348205013,0.05740618410600379,0.2384664518253047,0.057406185306649996
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BLCLNMBMMGCOAS,0.0,-1.6037780095511562,0.33142274928224047,0.09066557373160049,0.323915325761874,0.09066557559649782
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BMUKKTUHUDJSNZ,0.0,-1.6037780095511562,0.23361206504101295,0.05776865012122876,0.22914622481279598,0.05776864968201024
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BPEGJWRSRHCHSN,0.0,-1.6037780095511562,0.1893576555509031,0.044874742773074475,0.18214527839969036,0.04487474177062649
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BPZSYCZIITTYBL,0.0,-1.6037780095511562,0.3164779150376015,0.08519380483178446,0.2993350830896859,0.08519379962079118
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BVMYCHKQPGEOSI,0.0,-1.6037780095511562,0.3996702397023678,0.1180926720098813,0.35916021314168506,0.11809266424534214
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,BXZVVICBKDXVGW,0.0,-1.6037780095511562,0.386146196229043,0.11231407941424343,0.3366724141591421,0.1123140660503126
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CBQGYUDMJHNJBX,0.0,-1.6037780095511562,0.3126404156390991,0.08381687686494864,0.31126919623454724,0.08381687527940951
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CMSMOCZEIVJLDB,0.0,-1.6037780095511562,0.29751837246762536,0.07849876116390832,0.3017761852815227,0.07849876040035998
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,COVZYZSDYWQREU,0.0,-1.6037780095511562,0.12380226329254058,0.027634032734584486,0.12584684849245048,0.027634032807505114
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CRDAMVZIKSXKFV,0.0,-1.6037780095511562,0.36018532617859844,0.10171269087098873,0.34698998531808467,0.10171268637773197
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,CURUTKGFNZGFSE,0.0,-1.6037780095511562,0.18423977040343276,0.043452565866406154,0.1863019977985964,0.043452566203503906
SR-p53,HA1E,residualized,0,0,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608,DBEPLOCGEIEOCV,0.0,-1.6037780095511562,0.3032377949622574,0.0804902274421667,0.29252582229256946,0.08049022791291834
