task,cell,variant,repeat_id,fold_id,outer_split_signature,ik,y,d0_intercept,p_c0,p_d0,p_c1,p_d1
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,AFSOIHMEOKEZJF,0.0,-1.4736217707913415,0.27652006141300584,0.08051196570382337,0.266477308987457,0.04581284356234715
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,BHKPHCKISVSDGV,0.0,-1.4736217707913415,0.43984805601667404,0.1524645565978122,0.44715039281271124,0.21284412436767428
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,DKLKMKYDWHYZTD,0.0,-1.4736217707913415,0.20584722030126454,0.05605347419610195,0.20177807186483046,0.0431080839027231
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,GQGRDYWMOPRROR,0.0,-1.4736217707913415,0.26714212485672983,0.07707331136691317,0.2614967721040326,0.05445735423131662
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HBPDKDSFLXWOAE,0.0,-1.4736217707913415,0.1967130281451851,0.05312156053874641,0.18983279484245352,0.03671497155553948
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HCFDWZZGGLSKEP,0.0,-1.4736217707913415,0.301004697559581,0.08979505173053087,0.29347342924772185,0.070245702142602
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HIFJCPQKFCZDDL,0.0,-1.4736217707913415,0.19467751949082757,0.05247481775371276,0.20485886147540552,0.06733319930712386
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,HUPFGZXOMWLGNK,0.0,-1.4736217707913415,0.3764664955618454,0.12151136038342199,0.3768511962888481,0.11207123673989194
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,IJHNSHDBIRRJRN,0.0,-1.4736217707913415,0.2951257119956276,0.08752471137770018,0.2954733237357433,0.0965709837688781
SR-p53,HEPG2,residualized,0,0,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c,INDBQLZJXZLFIT,0.0,-1.4736217707913415,0.5770260673939704,0.23811445492925362,0.5747540546628906,0.252641201205884
