task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.1924276070574865,0.384855214114973,False,False,1,3,42,42,1,1.1129186149039239e-09,0.2545018169571651,0.0032422090880572796,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242760698099287,0.38485521396198574,True,False,1,3,42,42,1,2.0848045512167346e-09,0.2545018153683198,0.002505179028958082,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242760673909956,0.3848552134781991,True,False,1,3,42,42,1,6.5686047816260196e-09,0.2545018103439501,0.002509254962205887,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242760597417305,0.3848552119483461,True,False,1,3,42,42,1,2.0768524282288592e-08,0.2545017944555043,0.0024331529857590795,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242760355533733,0.38485520711067467,True,False,1,3,42,42,1,6.567312582292373e-08,0.2545017442118884,0.002313308068551123,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.1924275959070495,0.384855191814099,True,False,1,3,42,42,1,2.0767709841759685e-07,0.2545015853282396,0.0023361959028989077,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242757172846253,0.38485514345692506,True,False,1,3,42,42,1,6.567147525053663e-07,0.2545010829001758,0.0024004540173336864,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242749537340592,0.38485499074681184,True,False,2,4,42,42,1,2.3491784559293016e-10,0.25449949414461875,0.002944153966382146,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242725483476406,0.3848545096695281,True,False,2,4,42,42,1,2.348905469434781e-09,0.2544944706730144,0.002888682996854186,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.192426503428524,0.384853006857048,True,False,2,4,42,42,1,2.347980956884932e-08,0.2544785911989489,0.003013366018421948,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19242421895299294,0.3848484379059859,True,False,2,4,42,42,1,2.3450353482321051e-07,0.25442843701957285,0.003109014010988176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.19241788441291122,0.38483576882582243,True,False,3,5,42,42,1,4.747165236428097e-09,0.2542704389793224,0.003486995934508741,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
NR-AR,HT29,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,382,129,978,0,True,True,-1.6074625032203191,True,0.1924060001618518,0.3848120003237036,True,False,3,5,42,42,1,1.5286234124160802e-07,0.2537766031955902,0.0032810879638418555,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2bdc45f77d4decf4b316eaa0587f11eb06b2546722a66322b169945e3d0d01a6
