task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39719854163796664,0.7943970832759333,False,False,1,3,42,42,1,6.674758214891829e-09,0.395928684633181,0.006479204981587827,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.3971985320829948,0.7943970641659897,True,False,1,3,42,42,1,1.4699660978029216e-08,0.395928674071233,0.004767782054841518,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.3971985018675713,0.7943970037351425,True,False,1,3,42,42,1,4.648667499204673e-08,0.3959286406714553,0.004868938005529344,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39719840631851994,0.7943968126370399,True,False,1,3,42,42,1,1.4699681473093196e-07,0.3959285350524302,0.004558291984722018,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39719810417096263,0.7943962083419253,True,False,1,3,42,42,1,4.6483664754501386e-07,0.39592820105920606,0.004518656991422176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39719714876126205,0.7943942975225241,True,False,2,4,42,42,1,2.5156666246667347e-11,0.39592714491448344,0.0053246739553287625,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.3971941280796262,0.7943882561592523,True,False,2,4,42,42,1,2.515323361922117e-10,0.3959238054374574,0.004903974011540413,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39718458177692584,0.7943691635538517,True,False,2,4,42,42,1,2.5142567392204968e-09,0.3959132485405629,0.00550686102360487,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.3971544528976251,0.7943089057952502,True,False,2,4,42,42,1,2.5108870447014195e-08,0.3958798992158831,0.005308558931574225,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39705976464001425,0.7941195292800285,True,False,2,4,42,42,1,2.500263367693871e-07,0.3957747828854015,0.005784554989077151,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
SR-ARE,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,527,319,978,0,True,True,-1.1176523843793358,True,0.39676608326573193,0.7935321665314639,True,False,3,5,42,42,1,3.477007294583334e-08,0.395445759391854,0.006719887955114245,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,c46b3f0e160bf1db58860a9b80f1d42e4389a0181a81f9291415c6d9d5a2281e
