task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478879075822417,0.38957758151644833,False,False,1,3,42,42,1,9.59482413659396e-10,0.17311155013934,0.0025169140426442027,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478879118504683,0.38957758237009366,True,False,1,3,42,42,1,1.9538979253996835e-09,0.17311154649611238,0.0021728030405938625,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478879253477904,0.3895775850695581,True,False,1,3,42,42,1,6.301426797028498e-09,0.17311153497521703,0.00213626807089895,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.1947887968030129,0.3895775936060258,True,False,1,3,42,42,1,1.9939631589957485e-08,0.17311149854296545,0.0021662790095433593,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478881030041034,0.3895776206008207,True,False,1,3,42,42,1,6.304147453714548e-08,0.17311138333425397,0.002156136091798544,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478885298349924,0.3895777059669985,True,False,1,3,42,42,1,1.9935361373485394e-07,0.1731110190141589,0.002120730932801962,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478898796498081,0.38957797592996163,True,False,1,3,42,42,1,6.304138308009521e-07,0.1731098669512557,0.002128400024957955,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19478941489783835,0.3895788297956767,True,False,2,4,42,42,1,1.7099134781706216e-10,0.1731062239924308,0.0026087480364367366,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19479076570512402,0.38958153141024804,True,False,2,4,42,42,1,1.7107746035777138e-09,0.17309470578516692,0.0026074080960825086,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,342,135,978,0,True,True,-1.3449366196651666,True,0.19479504467962347,0.38959008935924694,True,False,2,4,42,42,1,1.713497303768019e-08,0.17305830043072473,0.002651927061378956,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
