task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15324000575559915,0.3064800115111983,False,False,1,3,42,42,1,6.648181727353375e-10,0.15204814713566106,0.009509935975074768,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15324000466204238,0.30648000932408476,True,False,1,3,42,42,1,2.0472436662588578e-09,0.15204814500866384,0.008152285940013826,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15324000120391368,0.30648000240782736,True,False,1,3,42,42,1,6.743349059701309e-09,0.15204813828250915,0.008191040018573403,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15323999026836568,0.30647998053673137,True,False,1,3,42,42,1,2.137134434698762e-08,0.15204811701255094,0.008179601980373263,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15323995568727714,0.30647991137455427,True,False,1,3,42,42,1,6.760642802527972e-08,0.15204804975114164,0.008059212006628513,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15323984633378046,0.3064796926675609,True,False,1,3,42,42,1,2.137941352217676e-07,0.15204783705293418,0.008402697974815965,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.15323950054273003,0.30647900108546006,True,False,1,3,42,42,1,6.760398676280976e-07,0.15204716445259067,0.007952278014272451,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.1532384071264595,0.306476814252919,True,False,2,4,42,42,1,7.356749757991832e-11,0.15204503760801188,0.009389308979734778,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.1532349504824184,0.3064699009648368,True,False,2,4,42,42,1,7.357202798374818e-10,0.15203831297958698,0.008953535929322243,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
SR-ATAD5,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,716,342,978,0,True,True,-1.563926302627471,True,0.1532240297760317,0.3064480595520634,True,False,2,4,42,42,1,7.358497488424431e-09,0.15201705828558998,0.009751264937222004,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,2c642d58e6d2ad50a6067b5db06694f70008034b5c6f41e4dbe533d842976cd7
