task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.4412358858573184,0.8824717717146368,False,False,1,3,42,42,1,1.6457456994412034e-08,0.34173812570061296,0.005354635999538004,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.44123584012702577,0.8824716802540515,True,False,1,3,42,42,1,3.576120476828093e-08,0.34173810158190426,0.004587945062667131,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.44123569551544245,0.8824713910308849,True,False,1,3,42,42,1,1.1301478955449973e-07,0.34173802531199865,0.0033990730298683047,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.4412352382164781,0.8824704764329562,True,False,1,3,42,42,1,3.574030651432025e-07,0.34173778412686334,0.0031335119856521487,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.4412337921572058,0.8824675843144116,True,False,2,4,42,42,1,1.2315225228487492e-11,0.3417370214473325,0.0039883049903437495,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.44122921971629064,0.8824584394325813,True,False,2,4,42,42,1,1.2315317515776414e-10,0.3417346097912254,0.004854973056353629,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.44121476444135294,0.8824295288827059,True,False,2,4,42,42,1,1.231552866631791e-09,0.3417269849481179,0.003841831930913031,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.4411690933544829,0.8823381867089658,True,False,2,4,42,42,1,1.2316192024575123e-08,0.34170288790112235,0.004279704065993428,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.4410250730597067,0.8820501461194133,True,False,2,4,42,42,1,1.2318196317140373e-07,0.3416268343596829,0.004401737009175122,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,423,146,978,0,True,True,-1.1895580585398424,True,0.44057366266989245,0.8811473253397849,True,False,3,5,42,42,1,5.66483578795518e-09,0.34138780483162123,0.00498733704444021,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
