task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,DDR1,0.007647882141219177,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,PAX8,0.002519803190184126,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,RPS5,0.00029458367144687505,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,ABCF1,0.0007556577596833112,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,SPAG7,0.002395914516889158,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,RHOA,0.0023520697288202564,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,RNPS1,-0.0001810412546895035,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,SMNDC1,0.0009209883503731188,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,ATP6V0B,-0.0006654809765149493,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,RPS6,-0.0004009840588800697,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,USP22,0.0003366944452009643,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,APP,0.003758112293930982,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,CLTC,-0.0022477367566260844,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,MLEC,9.850528573056821e-05,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,CSRP1,0.00054791808808615,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,CALM3,-0.001555010126018551,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,PTPRF,0.0012874359738560403,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,DNAJB1,-0.0005468407679089975,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,XBP1,-0.00244046771608848,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,GRN,0.004849917057281823,3.162277660168379,-2.034047056647906,False
NR-Aromatase,MCF7,standardized,0,0,0,2042,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c,HK1,0.0027752695160825035,3.162277660168379,-2.034047056647906,False
