task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,DDR1,-1.3721615112698517e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PAX8,-2.4070592184662283e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,RPS5,-4.683250699408008e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,ABCF1,2.8060948620377652e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,SPAG7,5.995681905156641e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,RHOA,-9.366167365037266e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,RNPS1,2.4664519288619916e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,SMNDC1,9.670412400481188e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,ATP6V0B,1.2869783140694086e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,RPS6,1.7236559447744653e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,USP22,-7.994275808944982e-12,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,APP,6.840913783500529e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CLTC,-2.0531023861626365e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,MLEC,-2.505638534011923e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CSRP1,8.503938092802803e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CALM3,2.101484252314938e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PTPRF,-2.0015889560693988e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,DNAJB1,-8.255908154981813e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,XBP1,1.1159088855705171e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,GRN,-9.745453201978451e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,HK1,-6.39286008339736e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,KDELR2,-3.4412246286043657e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,SKP1,-1.0089757387653778e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CAPN1,-9.806537070663768e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CALU,-2.6372109969554856e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CTSD,-2.1767405775134706e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,MAT2A,3.105979539846871e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,STMN1,-1.5710033852882818e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,ECH1,-7.716271030644474e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,IQGAP1,-1.7717473833973277e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,HSPA1A,1.423398588464831e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,HSPD1,4.1539114514370217e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,CIRBP,-8.369949387039699e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PSME1,-1.417952503499831e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PAFAH1B1,-4.906415213463591e-12,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,HYOU1,1.4350251835984413e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PSMD2,3.102312027378684e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,EPRS,-8.295548437064028e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PSMD4,1.0138099706443288e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,PGAM1,-3.0088070325844265e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,STAT1,-1.215985126534611e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,FKBP4,1.809565452555645e-10,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,KTN1,8.15695805398904e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,TMED10,2.092587783509442e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,ALDOA,4.253810830055592e-11,100000000.0,-1.5270682809436358,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,84c38cf070a20164074b9bd81ab659cc653974711b6af9ef5b2c89af736b7b75,TSPAN3,-1.5104081315754885e-10,100000000.0,-1.5270682809436358,True
