task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,DDR1,-1.8593747924610415e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PAX8,-1.2695303847428419e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,RPS5,6.325478164703834e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,ABCF1,-2.599366659807464e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,SPAG7,-4.0041088887355746e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,RHOA,1.809045120796274e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,RNPS1,4.983552158176267e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,SMNDC1,-2.5659555642525946e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,ATP6V0B,9.55110551852426e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,RPS6,1.580698897111826e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,USP22,-2.9718793431956847e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,APP,1.9940710723123878e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CLTC,-3.395934367515827e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,MLEC,-6.522298038681991e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CSRP1,-4.488575564352293e-12,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CALM3,2.5479557802279945e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PTPRF,-7.769519357838667e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,DNAJB1,-1.6463301245695583e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,XBP1,-1.9286296034385637e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,GRN,5.923269117610649e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HK1,7.206846462072707e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,KDELR2,-3.109322039780917e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,SKP1,-1.0992258043230033e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CAPN1,-2.4781678866713813e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CALU,-1.1792457344589392e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CTSD,-3.0109961252657494e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,MAT2A,-1.8374282524349028e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,STMN1,1.1101163429565672e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,ECH1,-1.7463520070212571e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,IQGAP1,-1.8339466755702095e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HSPA1A,-1.154468402018249e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HSPD1,2.4760253422528986e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,CIRBP,4.418530750251152e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PSME1,-1.7874676428324848e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PAFAH1B1,-2.135508594496498e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HYOU1,-2.1968782466889095e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PSMD2,3.757813231201836e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,EPRS,-3.088963623784236e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PSMD4,4.411538520913854e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PGAM1,2.1456462418726492e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,STAT1,-4.180430766203785e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,FKBP4,-2.0847942636252628e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,KTN1,9.662720754016105e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,TMED10,-2.5936608165569528e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,ALDOA,2.371647872703402e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,TSPAN3,1.890987681261073e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,GNAS,-2.2326435279097605e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HIF1A,-5.901017364701809e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,AARS,-2.920239810826626e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,RPN1,-7.012823552902099e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PAICS,2.9910088794700763e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,BLCAP,-6.275808355768501e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,HADH,-3.761203705221629e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,GNAI2,1.4851011002730628e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,PSMF1,2.4095974406247843e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,MYL9,3.371344719707119e-12,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,MMP2,1.0992773870426832e-10,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,SMARCC1,-7.83707828788574e-11,100000000.0,-1.4310753184651186,True
NR-ER,HT29,standardized,0,0,0,2042,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4,TM9SF2,-7.948969214624353e-11,100000000.0,-1.4310753184651186,True
