task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,DDR1,8.159695725015598e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,PAX8,2.793565970267629e-12,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,RPS5,-1.5571296448184995e-10,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,ABCF1,-3.139422517828873e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,SPAG7,-6.777125009601336e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,RHOA,-2.0525152235504665e-10,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,RNPS1,-1.2984150470974436e-10,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,SMNDC1,-2.9755752141341094e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,ATP6V0B,-1.9133385510746762e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,RPS6,-2.7812774633560282e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,USP22,-1.11313944870647e-11,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,APP,2.548168112300626e-10,100000000.0,-2.113685203592361,True
SR-HSE,HT29,standardized,0,0,0,2042,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59,CLTC,-1.5245678390981884e-10,100000000.0,-2.113685203592361,True
