task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,DDR1,2.817307754973562e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,PAX8,-0.00016458881606394273,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,RPS5,-2.0074149322779322e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,ABCF1,7.639822998749542e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,SPAG7,1.0099600685149646e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,RHOA,-0.0001604974876668185,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,RNPS1,2.698443699898188e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,SMNDC1,8.704525440953424e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,ATP6V0B,0.00017467690443208114,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,RPS6,3.062803199598051e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,USP22,-5.9281639092528976e-05,316.2277660168379,-1.6365905702743329,False
SR-p53,HA1E,standardized,0,0,0,2042,2042,9cd44808c57436cb96715840a5614c8dbfa01085d5fa806af91ddbaaa62faa2c,APP,3.234212585782452e-05,316.2277660168379,-1.6365905702743329,False
