task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,999,100,978,0,False,True,True,False,unweighted_publication_primary,-1.3383903597807634,-1.3383903597807634,0.0752401037242125,3.162277660168379,0.31622776601683794,False,False,1000.0,999,100,0.6337087629946345,0.6337087629946345,0.5928111471861472,-0.040897615808487275,0.8165760869565217,0.8165760869565217,0.8043478260869564,-0.0122282608695653,0.3195194223388028,0.21505950856721268,0.21797862635129395,0.002919117784081271,True,False,10,12,4.0344619958374017e-07,0.25208652227630296,0.03948667796794325,0,0,2042,aeaf0ac2597a8fb482bac06485a9f27976f5df3fd18bd8e7c4134b5f56c07777
NR-AhR,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,912,187,978,0,False,True,True,False,unweighted_publication_primary,-1.4204796969135047,-1.4204796969135047,0.03267947057944662,10.0,1.0,False,False,1000.0,912,187,0.45143676818454614,0.45143676818454614,0.42123966644604394,-0.030197101738502208,0.7839342523860022,0.7839342523860022,0.7815482502651113,-0.0023860021208909066,0.36573644014194256,0.3101707298122222,0.3132971525992205,0.003126422786998262,True,False,7,9,2.8399764127547583e-07,0.2440797965837044,0.025644865003414452,0,1,2042,aeaf0ac2597a8fb482bac06485a9f27976f5df3fd18bd8e7c4134b5f56c07777
NR-AhR,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,749,350,978,0,False,True,True,False,unweighted_publication_primary,-1.2783166513160917,-1.2783166513160917,3.485980835314893e-09,100000000.0,1.0,True,True,316.2277660168379,749,350,0.33266544312144486,0.33266544312144486,0.33266544312144486,0.0,0.7471264367816093,0.7471264367816093,0.7471264367816093,0.0,0.36613754669562704,0.24962737798805962,0.2496273771382353,-8.498243220245172e-10,True,False,1,3,1.068203855231209e-09,0.2666027678369153,0.01067415892612189,0,2,2042,aeaf0ac2597a8fb482bac06485a9f27976f5df3fd18bd8e7c4134b5f56c07777
NR-AhR,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,892,207,978,0,False,True,True,False,unweighted_publication_primary,-1.3432068216345534,-1.3432068216345534,3.6282239277318435e-09,100000000.0,1.0,True,True,100.0,892,207,0.5584869188245631,0.5584869188245631,0.5584869188245631,0.0,0.841978021978022,0.841978021978022,0.841978021978022,0.0,0.38377605766998174,0.27305134785011453,0.2730513472918514,-5.582631579237329e-10,True,False,1,3,1.7601531291516759e-09,0.2581872749174041,0.012758963974192739,0,3,2042,aeaf0ac2597a8fb482bac06485a9f27976f5df3fd18bd8e7c4134b5f56c07777
NR-AhR,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,844,255,978,0,False,True,True,False,unweighted_publication_primary,-1.3600749222900614,-1.3600749222900614,3.782400906972342e-09,100000000.0,3.162277660168379,True,True,100.0,844,255,0.46751402181820656,0.46751402181820656,0.46751402181820656,0.0,0.8436345314074571,0.8436345314074571,0.8436345314074571,0.0,0.3437995467592536,0.2519273716912347,0.2519273709903346,-7.009001157243233e-10,True,False,1,3,1.1561386156159342e-09,0.26372743437650764,0.009169942932203412,0,4,2042,aeaf0ac2597a8fb482bac06485a9f27976f5df3fd18bd8e7c4134b5f56c07777
NR-AhR,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1003,96,978,0,False,True,True,False,unweighted_publication_primary,-1.4257465139195151,-1.4257465139195151,3.7166715896205532e-09,100000000.0,1.0,True,True,316.2277660168379,1003,96,0.7584561057247652,0.7584561057247652,0.7584561057247652,0.0,0.8769736842105263,0.8769736842105263,0.8769736842105263,0.0,0.3989140621785223,0.3685976621242438,0.36859766128684174,-8.374020366019863e-10,True,False,1,3,1.1837657649905672e-09,0.250938157199668,0.008542226976715028,1,0,3042,d85a409824e7aab309fae1718507b9fe693ba42876237c033d870073687f643a
NR-AhR,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,889,210,978,0,False,True,True,False,unweighted_publication_primary,-1.3042192399963801,-1.3042192399963801,4.149266825515727e-09,100000000.0,1.0,True,True,1000.0,889,210,0.5771054177931799,0.5771054177931799,0.5771054177931799,0.0,0.856386999244142,0.856386999244142,0.856386999244142,0.0,0.3729746739961676,0.24385811142206892,0.243858111231992,-1.900769264207014e-10,True,False,1,3,1.506848885252099e-09,0.2651366094448056,0.012553961016237736,1,1,3042,d85a409824e7aab309fae1718507b9fe693ba42876237c033d870073687f643a
NR-AhR,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,876,223,978,0,False,True,True,False,unweighted_publication_primary,-1.3714659035039571,-1.3714659035039571,3.742485130174035e-09,100000000.0,1.0,True,True,1000.0,876,223,0.23368546300022072,0.23368546300022072,0.23368546300022072,0.0,0.7369458128078817,0.7369458128078817,0.7369458128078817,0.0,0.34700158763966216,0.27086552131625113,0.27086552042016,-8.960911457300824e-10,True,False,1,3,1.2981687842750222e-09,0.2584938388227807,0.00959070899989456,1,2,3042,d85a409824e7aab309fae1718507b9fe693ba42876237c033d870073687f643a
NR-AhR,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,717,382,978,0,False,True,True,False,unweighted_publication_primary,-1.301730813286803,-1.301730813286803,4.370846473729695e-09,100000000.0,3.162277660168379,True,True,1000.0,717,382,0.2682769988423009,0.2682769988423009,0.2682769988423009,0.0,0.789375,0.789375,0.789375,0.0,0.3530434232446005,0.24693678606119246,0.24693678573118968,-3.300027751063084e-10,True,False,1,3,1.7054401675598019e-09,0.26861560547822183,0.010741634061560035,1,3,3042,d85a409824e7aab309fae1718507b9fe693ba42876237c033d870073687f643a
NR-AhR,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,911,188,978,0,False,True,True,False,unweighted_publication_primary,-1.3324206722689356,-1.3324206722689356,3.480054690514492e-09,100000000.0,1.0,True,True,31.622776601683796,911,188,0.5294758867715623,0.5294758867715623,0.5294758867715623,0.0,0.7954248366013071,0.7954248366013071,0.7954248366013071,0.0,0.35499443092432703,0.2466815047249291,0.2466815036844113,-1.0405178108019442e-09,True,False,1,3,1.115492647904559e-09,0.2639518967961463,0.012047491036355495,1,4,3042,d85a409824e7aab309fae1718507b9fe693ba42876237c033d870073687f643a
