task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,595,60,978,0,False,True,True,False,unweighted_publication_primary,-1.9003719094844636,-1.9003719094844636,0.022353937158023324,31.622776601683796,1.0,False,False,3162.277660168379,595,60,0.5555555555555556,0.5555555555555556,0.8666666666666667,0.3111111111111111,0.9707602339181287,0.9707602339181287,0.9883040935672515,0.01754385964912275,0.4880051636598006,0.17802475712666832,0.15268834299025075,-0.025336414136417573,True,False,5,7,7.324230663977027e-07,0.2584547703467941,0.0074819199508056045,0,0,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1
NR-Aromatase,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,526,129,978,0,False,True,True,False,unweighted_publication_primary,-1.8954052822363436,-1.8954052822363436,0.05380669123456706,10.0,3.162277660168379,False,False,10000.0,526,129,0.3197094495353287,0.3197094495353287,0.2826006026915494,-0.0371088468437793,0.7148148148148148,0.7148148148148148,0.7583333333333333,0.04351851851851851,0.4981787560086851,0.2314569159020637,0.22507335371822398,-0.006383562183839703,True,False,9,11,3.599647931673555e-07,0.23878253490961965,0.013099962961860001,0,1,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1
NR-Aromatase,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,453,202,978,0,False,True,True,False,unweighted_publication_primary,-1.982842823124254,-1.982842823124254,9.298477110214602e-09,100000000.0,1.0,True,True,3162.277660168379,453,202,0.44261344845480727,0.44261344845480727,0.44261344845480727,0.0,0.8251811594202898,0.8251811594202898,0.8251811594202898,0.0,0.4694738805474135,0.253751586153697,0.25375157899391876,-7.159778214749224e-09,True,False,1,3,4.287073170961865e-09,0.26275069269915136,0.003070198930799961,0,2,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1
NR-Aromatase,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,527,128,978,0,False,True,True,False,unweighted_publication_primary,-2.064969056047036,-2.064969056047036,1.0169775069000765e-08,100000000.0,0.31622776601683794,True,True,3162.277660168379,527,128,0.4447133277179379,0.4447133277179379,0.4447133277179379,0.0,0.6947535771065182,0.6947535771065182,0.6947535771065182,0.0,0.5401426019064709,0.359533041244648,0.3595330374557504,-3.788897640077948e-09,True,False,1,3,3.5539812733367815e-09,0.23637333314369854,0.003595283953472972,0,3,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1
NR-Aromatase,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,519,136,978,0,False,True,True,False,unweighted_publication_primary,-1.91552146746533,-1.91552146746533,0.022958375208839386,31.622776601683796,1.0,False,False,3162.277660168379,519,136,0.27354952329519644,0.27354952329519644,0.4066254830350965,0.13307595973990005,0.6706349206349206,0.6706349206349206,0.7777777777777777,0.1071428571428571,0.4928290835893312,0.24530203482724944,0.22874901947506365,-0.016553015352185785,True,False,5,7,3.94167699475749e-07,0.25355973551918115,0.00615367095451802,0,4,2042,097573bc44947d7b4e4220dca98ff57bc6510af9b4af4a054651dc43318d87f1
NR-Aromatase,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,596,59,978,0,False,True,True,False,unweighted_publication_primary,-1.905271602618373,-1.905271602618373,0.0522246798475796,10.0,1.0,False,False,3162.277660168379,596,59,0.5,0.5,0.45634920634920634,-0.04365079365079366,0.8214285714285714,0.8214285714285714,0.7738095238095237,-0.04761904761904767,0.47279450545436746,0.17738146124413434,0.17376982070214433,-0.0036116405419900077,True,False,9,11,3.7900950509116293e-07,0.24278509625845185,0.008856507018208504,1,0,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96
NR-Aromatase,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,520,135,978,0,False,True,True,False,unweighted_publication_primary,-2.0476786650363694,-2.0476786650363694,9.479132647095885e-09,100000000.0,3.162277660168379,True,True,3162.277660168379,520,135,0.5074544711874733,0.5074544711874733,0.5074544711874733,0.0,0.819327731092437,0.819327731092437,0.819327731092437,0.0,0.5011864100320599,0.3158440449586369,0.315844036455531,-8.503105886070728e-09,True,False,1,3,2.9497801631861442e-09,0.2458835003922657,0.003968993085436523,1,1,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96
NR-Aromatase,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,441,214,978,0,False,True,True,False,unweighted_publication_primary,-1.9121349228559767,-1.9121349228559767,0.24565359585552798,1.0,0.31622776601683794,False,False,10000.0,441,214,0.3005545613411748,0.3005545613411748,0.49677957943021517,0.19622501808904036,0.7476858763810093,0.7476858763810093,0.7811286951328755,0.03344281875186628,0.4948916107386843,0.2500020637012069,0.21437991568346956,-0.03562214801773736,True,False,16,18,2.8309562665612686e-07,0.19373550771323245,0.012706959969364107,1,2,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96
NR-Aromatase,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,542,113,978,0,False,True,True,False,unweighted_publication_primary,-2.014127361417692,-2.014127361417692,8.24047075515827e-09,100000000.0,1.0,True,True,1000.0,542,113,0.42158665695353525,0.42158665695353525,0.42158665695353525,0.0,0.7153846153846154,0.7153846153846154,0.7153846153846154,0.0,0.5054454935299385,0.3180398411344606,0.31803982959857213,-1.1535888466696065e-08,True,False,1,3,2.999638825523787e-09,0.24801447156773362,0.0045019269455224276,1,3,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96
NR-Aromatase,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,521,134,978,0,False,True,True,False,unweighted_publication_primary,-1.8682883106964652,-1.8682883106964652,0.05337086067551327,10.0,3.162277660168379,False,False,10000.0,521,134,0.24986076553249448,0.24986076553249448,0.3884552189468772,0.1385944534143827,0.6448412698412699,0.6448412698412699,0.7797619047619047,0.13492063492063477,0.49227548495795515,0.21473952851445202,0.20044693730102656,-0.014292591213425465,True,False,9,11,3.7010740161144695e-07,0.24546649277421914,0.010792942019179463,1,4,3042,cef9ed36767d1b358a0e873a544f6752544a28f291a2da7f958e36fab383db96
