task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,926,86,978,0,False,True,True,False,unweighted_publication_primary,-2.034047056647906,-2.034047056647906,0.10000220581681138,3.162277660168379,0.31622776601683794,False,False,3162.277660168379,926,86,0.35906848731488017,0.35906848731488017,0.32813678402730917,-0.030931703287571,0.71875,0.71875,0.725,0.006249999999999978,0.49838245395775815,0.2258736576519105,0.22005569408184208,-0.0058179635700684185,True,False,11,13,4.6097452849336307e-07,0.19161752141228533,0.02919601195026189,0,0,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c
NR-Aromatase,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,817,195,978,0,False,True,True,False,unweighted_publication_primary,-2.0825140329660425,-2.0825140329660425,0.04820602114530472,10.0,1.0,False,False,3162.277660168379,817,195,0.580505759934427,0.580505759934427,0.7302107106958952,0.14970495076146817,0.8635161929940515,0.8635161929940515,0.8889623265036352,0.02544613350958369,0.46415898650401505,0.23779863447746213,0.2137483497947034,-0.024050284682758744,True,False,8,10,6.554194228076959e-07,0.20771246754521674,0.025176713010296226,0,1,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c
NR-Aromatase,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,801,211,978,0,False,True,True,False,unweighted_publication_primary,-2.045722057623005,-2.045722057623005,0.09927735482588164,3.162277660168379,0.31622776601683794,False,False,3162.277660168379,801,211,0.3346345623037207,0.3346345623037207,0.555249390201685,0.22061482789796427,0.7576923076923077,0.7576923076923077,0.835576923076923,0.07788461538461533,0.4933129388512456,0.24142382534001838,0.20274097929745694,-0.03868284604256145,True,False,11,13,7.490731084788815e-07,0.19060917904891334,0.02322404400911182,0,2,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c
NR-Aromatase,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,803,209,978,0,False,True,True,False,unweighted_publication_primary,-2.0501090533178528,-2.0501090533178528,0.10094839533268596,3.162277660168379,0.31622776601683794,False,False,10000.0,803,209,0.43050664454823806,0.43050664454823806,0.6355882300949358,0.20508158554669775,0.8134715025906736,0.8134715025906736,0.8814766839378237,0.06800518134715017,0.4621758507400472,0.22482272918903418,0.1840643747993557,-0.04075835438967848,True,False,11,13,5.299971923902747e-07,0.19469669345308174,0.026178912026807666,0,3,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c
NR-Aromatase,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,701,311,978,0,False,True,True,False,unweighted_publication_primary,-2.0353946793797673,-2.0353946793797673,0.04916670312401231,10.0,0.31622776601683794,False,False,3162.277660168379,701,311,0.3121522459012691,0.3121522459012691,0.4944775104826533,0.1823252645813842,0.7021346469622332,0.7021346469622332,0.7991789819376026,0.09704433497536946,0.45329163644436987,0.2207444658039188,0.19518922601589364,-0.025555239788025153,True,False,8,10,1.762721685526214e-07,0.21405670090520285,0.019532920909114182,0,4,2042,8265e0826d91184dd1682525a0e576e0270c54287c84dc4b2e4642edae3d5e6c
NR-Aromatase,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,928,84,978,0,False,True,True,False,unweighted_publication_primary,-2.0679823991141517,-2.0679823991141517,0.19333326426912717,1.0,0.31622776601683794,False,False,10000.0,928,84,0.47456314716276765,0.47456314716276765,0.5649088237835969,0.09034567662082921,0.7417763157894737,0.7417763157894737,0.9029605263157894,0.1611842105263157,0.48822598408212087,0.26654471970379756,0.2347400588868963,-0.03180466081690125,True,False,16,18,7.532265289770385e-07,0.1709992508065463,0.031817703042179346,1,0,3042,4da2c8dd97518ea6050aa1b1b2cc8b86dc2df06dd4bad61127123a247ea019ec
NR-Aromatase,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,818,194,978,0,False,True,True,False,unweighted_publication_primary,-2.0273181492976553,-2.0273181492976553,0.049619897403923335,10.0,0.09999999999999999,False,False,3162.277660168379,818,194,0.40756598516113896,0.40756598516113896,0.5830088844860419,0.17544289932490298,0.732681682957926,0.732681682957926,0.7841053973650659,0.05142371440713989,0.4586813724709321,0.21144074709734514,0.1883360171959035,-0.023104729901441634,True,False,8,10,2.4092147387494434e-07,0.2134687192941031,0.015700213029049337,1,1,3042,4da2c8dd97518ea6050aa1b1b2cc8b86dc2df06dd4bad61127123a247ea019ec
NR-Aromatase,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,818,194,978,0,False,True,True,False,unweighted_publication_primary,-2.0232548620601998,-2.0232548620601998,0.10610721908196269,3.162277660168379,1.0,False,False,10000.0,818,194,0.46788358944846486,0.46788358944846486,0.485005187122613,0.017121597674148115,0.8670634920634921,0.8670634920634921,0.9043650793650794,0.03730158730158728,0.47755600450341257,0.213741007876517,0.1951916909489053,-0.01854931692761172,True,False,11,13,3.2682269997946767e-07,0.19276580065772858,0.026279699988663197,1,2,3042,4da2c8dd97518ea6050aa1b1b2cc8b86dc2df06dd4bad61127123a247ea019ec
NR-Aromatase,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,670,342,978,0,False,True,True,False,unweighted_publication_primary,-2.096316367500725,-2.096316367500725,0.019027405930357802,31.622776601683796,0.31622776601683794,False,False,1000.0,670,342,0.34321197183122837,0.34321197183122837,0.5165338377324364,0.17332186590120807,0.7975308641975308,0.7975308641975308,0.818694885361552,0.021164021164021163,0.47198389952577785,0.24456014860123662,0.23005255483357784,-0.014507593767658783,True,False,5,7,3.291854043154657e-07,0.2150726193955429,0.01297636202070862,1,3,3042,4da2c8dd97518ea6050aa1b1b2cc8b86dc2df06dd4bad61127123a247ea019ec
NR-Aromatase,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,814,198,978,0,False,True,True,False,unweighted_publication_primary,-2.0388738065135037,-2.0388738065135037,0.38222205026211076,0.31622776601683794,0.31622776601683794,False,False,31622.776601683796,814,198,0.3819839514799136,0.3819839514799136,0.5779480430120046,0.19596409153209104,0.7003105590062112,0.7003105590062112,0.8614130434782609,0.16110248447204967,0.45944367581512546,0.22217880749333774,0.1771402716922722,-0.04503853580106554,True,False,22,24,7.874088559860996e-07,0.14942216407218764,0.04178629699163139,1,4,3042,4da2c8dd97518ea6050aa1b1b2cc8b86dc2df06dd4bad61127123a247ea019ec
NR-Aromatase,MCF7,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,934,78,978,0,False,True,True,False,unweighted_publication_primary,-2.076269389553024,-2.076269389553024,0.19031751024262314,1.0,0.31622776601683794,False,False,3162.277660168379,934,78,0.15158631946641773,0.15158631946641773,0.4979166666666667,0.3463303472002489,0.6375,0.6375,0.8303571428571428,0.19285714285714284,0.5433547626933711,0.3305511038179137,0.2604562631571399,-0.07009484066077382,True,False,15,17,6.009264405188244e-07,0.17044283307840222,0.05202061601448804,2,0,4042,d4faead6d03074fc8953508199ed1e1cdd4fca0c97f3c4995b49ffc0f667608c
