task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER-LBD,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,486,61,978,0,False,True,True,False,unweighted_publication_primary,-2.3536570337284735,-2.3536570337284735,2.982057977631895e-09,100000000.0,1.0,True,True,316.2277660168379,486,61,0.12182539682539684,0.12182539682539684,0.12182539682539684,0.0,0.7413793103448275,0.7413793103448275,0.7413793103448275,0.0,0.41133589383695446,0.19049866623211584,0.19049866628516984,5.305400563315743e-11,True,False,1,3,3.141423792103748e-10,0.15741011533172544,0.0033277509501203895,0,0,2042,023ce48d05ba3d38081fa02ccd258ce41ca05404a3ee8b503767a989aed73ec1
NR-ER-LBD,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,442,105,978,0,False,True,True,False,unweighted_publication_primary,-2.4067169118053258,-2.4067169118053258,2.6225864032571955e-09,100000000.0,100000000.0,True,False,,442,105,0.31615550174872215,0.31615550174872215,0.31615550174872215,0.0,0.867003367003367,0.867003367003367,0.867003367003367,0.0,0.4103904902622308,0.20027128971585806,0.20027128927133597,-4.4452208580736396e-10,True,False,1,3,1.4834747579656193e-10,0.1519145218104948,0.0032521128887310624,0,1,2042,023ce48d05ba3d38081fa02ccd258ce41ca05404a3ee8b503767a989aed73ec1
NR-ER-LBD,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,445,102,978,0,False,True,True,False,unweighted_publication_primary,-2.2862654155315694,-2.2862654155315694,3.1185752652975614e-09,100000000.0,1.0,True,True,100.0,445,102,0.5020053475935828,0.5020053475935828,0.5020053475935828,0.0,0.9413265306122448,0.9413265306122448,0.9413265306122448,0.0,0.4120204904341717,0.13900341517915163,0.13900341498423954,-1.9491208647082203e-10,True,False,1,3,1.6902803202240024e-10,0.16622675974063675,0.0030647439416497946,0,2,2042,023ce48d05ba3d38081fa02ccd258ce41ca05404a3ee8b503767a989aed73ec1
NR-ER-LBD,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,444,103,978,0,False,True,True,False,unweighted_publication_primary,-2.349906115790614,-2.349906115790614,2.8478671504203892e-09,100000000.0,10.0,True,True,31.622776601683796,444,103,0.34484848484848485,0.34484848484848485,0.34484848484848485,0.0,0.8387755102040817,0.8387755102040817,0.8387755102040817,0.0,0.40576246026954527,0.16888092744074584,0.16888092704350458,-3.9724126765783296e-10,True,False,1,3,1.7591517218612518e-10,0.15929210858109188,0.002958524040877819,0,3,2042,023ce48d05ba3d38081fa02ccd258ce41ca05404a3ee8b503767a989aed73ec1
NR-ER-LBD,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,371,176,978,0,False,True,True,False,unweighted_publication_primary,-2.2820909286522633,-2.2820909286522633,3.781803987268932e-09,100000000.0,0.31622776601683794,True,True,316.2277660168379,371,176,0.6751831501831501,0.6751831501831501,0.6751831501831501,0.0,0.8453085376162298,0.8453085376162298,0.8453085376162298,0.0,0.38607521019140256,0.13706938210321243,0.13706938213502262,3.181019336828683e-11,True,False,1,3,4.506417808358698e-10,0.17258859778305338,0.0025328280171379447,0,4,2042,023ce48d05ba3d38081fa02ccd258ce41ca05404a3ee8b503767a989aed73ec1
NR-ER-LBD,HT29,standardized,0,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,482,65,978,0,False,True,True,False,unweighted_publication_primary,-2.435265334147354,-2.435265334147354,2.721466147143192e-09,100000000.0,0.31622776601683794,True,True,100.0,482,65,0.2513220113220113,0.2513220113220113,0.2513220113220113,0.0,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.0,0.4365963725590513,0.2637602544921669,0.2637602542186874,-2.7347951681022664e-10,True,False,1,3,6.534420365911231e-10,0.14747886068276916,0.003225069958716631,1,0,3042,dc6672d845574a9b66698efe42f0e0c9d1b95e1e9f2f721046c8fcf54fd971b3
NR-ER-LBD,HT29,standardized,1,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,452,95,978,0,False,True,True,False,unweighted_publication_primary,-2.212528773829995,-2.212528773829995,3.21086269999775e-09,100000000.0,1.0,True,True,100.0,452,95,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.0,0.978494623655914,0.978494623655914,0.978494623655914,0.0,0.40053822732246697,0.09341521920372349,0.09341521901681947,-1.8690402003862516e-10,True,False,1,3,3.7667261670870644e-10,0.1757381752163274,0.0026973960921168327,1,1,3042,dc6672d845574a9b66698efe42f0e0c9d1b95e1e9f2f721046c8fcf54fd971b3
NR-ER-LBD,HT29,standardized,2,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,380,167,978,0,False,True,True,False,unweighted_publication_primary,-2.4779703144853356,-2.4779703144853356,3.241910431838387e-09,100000000.0,3.162277660168379,True,True,100.0,380,167,0.7090671051029107,0.7090671051029107,0.7090671051029107,0.0,0.8828025477707007,0.8828025477707007,0.8828025477707007,0.0,0.39431375465853746,0.18314930581989233,0.18314930572118612,-9.870620987229017e-11,True,False,1,3,5.387881807372707e-10,0.15199368390629397,0.002763408934697509,1,2,3042,dc6672d845574a9b66698efe42f0e0c9d1b95e1e9f2f721046c8fcf54fd971b3
NR-ER-LBD,HT29,standardized,3,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,422,125,978,0,False,True,True,False,unweighted_publication_primary,-2.306711669223182,-2.306711669223182,3.039480090725767e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,422,125,0.13759414877061937,0.13759414877061937,0.13759414877061937,0.0,0.795,0.795,0.795,0.0,0.407479056878564,0.15917280979825674,0.15917280957128738,-2.269693599732392e-10,True,False,1,3,2.408772964077044e-10,0.16168900433804556,0.003060849034227431,1,3,3042,dc6672d845574a9b66698efe42f0e0c9d1b95e1e9f2f721046c8fcf54fd971b3
NR-ER-LBD,HT29,standardized,4,3043,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,452,95,978,0,False,True,True,False,unweighted_publication_primary,-2.287781766207048,-2.287781766207048,3.1244761636445994e-09,100000000.0,0.31622776601683794,True,True,100.0,452,95,0.1958128078817734,0.1958128078817734,0.1958128078817734,0.0,0.7717391304347826,0.7717391304347826,0.7717391304347826,0.0,0.38669659450057936,0.13283726856279815,0.1328372684197507,-1.4304746276394553e-10,True,False,1,3,1.9739780643401872e-10,0.1670970981892217,0.0028478989843279123,1,4,3042,dc6672d845574a9b66698efe42f0e0c9d1b95e1e9f2f721046c8fcf54fd971b3
