task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,431,56,978,0,False,True,True,False,unweighted_publication_primary,-1.4310753184651186,-1.4310753184651186,5.310717813565588e-09,100000000.0,10.0,True,True,100.0,431,56,0.13440373982384485,0.13440373982384485,0.13440373982384485,0.0,0.5266666666666666,0.5266666666666666,0.5266666666666666,0.0,0.6331842712147058,0.3616026223794032,0.36160262006752475,-2.311878466443318e-09,True,False,1,3,1.4055775432453288e-09,0.4074957186049556,0.0028332319343462586,0,0,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,342,145,978,0,False,True,True,False,unweighted_publication_primary,-1.4256489504183143,-1.4256489504183143,6.790487714453195e-09,100000000.0,10.0,True,True,316.2277660168379,342,145,0.416593875773115,0.416593875773115,0.416593875773115,0.0,0.6815398075240595,0.6815398075240595,0.6815398075240595,0.0,0.5430828055855068,0.34437561131644456,0.34437561155952423,2.4307966750569676e-10,True,False,1,3,3.5350117590093877e-09,0.4268016419795744,0.0025483230128884315,0,1,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,392,95,978,0,False,True,True,False,unweighted_publication_primary,-1.5326316911892253,-1.5326316911892253,5.8015079965395635e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,392,95,0.3745028423603415,0.3745028423603415,0.3745028423603415,0.0,0.6508295625942685,0.6508295625942685,0.6508295625942685,0.0,0.5940860434881263,0.44610332689613474,0.44610332626659654,-6.295381993481897e-10,True,False,1,3,2.376385931784908e-09,0.39147647165061605,0.002507015014998615,0,2,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,397,90,978,0,False,True,True,False,unweighted_publication_primary,-1.5299010039714651,-1.5299010039714651,5.9184087431446985e-09,100000000.0,10.0,True,True,316.2277660168379,397,90,0.3764791689513922,0.3764791689513922,0.3764791689513922,0.0,0.5684121621621622,0.5684121621621622,0.5684121621621622,0.0,0.6124770408316375,0.4659688923566804,0.46596889267866287,3.2198249622084063e-10,True,False,1,3,3.0406797600635027e-09,0.38764315926910164,0.0025501179043203592,0,3,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,386,101,978,0,False,True,True,False,unweighted_publication_primary,-1.5258854702229585,-1.5258854702229585,5.5455033640111965e-09,100000000.0,100.0,True,True,316.2277660168379,386,101,0.6035616397001498,0.6035616397001498,0.6035616397001498,0.0,0.806803594351733,0.806803594351733,0.806803594351733,0.0,0.5807468061123382,0.415409336911226,0.415409335729341,-1.1818849787736951e-09,True,False,1,3,2.731991050053395e-09,0.398615588532552,0.003261519013904035,0,4,2042,52b69f84e1f3507d67f0e7bfe9690cafc30c43aca6a5c6a1b48f0aff06f6a7d4
NR-ER,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,441,46,978,0,False,True,True,False,unweighted_publication_primary,-1.4732913628238926,-1.4732913628238926,5.436094751155582e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,441,46,0.29679135537677703,0.29679135537677703,0.29679135537677703,0.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0,0.6424844518497547,0.42259355591512976,0.4225935543176276,-1.5975021860903382e-09,True,False,1,3,1.9074058062173993e-09,0.3998794890293999,0.0028197659412398934,1,0,3042,7fd564e93104f2ffeef00be8a314c52c9fd0286328268ca009c120698c7771b3
NR-ER,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,398,89,978,0,False,True,True,False,unweighted_publication_primary,-1.4954156446299507,-1.4954156446299507,5.911644147553502e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,398,89,0.45427176513027256,0.45427176513027256,0.45427176513027256,0.0,0.6819047619047618,0.6819047619047618,0.6819047619047618,0.0,0.5793501959211369,0.4044636914388057,0.40446369137590577,-6.289990750474317e-11,True,False,1,3,2.5831972463863373e-09,0.4014661175944072,0.0026782070053741336,1,1,3042,7fd564e93104f2ffeef00be8a314c52c9fd0286328268ca009c120698c7771b3
NR-ER,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,390,97,978,0,False,True,True,False,unweighted_publication_primary,-1.4651560690919008,-1.4651560690919008,5.435679398972449e-09,100000000.0,31.622776601683796,True,True,100.0,390,97,0.34397646804243137,0.34397646804243137,0.34397646804243137,0.0,0.6419753086419753,0.6419753086419753,0.6419753086419753,0.0,0.6455744246658163,0.4362302204181512,0.43623021912713256,-1.2910186253378697e-09,True,False,1,3,1.8790697088599817e-09,0.3935419519126395,0.0025550019927322865,1,2,3042,7fd564e93104f2ffeef00be8a314c52c9fd0286328268ca009c120698c7771b3
NR-ER,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,381,106,978,0,False,True,True,False,unweighted_publication_primary,-1.499786743989584,-1.499786743989584,5.77251664302152e-09,100000000.0,10.0,True,True,316.2277660168379,381,106,0.6218912799561,0.6218912799561,0.6218912799561,0.0,0.7601010101010102,0.7601010101010102,0.7601010101010102,0.0,0.5655595965078246,0.38691602928199104,0.3869160283781972,-9.037938175637805e-10,True,False,1,3,2.7171463516661998e-09,0.4062208725490987,0.0024819610407575965,1,3,3042,7fd564e93104f2ffeef00be8a314c52c9fd0286328268ca009c120698c7771b3
NR-ER,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,338,149,978,0,False,True,True,False,unweighted_publication_primary,-1.512142554032294,-1.512142554032294,6.735716748488439e-09,100000000.0,3.162277660168379,True,True,1000.0,338,149,0.33185154833371366,0.33185154833371366,0.33185154833371366,0.0,0.6722470238095238,0.6722470238095238,0.6722470238095238,0.0,0.5418481381006982,0.3832034301240909,0.38320343022009096,9.600004124976635e-11,True,False,1,3,3.872682979855213e-09,0.4103525600677372,0.0023568019969388843,1,4,3042,7fd564e93104f2ffeef00be8a314c52c9fd0286328268ca009c120698c7771b3
