task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-HSE,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,440,58,978,0,False,True,True,False,unweighted_publication_primary,-2.113685203592361,-2.113685203592361,3.559828481003833e-09,100000000.0,100.0,True,True,316.2277660168379,440,58,0.07289002557544758,0.07289002557544758,0.07289002557544758,0.0,0.6696428571428572,0.6696428571428572,0.6696428571428572,0.0,0.4560347216102304,0.1562178280458559,0.15621782764769135,-3.9816455688068686e-10,True,False,1,3,8.116241914657429e-10,0.2316507214914548,0.0025588410208001733,0,0,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59
SR-HSE,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,398,100,978,0,False,True,True,False,unweighted_publication_primary,-2.246925153275219,-2.246925153275219,0.012511751707039477,31.622776601683796,1.0,False,False,1000.0,398,100,0.24669269897664337,0.24669269897664337,0.24245243640317288,-0.004240262573470488,0.6508152173913043,0.6508152173913043,0.5978260869565217,-0.052989130434782594,0.49178155304263277,0.27445663001590476,0.27555269841460023,0.0010960683986954711,True,False,4,6,2.284738041848089e-07,0.20745610359012526,0.004364416003227234,0,1,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59
SR-HSE,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,354,144,978,0,False,True,True,False,unweighted_publication_primary,-2.1488614317901447,-2.1488614317901447,3.741118371401082e-09,100000000.0,100000000.0,True,False,,354,144,0.3511297182349814,0.3511297182349814,0.3511297182349814,0.0,0.8584362139917695,0.8584362139917695,0.8584362139917695,0.0,0.4815160547094156,0.21360832644794836,0.2136083261341087,-3.1383964871345427e-10,True,False,1,3,9.61792069598122e-10,0.226524141997975,0.0026868879795074463,0,2,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59
SR-HSE,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,408,90,978,0,False,True,True,False,unweighted_publication_primary,-2.1920468579458183,-2.1920468579458183,3.876177184403337e-09,100000000.0,3.162277660168379,True,True,100.0,408,90,0.09834877879187656,0.09834877879187656,0.09834877879187656,0.0,0.6051587301587301,0.6051587301587301,0.6051587301587301,0.0,0.4811479040083558,0.24355569851002884,0.2435556986322983,1.2226947232463203e-10,True,False,1,3,1.312924560736839e-09,0.21821679297821941,0.0029003940289840102,0,3,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59
SR-HSE,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,392,106,978,0,False,True,True,False,unweighted_publication_primary,-2.144561788246754,-2.144561788246754,3.5361236181750034e-09,100000000.0,100000000.0,True,False,,392,106,0.5781440781440781,0.5781440781440781,0.5781440781440781,0.0,0.9183333333333333,0.9183333333333333,0.9183333333333333,0.0,0.4745140692877288,0.2078900892809954,0.2078900887993603,-4.816350929193192e-10,True,False,1,3,3.4054103590849816e-10,0.22682509953284932,0.002859181957319379,0,4,2042,a4ac2822c3026de6583454bed2ab40a633849ae9a22d22234192245aec27de59
SR-HSE,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,440,58,978,0,False,True,True,False,unweighted_publication_primary,-2.2682924882565927,-2.2682924882565927,3.573761524449791e-09,100000000.0,10.0,True,True,100.0,440,58,0.6341645353793691,0.6341645353793691,0.6341645353793691,0.0,0.8910256410256411,0.8910256410256411,0.8910256410256411,0.0,0.4912209840652508,0.3348406729099327,0.33484067278094526,-1.2898743184663886e-10,True,False,1,3,5.683497682901217e-10,0.2083307445245629,0.0027553660329431295,1,0,3042,18c0dbb59223c388b1a4bc5717e67eed6983617c643aa21b7ab49ca0b1dcf17d
SR-HSE,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,399,99,978,0,False,True,True,False,unweighted_publication_primary,-2.199875424480903,-2.199875424480903,3.512810540344706e-09,100000000.0,100000000.0,True,False,,399,99,0.2915207599418126,0.2915207599418126,0.2915207599418126,0.0,0.7422360248447205,0.7422360248447205,0.7422360248447205,0.0,0.490448519472613,0.24679496747924679,0.24679496740584422,-7.340256180654592e-11,True,False,1,3,9.74329512903882e-10,0.21685736443568035,0.002648371970281005,1,1,3042,18c0dbb59223c388b1a4bc5717e67eed6983617c643aa21b7ab49ca0b1dcf17d
SR-HSE,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,344,154,978,0,False,True,True,False,unweighted_publication_primary,-2.0328868102439572,-2.0328868102439572,0.014694738526147456,31.622776601683796,1.0,False,False,1000.0,344,154,0.3139720211221213,0.3139720211221213,0.26575198782276677,-0.04822003329935454,0.7133138969873664,0.7133138969873664,0.5811467444120505,-0.13216715257531586,0.47193794751361884,0.17614059695168713,0.17798157186759975,0.0018409749159126187,True,False,4,6,6.261000157666008e-07,0.24087623388721868,0.004076090059243143,1,2,3042,18c0dbb59223c388b1a4bc5717e67eed6983617c643aa21b7ab49ca0b1dcf17d
SR-HSE,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,404,94,978,0,False,True,True,False,unweighted_publication_primary,-2.225439773300777,-2.225439773300777,3.4279791969512895e-09,100000000.0,100000000.0,True,False,,404,94,0.19157509157509156,0.19157509157509156,0.19157509157509156,0.0,0.7602627257799672,0.7602627257799672,0.7602627257799672,0.0,0.4825951164490079,0.26251760878530483,0.26251760831062143,-4.746834036950531e-10,True,False,1,3,7.282644105821579e-10,0.2136503889390615,0.0024127389770001173,1,3,3042,18c0dbb59223c388b1a4bc5717e67eed6983617c643aa21b7ab49ca0b1dcf17d
SR-HSE,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,405,93,978,0,False,True,True,False,unweighted_publication_primary,-2.0980587377330813,-2.0980587377330813,3.7919076505702075e-09,100000000.0,100000000.0,True,False,,405,93,0.38116107723577236,0.38116107723577236,0.38116107723577236,0.0,0.803370786516854,0.803370786516854,0.803370786516854,0.0,0.4675341760665216,0.1748993574784352,0.17489935720058358,-2.7785163059235174e-10,True,False,1,3,1.3182307606607324e-09,0.2339508481595006,0.00239224499091506,1,4,3042,18c0dbb59223c388b1a4bc5717e67eed6983617c643aa21b7ab49ca0b1dcf17d
SR-HSE,HT29,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,444,54,978,0,False,True,True,False,unweighted_publication_primary,-2.1977151093004856,-2.1977151093004856,0.03242770322796428,10.0,1.0,False,False,1000.0,444,54,0.138076677159158,0.138076677159158,0.399074074074074,0.260997396914916,0.705,0.705,0.68,-0.02499999999999991,0.482625264506143,0.26327922465925807,0.2632367275959792,-4.249706327885683e-05,True,False,5,7,4.924428083016852e-07,0.2122981853622222,0.006382826017215848,2,0,4042,57844c5705e51f89c21a34503d857475d600fb921cb59b0d8e95127882515ee8
SR-HSE,HT29,standardized,1,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,405,93,978,0,False,True,True,False,unweighted_publication_primary,-2.0915363748337623,-2.0915363748337623,3.6332267355589184e-09,100000000.0,10.0,True,True,31.622776601683796,405,93,0.0970305057261579,0.0970305057261579,0.0970305057261579,0.0,0.7162921348314606,0.7162921348314606,0.7162921348314606,0.0,0.48114948348286724,0.18056485386300788,0.1805648535402377,-3.2277017170123656e-10,True,False,1,3,6.767002375118736e-10,0.23268502097695482,0.002879529958590865,2,1,4042,57844c5705e51f89c21a34503d857475d600fb921cb59b0d8e95127882515ee8
SR-HSE,HT29,standardized,2,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,355,143,978,0,False,True,True,False,unweighted_publication_primary,-2.1262711364030014,-2.1262711364030014,4.4182951970791434e-09,100000000.0,10.0,True,True,316.2277660168379,355,143,0.24444166944166945,0.24444166944166945,0.24444166944166945,0.0,0.8185185185185184,0.8185185185185184,0.8185185185185184,0.0,0.4788805713776209,0.2099496581607515,0.20994965826739706,1.0664555349926275e-10,True,False,1,3,1.2100633828282525e-09,0.22801792949241878,0.0021826319862157106,2,2,4042,57844c5705e51f89c21a34503d857475d600fb921cb59b0d8e95127882515ee8
SR-HSE,HT29,standardized,3,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,396,102,978,0,False,True,True,False,unweighted_publication_primary,-2.4284240934936405,-2.4284240934936405,3.311385672961734e-09,100000000.0,1.0,True,True,31.622776601683796,396,102,0.4301878824193089,0.4301878824193089,0.4301878824193089,0.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.0,0.5004431724004799,0.36534199239831894,0.3653419920795128,-3.1880614814738806e-10,True,False,1,3,8.854606978192514e-10,0.1883656310916815,0.0027133229887112975,2,3,4042,57844c5705e51f89c21a34503d857475d600fb921cb59b0d8e95127882515ee8
