task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1049,93,978,0,False,True,True,False,unweighted_publication_primary,-1.7639402271063118,-1.7639402271063118,0.10768657067990865,3.162277660168379,0.31622776601683794,False,False,10000.0,1049,93,0.24850579400270442,0.24850579400270442,0.48092806736642346,0.23242227336371904,0.7416851441241685,0.7416851441241685,0.7760532150776054,0.03436807095343686,0.47347499024609885,0.34241450722122796,0.2948082218545078,-0.04760628536672018,True,False,12,14,9.785941963678935e-07,0.2052831178405381,0.04058377898763865,0,0,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd
SR-p53,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,923,219,978,0,False,True,True,False,unweighted_publication_primary,-1.7454583269402786,-1.7454583269402786,0.109087350604091,3.162277660168379,1.0,False,False,10000.0,923,219,0.3440433857042001,0.3440433857042001,0.5748610519770596,0.2308176662728595,0.774891774891775,0.774891774891775,0.860990860990861,0.08609908609908601,0.4533668089013062,0.2782044228087001,0.2220683991733575,-0.05613602363534262,True,False,12,14,6.720251943398425e-07,0.2089877771974282,0.048570382059551775,0,1,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd
SR-p53,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,925,217,978,0,False,True,True,False,unweighted_publication_primary,-1.691077571304315,-1.691077571304315,0.0544967377775309,10.0,1.0,False,False,10000.0,925,217,0.2659610767561894,0.2659610767561894,0.569298769431383,0.3033376926751936,0.7432352941176471,0.7432352941176471,0.8926470588235293,0.14941176470588224,0.455125768990901,0.25193100099383436,0.20197513897971564,-0.049955862014118724,True,False,9,11,1.0294598735971494e-07,0.23867021374036163,0.03136226302012801,0,2,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd
SR-p53,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,898,244,978,0,False,True,True,False,unweighted_publication_primary,-1.8064097955701055,-1.8064097955701055,0.05708569749234794,10.0,1.0,False,False,3162.277660168379,898,244,0.2999339120928351,0.2999339120928351,0.49533744809877983,0.19540353600594473,0.716163167776071,0.716163167776071,0.7880184331797235,0.0718552654036525,0.4667555755001771,0.3201626824059479,0.28176915864365726,-0.03839352376229066,True,False,9,11,8.408384122998713e-08,0.2167960070058141,0.033814182970672846,0,3,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd
SR-p53,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,773,369,978,0,False,True,True,False,unweighted_publication_primary,-1.63534389511211,-1.63534389511211,0.2231984895755847,1.0,0.31622776601683794,False,False,31622.776601683796,773,369,0.25292917031876994,0.25292917031876994,0.5562602947797384,0.30333112446096844,0.7908042965679855,0.7908042965679855,0.9303117631647893,0.1395074665968038,0.39059721350164733,0.2035423649793435,0.15997501297334069,-0.04356735200600281,True,False,18,20,7.413269921784094e-07,0.2080653570153436,0.0566263219807297,0,4,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd
SR-p53,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1041,101,978,0,False,True,True,False,unweighted_publication_primary,-1.7341138746955302,-1.7341138746955302,0.11121056616570758,3.162277660168379,1.0,False,False,10000.0,1041,101,0.4648240775243063,0.4648240775243063,0.5157033924680984,0.05087931494379205,0.798901098901099,0.798901098901099,0.8703296703296702,0.07142857142857129,0.46262702791902255,0.2787422188105877,0.23984162768106396,-0.03890059112952374,True,False,11,13,9.59630105185072e-07,0.21012629346815087,0.03498079802375287,1,0,3042,989d87bda7bdc5a795537e5999b4ce81465b4ca62189fce66c428837de44412a
SR-p53,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,915,227,978,0,False,True,True,False,unweighted_publication_primary,-1.8177720860846258,-1.8177720860846258,0.024404953886894024,31.622776601683796,3.162277660168379,False,False,3162.277660168379,915,227,0.3738534912056462,0.3738534912056462,0.5429209081006194,0.16906741689497323,0.8055445544554455,0.8055445544554455,0.8512871287128714,0.045742574257425894,0.4307792089461891,0.30590541715510733,0.27813309369426176,-0.02777232346084557,True,False,5,7,2.561057238226194e-07,0.2399280747529541,0.027259823982603848,1,1,3042,989d87bda7bdc5a795537e5999b4ce81465b4ca62189fce66c428837de44412a
SR-p53,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,776,366,978,0,False,True,True,False,unweighted_publication_primary,-1.6637946948791882,-1.6637946948791882,0.05986460839734076,10.0,0.31622776601683794,False,False,3162.277660168379,776,366,0.3376425444108926,0.3376425444108926,0.42936320429210406,0.09172065988121147,0.809088693957115,0.809088693957115,0.9047270955165692,0.09563840155945413,0.3967326410469112,0.21312693982477232,0.19166897256534757,-0.021457967259424754,True,False,9,11,2.9890000065541187e-07,0.2501018931679725,0.026337333023548126,1,2,3042,989d87bda7bdc5a795537e5999b4ce81465b4ca62189fce66c428837de44412a
SR-p53,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,904,238,978,0,False,True,True,False,unweighted_publication_primary,-1.7853865952893722,-1.7853865952893722,0.05552278651156034,10.0,1.0,False,False,3162.277660168379,904,238,0.21316268049082276,0.21316268049082276,0.4770513521869308,0.263888671696108,0.6388732394366197,0.6388732394366197,0.7628169014084507,0.12394366197183104,0.4761521866688328,0.3233448117503153,0.2769437872009996,-0.04640102454931572,True,False,9,11,3.419299995366387e-07,0.2187530055214273,0.031305246986448765,1,3,3042,989d87bda7bdc5a795537e5999b4ce81465b4ca62189fce66c428837de44412a
SR-p53,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,932,210,978,0,False,True,True,False,unweighted_publication_primary,-1.6484251631308846,-1.6484251631308846,0.0582140297454545,10.0,1.0,False,False,3162.277660168379,932,210,0.18233601552280448,0.18233601552280448,0.45823564140104334,0.27589962587823885,0.7660349854227405,0.7660349854227405,0.8913994169096209,0.12536443148688037,0.4621950096023425,0.2306745791481921,0.19782847733548323,-0.03284610181270886,True,False,9,11,2.1107820489391083e-07,0.24007811413523128,0.033709759009070694,1,4,3042,989d87bda7bdc5a795537e5999b4ce81465b4ca62189fce66c428837de44412a
SR-p53,MCF7,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1046,96,978,0,False,True,True,False,unweighted_publication_primary,-1.7892075494856592,-1.7892075494856592,0.024771320684929696,31.622776601683796,1.0,False,False,3162.277660168379,1046,96,0.4039330642287764,0.4039330642287764,0.5840887016452627,0.18015563741648633,0.7822057460611678,0.7822057460611678,0.8146431881371641,0.0324374420759963,0.4548902559520729,0.3639799679435942,0.3314364737203647,-0.0325434942232295,True,False,6,8,1.3460496495198981e-08,0.24056177796148367,0.01892290695104748,2,0,4042,fe12ca0116d78d4da2ab3c6d21048aaea85984ee71d4aebf1a551d0939873818
SR-p53,MCF7,standardized,1,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,937,205,978,0,False,True,True,False,unweighted_publication_primary,-1.757633699430295,-1.757633699430295,0.05816091312942498,10.0,1.0,False,False,3162.277660168379,937,205,0.2525575307656628,0.2525575307656628,0.40927154175425173,0.15671401098858895,0.7261904761904762,0.7261904761904762,0.8046066252587991,0.07841614906832295,0.4719141999013685,0.30372568491796675,0.270878874251176,-0.03284681066679074,True,False,9,11,1.7974927251501738e-07,0.22273602768219186,0.02912208007182926,2,1,4042,fe12ca0116d78d4da2ab3c6d21048aaea85984ee71d4aebf1a551d0939873818
SR-p53,MCF7,standardized,2,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,888,254,978,0,False,True,True,False,unweighted_publication_primary,-1.609519239133927,-1.609519239133927,0.11621470646167581,3.162277660168379,1.0,False,False,10000.0,888,254,0.1516532646529838,0.1516532646529838,0.2789572565288822,0.12730399187589841,0.7926997245179063,0.7926997245179063,0.8261019283746557,0.03340220385674941,0.41040321910030453,0.18712550430499683,0.1837184762636066,-0.003407028041390231,True,False,12,14,4.777070260380059e-07,0.22285824400381976,0.046046590083278716,2,2,4042,fe12ca0116d78d4da2ab3c6d21048aaea85984ee71d4aebf1a551d0939873818
SR-p53,MCF7,standardized,3,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,776,366,978,0,False,True,True,False,unweighted_publication_primary,-1.6998433998172966,-1.6998433998172966,0.110579233406605,3.162277660168379,1.0,False,False,10000.0,776,366,0.17158007965813632,0.17158007965813632,0.5538254071010983,0.38224532744296197,0.7268655085764231,0.7268655085764231,0.849339014530755,0.12247350595433193,0.42162540243111013,0.24581709659256937,0.1927131011501865,-0.05310399544238287,True,False,14,16,2.3206497832168075e-07,0.2194742309051352,0.0344028880354017,2,3,4042,fe12ca0116d78d4da2ab3c6d21048aaea85984ee71d4aebf1a551d0939873818
SR-p53,MCF7,standardized,4,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,921,221,978,0,False,True,True,False,unweighted_publication_primary,-1.7881728377060413,-1.7881728377060413,8.535326700664466e-09,100000000.0,1.0,True,True,1000.0,921,221,0.49054936383770964,0.49054936383770964,0.49054936383770964,0.0,0.8316326530612244,0.8316326530612244,0.8316326530612244,0.0,0.4576123928733332,0.3006841975554485,0.300684181444652,-1.6110796530188765e-08,True,False,1,3,2.6327487620547707e-09,0.25298732964272486,0.007829091977328062,2,4,4042,fe12ca0116d78d4da2ab3c6d21048aaea85984ee71d4aebf1a551d0939873818
SR-p53,MCF7,standardized,0,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1048,94,978,0,False,True,True,False,unweighted_publication_primary,-1.7117614463935793,-1.7117614463935793,0.058297044951084225,10.0,1.0,False,False,3162.277660168379,1048,94,0.1234834803486612,0.1234834803486612,0.19305647840531562,0.06957299805665441,0.6272577996715927,0.6272577996715927,0.7142857142857142,0.08702791461412152,0.4715154979938458,0.2623758937614385,0.2561764687672685,-0.0061994249941699775,True,False,9,11,7.582366970057541e-08,0.2309218100175367,0.028441586066037416,3,0,5042,cca9d0a84e51d260207ed0a164371d637e8a9f22967ac9e4ce8f5c252f259863
SR-p53,MCF7,standardized,1,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,949,193,978,0,False,True,True,False,unweighted_publication_primary,-1.7693822603692781,-1.7693822603692781,0.05526933732699039,10.0,1.0,False,False,3162.277660168379,949,193,0.2792315895007309,0.2792315895007309,0.5778077504306158,0.2985761609298849,0.7776854928017718,0.7776854928017718,0.8947951273532669,0.11710963455149515,0.46952919084723854,0.3103674292241132,0.24789262353794023,-0.062474805686172974,True,False,8,10,1.686235278439835e-07,0.22689531497209572,0.03444027900695801,3,1,5042,cca9d0a84e51d260207ed0a164371d637e8a9f22967ac9e4ce8f5c252f259863
SR-p53,MCF7,standardized,2,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,896,246,978,0,False,True,True,False,unweighted_publication_primary,-1.7001749672475472,-1.7001749672475472,0.05811744579382769,10.0,1.0,False,False,3162.277660168379,896,246,0.20564617426308152,0.20564617426308152,0.4102237803952167,0.20457760613213516,0.801762114537445,0.801762114537445,0.91374913053559,0.11198701599814509,0.4343402394504026,0.24484174032014114,0.21310116958704453,-0.03174057073309661,True,False,9,11,1.287810735793593e-07,0.23602956289762653,0.029856626992113888,3,2,5042,cca9d0a84e51d260207ed0a164371d637e8a9f22967ac9e4ce8f5c252f259863
SR-p53,MCF7,standardized,3,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,774,368,978,0,False,True,True,False,unweighted_publication_primary,-1.7543773826932005,-1.7543773826932005,0.11243361911221456,3.162277660168379,1.0,False,False,10000.0,774,368,0.4051744587495562,0.4051744587495562,0.6459027191506083,0.24072826040105205,0.7812623274161735,0.7812623274161735,0.8560157790927021,0.07475345167652858,0.3991483869745646,0.24303775773614697,0.18318834840165774,-0.059849409334489234,True,False,12,14,5.434526067168467e-07,0.222712613640681,0.037577857030555606,3,3,5042,cca9d0a84e51d260207ed0a164371d637e8a9f22967ac9e4ce8f5c252f259863
SR-p53,MCF7,standardized,4,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,901,241,978,0,False,True,True,False,unweighted_publication_primary,-1.7179997644629261,-1.7179997644629261,0.05792029867919259,10.0,1.0,False,False,10000.0,901,241,0.33154198594481876,0.33154198594481876,0.4503234182894832,0.11878143234466443,0.7261904761904762,0.7261904761904762,0.8082251082251083,0.08203463203463213,0.4623470263944916,0.2711470553474571,0.23961033234974144,-0.03153672299771565,True,False,9,11,1.1800529386291059e-07,0.22937055702932937,0.026865033083595335,3,4,5042,cca9d0a84e51d260207ed0a164371d637e8a9f22967ac9e4ce8f5c252f259863
SR-p53,MCF7,standardized,0,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1047,95,978,0,False,True,True,False,unweighted_publication_primary,-1.7337060965727489,-1.7337060965727489,0.10527481516120905,3.162277660168379,1.0,False,False,10000.0,1047,95,0.17963067688566783,0.17963067688566783,0.7289208345812122,0.5492901576955443,0.710594315245478,0.710594315245478,0.9147286821705426,0.2041343669250646,0.4776288443429137,0.297260249627392,0.1964591285934316,-0.10080112103396041,True,False,12,15,3.7866606650283074e-07,0.21447066361344436,0.05052720301318914,4,0,6042,b40c1b512ad7e64dcb62000422a8e0b59b3befaf7d3925c65c8e19fc175fae1c
SR-p53,MCF7,standardized,1,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,929,213,978,0,False,True,True,False,unweighted_publication_primary,-1.7719591152453464,-1.7719591152453464,0.11221429182082185,3.162277660168379,1.0,False,False,10000.0,929,213,0.328438759546151,0.328438759546151,0.4829114327945259,0.15447267324837494,0.7066361556064074,0.7066361556064074,0.7835240274599543,0.07688787185354695,0.47446155984260663,0.3131020897186889,0.2686882315018036,-0.044413858216885316,True,False,11,13,7.660903161808841e-07,0.1980945149393786,0.036348308087326586,4,1,6042,b40c1b512ad7e64dcb62000422a8e0b59b3befaf7d3925c65c8e19fc175fae1c
SR-p53,MCF7,standardized,2,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,931,211,978,0,False,True,True,False,unweighted_publication_primary,-1.7682924903713357,-1.7682924903713357,0.10759691545449608,3.162277660168379,1.0,False,False,10000.0,931,211,0.31623231124639345,0.31623231124639345,0.5045676704715348,0.18833535922514139,0.746031746031746,0.746031746031746,0.8311688311688312,0.08513708513708518,0.46511594991067157,0.3022984944352429,0.2539754388258873,-0.048323055609355625,True,False,12,14,4.780051003940022e-07,0.20351392129931584,0.03392917395103723,4,2,6042,b40c1b512ad7e64dcb62000422a8e0b59b3befaf7d3925c65c8e19fc175fae1c
SR-p53,MCF7,standardized,3,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,889,253,978,0,False,True,True,False,unweighted_publication_primary,-1.7125465493540948,-1.7125465493540948,0.024324739020500794,31.622776601683796,1.0,False,False,3162.277660168379,889,253,0.25646620074148574,0.25646620074148574,0.44341658284137914,0.1869503820998934,0.7807881773399015,0.7807881773399015,0.8639162561576355,0.08312807881773399,0.4405571351769985,0.2547374501684594,0.23124619233627186,-0.02349125783218753,True,False,6,8,2.424271048663551e-08,0.25213218726198455,0.027671637013554573,4,3,6042,b40c1b512ad7e64dcb62000422a8e0b59b3befaf7d3925c65c8e19fc175fae1c
SR-p53,MCF7,standardized,4,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,772,370,978,0,False,True,True,False,unweighted_publication_primary,-1.656195406186746,-1.656195406186746,0.1173304958335205,3.162277660168379,1.0,False,False,31622.776601683796,772,370,0.3095161704225692,0.3095161704225692,0.45106916971165517,0.141552999289086,0.808545295075805,0.808545295075805,0.8866056885102118,0.07806039343440685,0.38936771953369065,0.20765424281204298,0.18198195904757355,-0.025672283764469422,True,False,12,14,7.867182451933713e-07,0.22687247844282735,0.03447964496444911,4,4,6042,b40c1b512ad7e64dcb62000422a8e0b59b3befaf7d3925c65c8e19fc175fae1c
SR-p53,MCF7,standardized,0,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1055,87,978,0,False,True,True,False,unweighted_publication_primary,-1.6958570411758638,-1.6958570411758638,0.10793222956551161,3.162277660168379,1.0,False,False,10000.0,1055,87,0.3859066859066859,0.3859066859066859,0.8148809523809524,0.42897426647426645,0.8600823045267489,0.8600823045267489,0.9732510288065843,0.11316872427983538,0.4615812801095183,0.21354222682723834,0.16116332278204035,-0.05237890404519799,True,False,12,14,2.47785038451874e-07,0.217320051452952,0.04286201496142894,5,0,7042,b7532dc238fbb30043ae34a2a7af7ffa09644bd1094f3b7101c419606ba8bff9
SR-p53,MCF7,standardized,1,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,889,253,978,0,False,True,True,False,unweighted_publication_primary,-1.6743624800577621,-1.6743624800577621,0.20046801358569497,1.0,1.0,False,False,31622.776601683796,889,253,0.16864289541065453,0.16864289541065453,0.476520552568871,0.30787765715821647,0.6882911392405063,0.6882911392405063,0.8544303797468354,0.1661392405063291,0.4151819359833753,0.22447725854291023,0.17985924449548582,-0.04461801404742441,True,False,17,19,5.287298422652562e-07,0.1979156700928201,0.05212520807981491,5,1,7042,b7532dc238fbb30043ae34a2a7af7ffa09644bd1094f3b7101c419606ba8bff9
SR-p53,MCF7,standardized,2,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,924,218,978,0,False,True,True,False,unweighted_publication_primary,-1.7769948929819044,-1.7769948929819044,0.11323586819503428,3.162277660168379,0.31622776601683794,False,False,10000.0,924,218,0.21989680435229972,0.21989680435229972,0.46439631993695046,0.24449951558465075,0.7164948453608248,0.7164948453608248,0.8593213058419245,0.1428264604810997,0.49037412136628605,0.32700247205494043,0.2754103299828912,-0.05159214207204921,True,False,12,14,8.335675228798162e-07,0.19585973964205605,0.037755697034299374,5,2,7042,b7532dc238fbb30043ae34a2a7af7ffa09644bd1094f3b7101c419606ba8bff9
SR-p53,MCF7,standardized,3,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,768,374,978,0,False,True,True,False,unweighted_publication_primary,-1.6498714481055419,-1.6498714481055419,0.025758802410380265,31.622776601683796,3.162277660168379,False,False,3162.277660168379,768,374,0.32003567942821465,0.32003567942821465,0.4666551411726125,0.14661946174439783,0.8569849690539346,0.8569849690539346,0.9196507515473032,0.06266578249336863,0.4120965134404793,0.2186785069240914,0.20088018000355698,-0.01779832692053443,True,False,6,8,1.3159357561704638e-07,0.26960865930011624,0.016534150927327573,5,3,7042,b7532dc238fbb30043ae34a2a7af7ffa09644bd1094f3b7101c419606ba8bff9
SR-p53,MCF7,standardized,4,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,932,210,978,0,False,True,True,False,unweighted_publication_primary,-1.8525318526706962,-1.8525318526706962,0.10703502906023829,3.162277660168379,0.31622776601683794,False,False,10000.0,932,210,0.40943494139229597,0.40943494139229597,0.6277121337859438,0.21827719239364785,0.7328595317725752,0.7328595317725752,0.8012123745819397,0.06835284280936449,0.44703463647399116,0.3475864507579852,0.2674138992306195,-0.08017255152736574,True,False,12,14,9.022848792006322e-07,0.1968353914485425,0.04593458108138293,5,4,7042,b7532dc238fbb30043ae34a2a7af7ffa09644bd1094f3b7101c419606ba8bff9
SR-p53,MCF7,standardized,0,8042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1039,103,978,0,False,True,True,False,unweighted_publication_primary,-1.7461988899716536,-1.7461988899716536,0.10590393633728926,3.162277660168379,1.0,False,False,10000.0,1039,103,0.20854055013938733,0.20854055013938733,0.5939319498843308,0.3853913997449435,0.7021505376344086,0.7021505376344086,0.7913978494623656,0.08924731182795698,0.4574633912083089,0.30303699392679095,0.2316146000831692,-0.07142239384362176,True,False,12,14,7.677510899303103e-07,0.21063811983525488,0.042571984929963946,6,0,8042,cdf2b030f0d69d0b0f3d86f9622371240affbd823f1f6e2fa63844fa599bfb1b
