task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.0992631149049298,0.1985262298098596,False,False,1,3,42,42,1,1.608667955788068e-10,0.0989731987664807,0.03054878895636648,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926311428555985,0.1985262285711197,True,False,1,3,42,42,1,6.79037513717784e-10,0.09897319832298362,0.025899090920574963,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926311232694031,0.19852622465388062,True,False,1,3,42,42,1,9.603739435648517e-10,0.09897319692052271,0.028961631003767252,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926310613324316,0.1985262122664863,True,False,1,3,42,42,1,3.2206943743895433e-09,0.09897319248555253,0.019667213899083436,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926308654706976,0.19852617309413953,True,False,1,3,42,42,1,1.0190298674328524e-08,0.09897317846095127,0.019965187064372003,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926302461031775,0.1985260492206355,True,False,1,3,42,42,1,3.222049357529122e-08,0.0989731341113264,0.01651811006013304,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926282875077751,0.19852565750155501,True,False,1,3,42,42,1,1.0188694301790924e-07,0.09897299386608255,0.014851760002784431,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926220940519699,0.19852441881039398,True,False,1,3,42,42,1,3.2217787340749204e-07,0.09897255037752214,0.015094537055119872,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09926025097800453,0.19852050195600907,True,False,2,4,42,42,1,1.0915675915240675e-10,0.09897114800196313,0.01887075405102223,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09925405925538892,0.19850811851077785,True,False,2,4,42,42,1,1.091116167903361e-09,0.09896671388506872,0.019680090015754104,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09923449282399532,0.19846898564799065,True,False,2,4,42,42,1,1.0896361158849177e-08,0.09895269781386018,0.020163343055173755,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.099172753390211,0.198345506780422,True,False,2,4,42,42,1,1.0849718260451391e-07,0.09890843340277868,0.019301056978292763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09897887049322066,0.1979577409864413,True,False,3,5,42,42,1,1.184740755846847e-08,0.0987690375751576,0.024337487993761897,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09837930358813794,0.19675860717627588,True,False,3,5,42,42,1,3.4619117179890413e-07,0.09833395915542192,0.02304032293614,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09661691647404815,0.1932338329480963,True,False,4,6,42,42,1,4.1543321367513986e-07,0.09701315871987255,0.02653497690334916,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.09220539674098806,0.18441079348197612,True,False,6,8,42,42,1,1.5474418957545436e-07,0.09332033903768856,0.03389170998707414,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.08496066576458497,0.16992133152916994,True,False,10,12,42,42,1,1.200952003148001e-07,0.0849870710164414,0.047656361013650894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
NR-AR-LBD,MCF7,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,771,268,978,0,True,True,-1.4556773536074887,True,0.08045320766523353,0.16090641533046707,True,False,12,14,42,42,1,6.913068873693959e-07,0.07226805267580744,0.05999295006040484,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,b9d31be61334c6f392d40cbe06a4796f1edb6c0c1d4643fbf194ac9d1ac50dc4
