task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994862380549772,0.41989724761099545,False,False,1,3,42,42,1,3.2231110974612065e-09,0.21414574410692286,0.005267412983812392,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994862271919534,0.4198972454383907,True,False,1,3,42,42,1,6.65613776595908e-09,0.21414574247399312,0.0028605469269677997,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994861928401096,0.4198972385680219,True,False,1,3,42,42,1,2.0912488761515302e-08,0.21414573731021933,0.0027693200390785933,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994860842105842,0.41989721684211684,True,False,1,3,42,42,1,6.628108274731037e-08,0.21414572098096818,0.002743322984315455,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994857406993028,0.41989714813986057,True,False,1,3,42,42,1,2.0959068140063986e-07,0.21414566934369503,0.002737961011007428,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994846544756396,0.4198969308951279,True,False,1,3,42,42,1,6.627666480352179e-07,0.2141455060558298,0.0027446389431133866,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994812202110913,0.41989624404221826,True,False,2,4,42,42,1,4.776593530431139e-11,0.21414498972955573,0.0034208089346066117,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994703663202421,0.41989407326404843,True,False,2,4,42,42,1,4.773863873652751e-10,0.21414335731530126,0.0034687600564211607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20994361056704203,0.41988722113408405,True,False,2,4,42,42,1,4.765789284044697e-09,0.214138198691073,0.0032853090669959784,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20993283837385862,0.41986567674771724,True,False,2,4,42,42,1,4.7404074400222984e-08,0.21412192076143383,0.0032639700220897794,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20989938132658656,0.4197987626531731,True,False,2,4,42,42,1,4.6616373138713696e-07,0.21407079128072587,0.0032559840474277735,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.2097992959087945,0.419598591817589,True,False,3,5,42,42,1,4.584435963489453e-08,0.2139124173397514,0.004671585978940129,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20953042432662972,0.41906084865325943,True,False,4,6,42,42,1,2.2750627513834498e-08,0.2134406901079319,0.005851519992575049,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20897181837648335,0.4179436367529667,True,False,4,6,42,42,1,9.163827403881053e-07,0.21215404102704258,0.0059921820648014545,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20818923946202494,0.4163784789240499,True,False,6,8,42,42,1,1.7155039664122282e-07,0.20903386587922343,0.008061612956225872,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.2072923056639014,0.4145846113278028,True,False,9,11,42,42,1,2.002131113468253e-07,0.20191380048898874,0.011129459016956389,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.20638264306559106,0.41276528613118213,True,False,13,15,42,42,1,3.786831263338092e-07,0.18639425715239033,0.01515349093824625,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
NR-AR,HA1E,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,483,381,978,0,True,True,-1.7770939761204156,True,0.2074137201337129,0.4148274402674258,True,False,16,20,42,42,1,9.322606283872908e-07,0.15782219654188714,0.019910614006221294,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7d96e5e9681d8194c513ec216373c2a92c853c45e7f97ef367ce3e12392d4cb3
