task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,HT29,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.2399228909756607,0.4798457819513214,False,False,1,3,42,42,1,1.219475024433203e-09,0.1862228613558755,0.02141988801304251,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992289206907813,0.47984578413815626,True,False,1,3,42,42,1,2.782254947264473e-09,0.186222860752309,0.020643919939175248,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992289552676618,0.47984579105353237,True,False,1,3,42,42,1,8.682442778629174e-09,0.1862228588436649,0.01883798697963357,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.2399229064609207,0.4798458129218414,True,False,1,3,42,42,1,2.740048228588865e-08,0.18622285280800874,0.02240794396493584,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.2399229410376007,0.4798458820752014,True,False,1,3,42,42,1,8.66376776188782e-08,0.18622283372165419,0.022384477080777287,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992305037713935,0.4798461007542787,True,False,1,3,42,42,1,2.7396141865851376e-07,0.18622277336596182,0.021834965096786618,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992339612387745,0.4798467922477549,True,False,1,3,42,42,1,8.662944707832354e-07,0.18622258251110665,0.0194155479548499,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992448915101805,0.4798489783020361,True,False,2,4,42,42,1,8.690362882438074e-11,0.18622197904106588,0.025695118005387485,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.23992794310560425,0.4798558862112085,True,False,2,4,42,42,1,8.678555010049882e-10,0.18622007136076618,0.025180949014611542,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
NR-AR,HT29,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,622,232,978,0,True,True,-2.0147417626462016,True,0.2399388399878419,0.4798776799756838,True,False,2,4,42,42,1,8.642599926087652e-09,0.18621404532474747,0.026459579006768763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,7c9a2de78bb19ea29dccdd78563846b20e7708c88b254ce64799aaa681802374
