task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.2385353967625013,0.4770707935250026,False,False,1,3,42,42,1,1.2389067237383866e-09,0.2887244014555472,0.015791432932019234,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.2385353959737245,0.477070791947449,True,False,1,3,42,42,1,2.4046799343424574e-09,0.28872439979874387,0.016513312002643943,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.23853539347939434,0.4770707869587887,True,False,1,3,42,42,1,7.7955952595965e-09,0.28872439455947313,0.01638535293750465,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.23853538559164122,0.47707077118328245,True,False,1,3,42,42,1,2.464422214562556e-08,0.28872437799145506,0.013649462955072522,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.23853536064848793,0.47707072129697586,True,False,1,3,42,42,1,7.794472406050246e-08,0.2887243255988889,0.01506508991587907,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.23853528177243533,0.47707056354487065,True,False,1,3,42,42,1,2.464851474731633e-07,0.2887241599201214,0.015366696985438466,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.23853503235569132,0.47707006471138264,True,False,1,3,42,42,1,7.794022886808971e-07,0.28872363600859563,0.015007232897914946,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.2385342436620137,0.4770684873240274,True,False,2,4,42,42,1,9.112754370543819e-10,0.2887219793622405,0.018871945096179843,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.2385317502428791,0.4770635004857582,True,False,2,4,42,42,1,9.106830409569278e-09,0.28871674165924116,0.017942534061148763,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
NR-AhR,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,478,284,978,0,True,True,-1.2087199738375927,True,0.2385238715619397,0.4770477431238794,True,False,2,4,42,42,1,9.086879705633155e-08,0.2887001892887796,0.02003347291611135,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,77b6466ef440a95162e8393df9a2e0af8b23f80d3fa959dbd162066efae67cf5
