task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573879163835385,0.4914775832767077,False,False,1,3,42,42,1,1.97614531682877e-09,0.29969067431813134,0.012472109985537827,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573879025438666,0.4914775805087733,True,False,1,3,42,42,1,4.4017435113508085e-09,0.29969066854415805,0.010064339963719249,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573878587790027,0.49147757175580054,True,False,1,3,42,42,1,1.3992922147376685e-08,0.2996906502852555,0.009888194967061281,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.2457387720382581,0.4914775440765162,True,False,1,3,42,42,1,4.422789712937858e-08,0.2996905925455804,0.010031172074377537,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573872827369503,0.49147745654739006,True,False,1,3,42,42,1,1.3985679550576613e-07,0.29969040995713975,0.01033976802136749,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573858988027764,0.49147717976055527,True,False,1,3,42,42,1,4.4226510914624484e-07,0.2996898325662336,0.01089259097352624,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.2457381522440309,0.4914763044880618,True,False,2,4,42,42,1,9.109600573875554e-11,0.2996880067402743,0.012833470944315195,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573676842431666,0.4914735368486333,True,False,2,4,42,42,1,9.107259790058775e-10,0.2996822334156458,0.012523924000561237,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24573239341190312,0.49146478682380623,True,False,2,4,42,42,1,9.099605326190474e-09,0.29966398099922525,0.012647345080040395,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,293,172,978,0,True,True,-1.7760322794950398,True,0.24571856847287651,0.49143713694575303,True,False,2,4,42,42,1,9.075433683378153e-08,0.29960630614793554,0.013089651009067893,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
