task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.1754688667680594,0.3509377335361188,False,False,1,3,42,42,1,4.1667930911204465e-10,0.17148707566053306,0.036550516029819846,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546886660019045,0.3509377332003809,True,False,1,3,42,42,1,1.5445193873864227e-09,0.17148707486160836,0.03607727400958538,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546886606934248,0.35093773213868495,True,False,1,3,42,42,1,4.326914493368861e-09,0.17148707233518673,0.035517122014425695,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546886439065626,0.3509377287813125,True,False,1,3,42,42,1,1.3635607087891799e-08,0.1714870643459428,0.03506851498968899,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546885908220816,0.3509377181644163,True,False,1,3,42,42,1,4.308391949453538e-08,0.1714870390817608,0.04060047003440559,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546884229566134,0.3509376845913227,True,False,1,3,42,42,1,1.3624787977006836e-07,0.1714869591896597,0.04028029507026076,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546878921433842,0.35093757842867684,True,False,1,3,42,42,1,4.3083981286079487e-07,0.17148670655122608,0.03800255700480193,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546862136961225,0.3509372427392245,True,False,2,4,42,42,1,4.9934365453294105e-11,0.17148590766407606,0.04808609001338482,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546809077449446,0.3509361815489889,True,False,2,4,42,42,1,4.993641312088515e-10,0.17148338161828697,0.04903024306986481,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.1754664146123421,0.3509328292246842,True,False,2,4,42,42,1,4.994385498701889e-09,0.1714753961304583,0.046922109089791775,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17546113126800736,0.3509222625360147,True,False,2,4,42,42,1,4.996721457190163e-08,0.1714501694521918,0.048197580967098475,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17544459145234634,0.3508891829046927,True,False,2,4,42,42,1,5.003928061351245e-07,0.1713706505754154,0.04739236808381975,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.1753938489771298,0.3507876979542596,True,False,3,5,42,42,1,2.800556190424297e-08,0.17112168807833597,0.055992231937125325,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.1752458269328248,0.3504916538656496,True,False,4,6,42,42,1,9.159632058906853e-08,0.17035787846429956,0.06104415492154658,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17483903784832006,0.3496780756966401,True,False,5,7,42,42,1,3.83592507744758e-07,0.16813817458795205,0.06161654996685684,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
NR-ER-LBD,MCF7,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,754,325,978,0,True,True,-2.2636436440030727,True,0.17365266871496116,0.3473053374299223,True,False,8,10,42,42,1,3.4411977723521753e-07,0.16237211046870476,0.0667085979366675,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5df76de899e70012c1b69fe20a98ede333f9361bef92ff894ee40c354e6b0385
