task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HA1E,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.44935253996425106,0.8987050799285021,False,False,1,3,42,42,1,3.8964983789979875e-09,0.39099370668875283,0.016359811066649854,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493525387507829,0.8987050775015658,True,False,1,3,42,42,1,8.426488152374605e-09,0.39099370365921615,0.01614466297905892,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.44935253491346716,0.8987050698269343,True,False,1,3,42,42,1,2.664581737199523e-08,0.3909936940789862,0.01695327099878341,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493525227788867,0.8987050455577734,True,False,1,3,42,42,1,8.426122421334318e-08,0.3909936637837018,0.01686603995040059,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493524844067468,0.8987049688134936,True,False,1,3,42,42,1,2.6645535388167664e-07,0.3909935679822289,0.016481722006574273,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493523630711147,0.8987047261422294,True,False,1,3,42,42,1,8.425834706015083e-07,0.39099326503765114,0.01801013294607401,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493519794391726,0.8987039588783452,True,False,2,4,42,42,1,3.5183951585526785e-10,0.39099230710556315,0.017502108006738126,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.44935076698876697,0.8987015339775339,True,False,2,4,42,42,1,3.516343567017133e-09,0.39098927848575754,0.02709907095413655,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.4493469398229367,0.8986938796458734,True,False,2,4,42,42,1,3.5099761364759674e-08,0.39097970741078386,0.017482939991168678,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
NR-ER,HA1E,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,531,194,978,0,True,True,-1.545032423964699,True,0.44933490585525837,0.8986698117105167,True,False,2,4,42,42,1,3.489959114408303e-07,0.3909495032372666,0.01932283106725663,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7
